Unnamed: 0,query,sources,time,tags,top_k,types,authors,year_range,citation_range,journal_status,citation_weight,include_unknown_citations,paper_ids,paper_titles,frequency
482,"Let [n] = {0,...,n-1}. There is a prescribed way to write each functions f:[n] -> [m] as a linear combination G(f) over Z of monotone functions [n] -> [m]  such that:1. if f is monotone, then G(f) is the trivial linear combination ""f"". 2. If g:[m]->[k] another function, then G(gf)=G(g)G(f) when composition of linear combinations is extended bi-linearly from ordinar composition ","An Infinitely Large Napkin,arXiv,CRing Project,HoTT Book,Open Logic Project,ProofWiki,Stacks Project",02-16-2026 06:35 PM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,1
375,"## Theorem Let $p \ge 1$. For a tree $\Gamma_p$ constructed as described in the setup, with degrees $n_k \ge 2$, positive strengths $\alpha_k > 0$ for $k=1,...,p$, and positive internal edge lengths $a_k > 0$ for $k=1,...,p-1$, the function $\det D_{\Gamma_p}(\omega)$ has a root of order exactly $p-1$ at $\omega=0$. In particular, $$\partial_{\omega}^{(p-1)}\det D_{\Gamma_p}(\omega)_{\vert \omega=0}\neq 0.$$",arXiv,02-19-2026 11:01 AM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,1
742,"Let P be a ranked poset with a unique minimal and maximal element.  Let C_n be a chain. The number of functions F:Px{1,2,..., } ->{0,1,2,...} such that F(x,y)-F(x',y') \in {0,1} if (x,y) covers (x',y') in Px{1,..,n}, and F(0,y)=F(x,0)=0 for all x in P, y in {1,...,n} and F(x,y) is always bounded by rank of P",arXiv,02-03-2026 08:04 AM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,1
395,"For any $k\geq 2$ let $g_k(n)$ denote the maximum value of\[(a_1+\cdots+a_k)-n\]where $a_1,\ldots,a_k$ are integers such that $a_1!\cdots a_k! \mid n!$. Can one show that\[\sum_{n\leq x}g_k(n) \sim c_k x\log x\]for some constant $c_k$? Is it true that there is a constant $c_k$ such that for almost all $n<x$ we have\[g_k(n)=c_k\log x+o(\log x)?\]","An Infinitely Large Napkin,arXiv,CRing Project,HoTT Book,Open Logic Project,ProofWiki,Stacks Project",02-18-2026 10:51 PM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,1
744,"a theorem about the number of functions F:Px{1,2,..., } ->{0,1,2,...} such that F(x,y)-F(x',y') \in {0,1} if (x,y) covers (x',y') in Px{1,..,n}, and F(0,y)=F(x,0)=0 for all x in P, y in {1,...,n} and F(x,y) is always bounded by rank of P",arXiv,02-03-2026 08:00 AM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,2
506,"Let S be a scheme and P any operad, and let E be a sheaf of O_S-modules which is locally free of finite rank. Then the functor classifying P-algebra structures on E is representable by a scheme over S","Stacks Project,Open Logic Project,ProofWiki,An Infinitely Large Napkin,arXiv,CRing Project,HoTT Book",02-15-2026 10:34 AM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,1
695,A probability distribution P factors according to an ex ponential model A if and only if the support of P is A-feasible and all poly nomials in an ideal basis of the toric ideal IA vanish at P.,arXiv,02-05-2026 10:44 PM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,2
736,"The singular locus of the closure of BwB/B in GL_n/B  includes all smaller varieties of the form closure(BvB/B ) where v and w differ by a 3412 pattern, a 45312 pattern or a 4231 pattern",arXiv,02-03-2026 11:49 AM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,3
726,"Given a smooth scheme S with an open U with complement of codimension 2, consider a finite etale gerbe over U. This extends to a finite etale gerbe over S",arXiv,02-04-2026 11:52 AM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,1
35,"Prove that for a globally generated coherent sheaf F on a normal variety X, if the top chern class of F is 0, then it has a no-where vanishing section.",arXiv,03-18-2026 03:25 AM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,1
614,"given three knots, it is possible to find an embedded sphere with three boundary components, such that the boundary components are the prescribed knots. (the knots may be linked))",arXiv,02-09-2026 12:09 AM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,2
