node_id,full_name,F_signature,NL,F_T,dep_count,F_Tnames,dep_names_count,judge_T_vs_Tnames,judge_T_vs_Tnames_notes,vacuous_Tnames,edit_dist_Tnames,F_Trandom,rand_count,judge_T_vs_Trandom,judge_T_vs_Trandom_notes,vacuous_Trandom,edit_dist_Trandom
1045416,Game.birthday_eq_zero,Game.birthday_eq_zero.{u_1} {x : Game} : Game.birthday x = 0 ↔ x = 0,"Looking at this theorem, it states that for a game `x`, the birthday of `x` equals zero if and only if `x` is the zero game. In other words, a game has birthday zero precisely when it is the zero game itself.","```lean
theorem Game.birthday_eq_zero {x : Game} : Game.birthday x = 0 ↔ x = 0
```",37,"```lean
theorem Game.birthday_eq_zero_iff (x : Game) : Game.birthday x = 0 ↔ x = 0
```",37,T,"Candidate A matches the target signature exactly with implicit x, while B makes x explicit.",False,4,"```lean
theorem Game.birthday_eq_zero {x : Game} : Game.birthday x = 0 ↔ x = 0
```",37,tie,Both candidates are identical and match the target signature exactly.,False,2
1017253,IGame.toDyadic,IGame.toDyadic.{u_1} (x : IGame) [IGame.Short x] [IGame.Numeric x] : Dyadic,The function `IGame.toDyadic` converts a short numeric impartial game to a dyadic rational number.,"```lean
def IGame.toDyadic {x : IGame} (hShort : IGame.Short x) (hNumeric : IGame.Numeric x) : Dyadic := by sorry
```",93,"```lean
def IGame.toDyadic : IGame.Short → Dyadic := by sorry
```",93,T,"A matches target with implicit x, instances, and return type. B has wrong type signature.",False,9,"```lean
def IGame.toDyadic (x : IGame) [IGame.Short x] [IGame.Numeric x] : Dyadic := by sorry
```",93,Trandom,A uses implicit instances matching target; B uses explicit hypotheses instead of typeclass instances,False,5
1095251,NatOrdinal.zero_le,NatOrdinal.zero_le.{u_1} (a✝ : NatOrdinal) : 0 ≤ a✝,The theorem states that zero is less than or equal to any natural ordinal.,"```lean
theorem zero_le_natOrdinal (a : NatOrdinal) : (0 : NatOrdinal) ≤ a := by sorry
```",14,"```lean
theorem NatOrdinal.zero_le (n : NatOrdinal) : (0 : NatOrdinal) ≤ n := bot_le
```",14,Tnames,"A provides a correct proof using bot_le; B uses sorry. Both match signature, neither vacuous.",False,9,"```lean
theorem NatOrdinal.zero_le (a : NatOrdinal) : 0 ≤ a := by sorry
```",14,Trandom,B has the exact namespace and name matching the target. A uses a different name.,False,7
1084817,Surreal.out_eq,Surreal.out_eq.{u_1} (x : Surreal) : Surreal.mk (Surreal.out x) = x,"The theorem states that for any surreal number $x$, constructing a surreal number using the `mk` function applied to the output of `out` applied to $x$ yields back the original surreal number $x$. In other words, the `out` function followed by `mk` is the identity on surreal numbers.","```lean
theorem Surreal.mk_out (x : Surreal) : Surreal.mk (Surreal.out x) = x
```",15,"```lean
theorem Surreal.mk_out (x : Surreal) : Surreal.mk (Surreal.out x) = x
```",15,tie,Both candidates are identical and match the target signature semantically (mk_out vs out_eq are equivalent names).,False,2,"```lean
theorem Surreal.mk_out (x : Surreal) : Surreal.mk (Surreal.out x) = x
```",15,tie,Both candidates are identical and match the target signature semantically (out_eq vs mk_out are synonymous names for the same statement).,False,2
1077984,SurrealHahnSeries.coeff_trunc_of_lt,"SurrealHahnSeries.coeff_trunc_of_lt.{u_1} {x : SurrealHahnSeries} {i j : Surreal} (h : i < j) :
  SurrealHahnSeries.coeff (SurrealHahnSeries.trunc x i) j = SurrealHahnSeries.coeff x j","Looking at this Lean 4 declaration, I need to understand what it says about the `coeff` (coefficient) and `trunc` (truncation) operations on surreal Hahn series.

The theorem states: For a surreal Hahn series `x` and surreal numbers `i` and `j`, if `i < j`, then the coefficient at position `j` of the truncated series `trunc x i` equals the coefficient at position `j` of the original series `x`.

In other words, truncating a surreal Hahn series at position `i` does not affect the coefficients at positions strictly greater than `i`.","```lean
theorem SurrealHahnSeries.coeff_trunc_of_lt {x : SurrealHahnSeries} {i j : Surreal} (h : i < j) : 
  (x.trunc i).coeff j = x.coeff j := by sorry
```",29,"```lean
theorem SurrealHahnSeries.coeff_trunc {x : SurrealHahnSeries} {i j : Surreal} (h : i < j) :
    (x.trunc i).coeff j = x.coeff j
```",29,T,"Both match semantically, but A uses the exact target name 'coeff_trunc_of_lt' vs B's 'coeff_trunc'.",False,8,"```lean
theorem SurrealHahnSeries.coeff_trunc_of_lt {x : SurrealHahnSeries} {i j : Surreal} (h : i < j) :
  SurrealHahnSeries.coeff (SurrealHahnSeries.trunc x i) j = SurrealHahnSeries.coeff x j
```",29,Trandom,B matches target signature exactly; A uses dot notation which changes surface form though semantically equivalent.,False,2
1054189,Surreal.wlog_mul,"Surreal.wlog_mul.{u_1} {x y : Surreal} (hx : x ≠ 0) (hy : y ≠ 0) :
  Surreal.wlog (x * y) = Surreal.wlog x + Surreal.wlog y","The well-ordering logarithm (wlog) of a product of two nonzero surreal numbers equals the sum of the well-ordering logarithms of the individual factors: if $x$ and $y$ are nonzero surreal numbers, then $\text{wlog}(x \cdot y) = \text{wlog}(x) + \text{wlog}(y)$.","```lean
theorem Surreal.wlog_mul (x y : Surreal) (hx : x ≠ 0) (hy : y ≠ 0) : Surreal.wlog (x * y) = Surreal.wlog x + Surreal.wlog y := by sorry
```",48,"```lean
theorem Surreal.wlog_mul {x y : Surreal} (hx : x ≠ 0) (hy : y ≠ 0) : 
  Surreal.wlog (x * y) = Surreal.wlog x + Surreal.wlog y := by sorry
```",48,tie,Both match target: hypotheses hx/hy explicit vs implicit braces differ but semantically equivalent.,False,5,"```lean
theorem Surreal.wlog_mul (x y : Surreal) (hx : x ≠ 0) (hy : y ≠ 0) : Surreal.wlog (x * y) = Surreal.wlog x + Surreal.wlog y
```",48,tie,Both candidates match the target signature exactly. Candidate A uses 'by sorry' while B is an axiom; semantically equivalent.,False,4
1043767,Nimber.groupClosure_two,Nimber.groupClosure_two.{u_1} : Nimber.groupClosure (Nimber.of 2) = Nimber.of 2,"The group closure of the nimber 2 (that is, the subgroup generated by the nimber 2 under the nimber addition operation) equals the nimber 2 itself.","```lean
theorem nimber_groupClosure_two : Nimber.groupClosure (Nimber.of 2) = Nimber.of 2 := by sorry
```",39,"```lean
theorem Nimber.groupClosure_two : Nimber.groupClosure (2 : Nimber) = 2 := by sorry
```",39,Tnames,"Candidate B uses correct type (2 : Nimber) matching coercion, while A uses Nimber.of explicitly. B is more idiomatic.",False,9,"```lean
theorem Nimber.groupClosure_two : Nimber.groupClosure (Nimber.of 2) = Nimber.of 2
```",39,Trandom,Both match the target signature except A uses the correct name Nimber.groupClosure_two while B uses nimber_groupClosure_two. Neither is vacuous as this requires a proof.,False,2
1180378,Player.left_mul,Player.left_mul (p : Player) : Player.left * p = p,"The theorem states that multiplying any player $p$ on the left by the player `Player.left` results in $p$ itself, demonstrating that `Player.left` acts as a left identity element under the multiplication operation on players.","```lean
theorem Player.left_mul (p : Player) : Player.left * p = p := by sorry
```",11,"```lean
theorem Player.left_mul (p : Player) : Player.left * p = p := by sorry
```",11,tie,Both candidates are identical and match the target signature exactly.,False,4,"```lean
Player.left_mul : (p : Player) → Player.left * p = p
```",11,tie,Both match the target signature exactly; candidate B includes a proof skeleton which is expected for a theorem.,False,2
1038723,IGame.Numeric.mul_congr_left,"IGame.Numeric.mul_congr_left.{u_1} {x₁ x₂ y : IGame} [IGame.Numeric x₁] [IGame.Numeric x₂] [IGame.Numeric y]
  (he : x₁ ≈ x₂) : x₁ * y ≈ x₂ * y","The theorem states that multiplication of numeric impartial games is well-defined with respect to game equivalence on the left: if two numeric games x₁ and x₂ are equivalent, then for any numeric game y, the products x₁ * y and x₂ * y are also equivalent.","```lean
theorem IGame.mul_left_congr {x₁ x₂ y : IGame} [IGame.Numeric x₁] [IGame.Numeric x₂] [IGame.Numeric y]
    (h : x₁ ≈ x₂) : x₁ * y ≈ x₂ * y := by sorry
```",278,"```lean
theorem IGame.Numeric.mul_left_equiv {x₁ x₂ y : IGame} (hx : IGame.Numeric x₁) (hy : IGame.Numeric y) (h : AntisymmRel (· ≤ ·) x₁ x₂) : AntisymmRel (· ≤ ·) (x₁ * y) (x₂ * y) := by sorry
```",278,T,A matches target exactly: same typeclass assumptions [Numeric] and equiv (≈). B uses explicit Numeric terms and AntisymmRel instead of (≈).,False,28,"```lean
IGame.Numeric.mul_congr_left : {x₁ x₂ y : IGame} → [IGame.Numeric x₁] → [IGame.Numeric x₂] → [IGame.Numeric y] → x₁ ≈ x₂ → x₁ * y ≈ x₂ * y
```",34,Trandom,A matches name and signature exactly; B has different name (mul_left_congr vs mul_congr_left) and parameter name differs.,False,9
1196703,Nimber.oeval_inj,"Nimber.oeval_inj.{u_1} {x : Nimber} {p q : Polynomial Nimber} (hpk : ∀ (k : ℕ), Polynomial.coeff p k < x)
  (hqk : ∀ (k : ℕ), Polynomial.coeff q k < x) : Nimber.oeval x p = Nimber.oeval x q ↔ p = q","The theorem states that for nimbers \(x\), polynomials \(p\) and \(q\) over nimbers where all coefficients of \(p\) are less than \(x\) and all coefficients of \(q\) are less than \(x\), the ordinal evaluation of \(p\) at \(x\) equals the ordinal evaluation of \(q\) at \(x\) if and only if \(p\) equals \(q\).","```lean
theorem Nimber.oeval_eq_oeval_iff {x : Nimber} {p q : Polynomial Nimber} 
    (hpk : ∀ (k : ℕ), Polynomial.coeff p k < x)
    (hqk : ∀ (k : ℕ), Polynomial.coeff q k < x) : 
    Nimber.oeval x p = Nimber.oeval x q ↔ p = q := by sorry
```",45,"```lean
theorem Nimber.oeval_eq_oeval_iff {x : Nimber} {p q : Polynomial Nimber} 
    (hp : ∀ n, Polynomial.coeff p n < x) (hq : ∀ n, Polynomial.coeff q n < x) :
    Nimber.oeval x p = Nimber.oeval x q ↔ p = q := by sorry
```",45,tie,Both match target semantically; only differ in parameter names (hpk/hqk vs hp/hq and k vs n) which are inessential.,False,15,"```lean
theorem Nimber.oeval_injective {x : Nimber} {p q : Polynomial Nimber} 
    (hpk : ∀ (k : ℕ), Polynomial.coeff p k < x) 
    (hqk : ∀ (k : ℕ), Polynomial.coeff q k < x) :
    Nimber.oeval x p = Nimber.oeval x q ↔ p = q := by sorry
```",45,tie,Both candidates match the target signature exactly in types and conclusion; only theorem names differ.,False,5
