"i","informal_sid","formal_sid","informal_ref","informal_paper","formal_decl_name","primary_label","primary_reason","secondary_label","secondary_reason"
"1","5cd82bfa-19c8-44de-a7c3-b12cd300302d","d0cb974d-a24b-4517-b328-6f8c4a4cb8d5","3.26","teorth/pfr","condRuzsaDist_diff_le'","wrong","The formal declaration involves only three random variables (X, Y, Z) and uses a different bound involving d[Y; Z] + H[Z]/4 - H[Y]/4, while the informal statement involves four random variables (X, Y, Z, Z') with Y, Z, Z' independent and bounds the difference using entropies of Y+Z+Z', Y+Z, Y, and Z'.","wrong","The formal statement bounds the difference by d[Y; μ' # Z; μ'] / 2 + H[Z; μ'] / 4 - H[Y; μ'] / 4, but the informal statement bounds it by (1/2)(H[Y + Z + Z'] + H[Y + Z] - H[Y] - H[Z']), which are fundamentally different bounds involving different entropy terms and no Ruzsa distance between Y and Z."
"2","c79eef94-3cf7-4431-8ca4-828983b44d13","47a6ae90-269f-42f2-9780-94c4c850bdb7","13.26","teorth/pfr","rho_of_sum","wrong","The formal declaration states ρ[X + Y] ≤ ρ[X] + (H[X + Y] - H[X])/2, but the informal statement claims ρ(X+Y) ≤ (ρ(X) + ρ(Y) + d[X;Y])/2, which are fundamentally different inequalities with different right-hand sides.","wrong","The formal statement bounds ρ[X+Y] by ρ[X] + (H[X+Y] - H[X])/2, which is asymmetric in X and Y and does not match the informal statement's symmetric bound of (ρ[X] + ρ[Y] + d[X;Y])/2."
"3","171654d5-a887-42a5-a7fb-6e7c6e8c55db","f9f21214-66ad-407f-845b-8ab001fa3dc7","1.5.59","RemyDegenne/brownian-motion","ProbabilityTheory.lintegral_sup_rpow_edist_le_sum_of_le_one","wrong","The informal statement requires p ≥ 1 and has the bound as M times a sum raised to the p-th power, while the formal declaration requires p ≤ 1 and has the bound as M times a sum without the outer p-th power, indicating these are different theorems for complementary cases.","wrong","The formal declaration has condition `p ≤ 1` while the informal statement requires `p ≥ 1`, and the formal bound lacks the exponent `p` on the sum (missing the `^p` that appears in the LaTeX formula)."
"4","148afe52-f769-46d6-8aa4-d008c269af17","6fe24afc-b35d-41f1-bc3c-499d75445682","2.3.34","RemyDegenne/brownian-motion","MeasureTheory.Integrable.classDL","wrong","The informal statement is a definition of what it means for a process to be of class DL, while the formal declaration is a theorem proving that processes satisfying certain integrability conditions are of class DL.","partial","The formal declaration uses a sufficient condition (integrability of the supremum of norms up to time t) rather than the defining condition (uniform integrability of stopped values), making it a lemma that implies ClassDL rather than a direct formalization of the definition itself."
"5","7b1668f3-2287-4e2e-b23b-4fb44b82e85e","252314e7-fe73-4c52-ace0-03c6772551da","2.2.31","RemyDegenne/brownian-motion","MeasureTheory.IsPavingAnalytic_measurableSet_iff_isPavingAnalytic_Icc","wrong","The informal statement claims that measurable sets are contained in analytic sets generated by closed intervals (M_ℝ ⊆ A(I_ℝ)), which is a one-directional inclusion, but the formal declaration states a biconditional equivalence between being analytic with respect to measurable sets and being analytic with respect to closed intervals.","partial","The formal declaration proves an equivalence between two notions of analyticity (measurable sets vs closed intervals), while the informal statement asserts that measurable sets are analytic with respect to closed intervals specifically, which is a one-directional consequence rather than a full equivalence."
"6","a235f18a-d480-4ae8-ad2a-de088f381b35","b98d32cf-b2cf-41db-9bc9-ffba763980b7","2.2.34","RemyDegenne/brownian-motion","MeasurableSet.isPavingAnalytic_fst","wrong","The informal statement requires s to be analytic with respect to the product paving (M_𝓧 × I_ℝ), but the formal declaration requires s to be measurable, which is a much stronger condition than being analytic.","wrong","The informal statement requires the set s to be analytic with respect to the product σ-algebra (M_𝓧 × I_ℝ), but the formal declaration only requires s to be MeasurableSet (i.e., measurable), which is a much stronger condition than analyticity and does not match the hypothesis in the informal statement."
"7","12b1ba8c-2e0e-4bea-aa2c-e8a475c18095","c87925c6-0741-4003-bfb9-32c13ce48984","1.5.72","RemyDegenne/brownian-motion","ProbabilityTheory.finite_set_bound_of_edist_le_of_le_diam'","wrong","The formal declaration has a different condition `hδ_le : ↑δ / 4 ≤ Metric.ediam J` (requiring δ to be bounded by the diameter of J) which is not present in the informal statement, and the supremum in the formal version is over different variables (s and t with different types) than the informal statement's condition `d_T(s, t) ≤ δ`.","partial","The formal declaration uses a finite subset J of T with bounded covering number rather than T itself having bounded internal covering number, and the supremum is taken over subtype elements with different coercions rather than directly over T, which represents a different (though related) generality and formulation of the theorem."
"8","c50934c3-4629-45f9-8dfd-125a60cb48e4","c343b259-c334-4222-a5df-7e8ed83b3b0a","2.3.51","RemyDegenne/brownian-motion","ProbabilityTheory.locally_classDL_iff_hasLocallyIntegrableSup","partial","The formal declaration is a biconditional (iff) statement showing equivalence between locally class DL and locally integrable supremum, whereas the informal statement only claims one direction (locally integrable supremum implies locally class DL), though the formal version requires additional assumptions like cadlag paths that aren't mentioned in the informal statement.","wrong","The informal statement claims a one-directional implication (progressively measurable with locally integrable supremum implies locally class DL), but the formal declaration states a biconditional (if and only if) with additional hypotheses (cadlag paths and usual conditions on filtration) that are not mentioned in the informal statement."
"9","02dc9778-9a77-4a22-a8b1-883718cc7a23","d5bd7c4a-8002-4f10-8e59-4f1e319c95fe","9.16","ImperialCollegeLondon/FLT","NumberField.InfiniteAdeleRing.baseChangeEquiv","ambiguous","primary_err: bedrock failed after 4 retries: Invalid \escape: line 1 column 89 (char 88)","ambiguous","secondary_err: bedrock failed after 4 retries: Expecting ',' delimiter: line 1 column 475 (char 474)"
"10","5d54c00c-bb53-48a1-8cc6-b597cec67ae3","883434d0-184d-4322-92f2-3759d74b7a6d","7.4","teorth/pfr","PFR_conjecture","correct","The formal Lean declaration faithfully captures the informal statement: both state that for a nonempty finite set A in an abelian 2-torsion group with |A+A| ≤ K|A|, A can be covered by fewer than 2K^12 translates of a subgroup H with |H| ≤ |A|.","partial","The formal declaration uses strict inequality `< 2 * K ^ 12` for the number of cosets while the informal statement says 'at most `2K^12`' (non-strict inequality), and the formal version requires `Countable G` and `Module (ZMod 2) G` as explicit typeclasses rather than just stating the group is a 2-torsion abelian group."
