paper,theorem_label,theorem_type,mode,query,target_title,ts_paper_rank,matlas_paper_rank,ts_theorem_rank,matlas_theorem_rank,ts_top1_title,matlas_top1_title
0705.3779,formula C,lemma,precise,"On the type III domain, symmetric powers of the tangent bundle decompose into even Schur functors, and the k-fold Higgs field selects the component indexed by (2,...,2).",Polarized Variation of Hodge Structures of Calabi-Yau Type and Characteristic Subvarieties Over Bounded Symmetric Domains,1,1,1,1,Polarized Variation of Hodge Structures of Calabi-Yau Type and Characteristic Su,Polarized variation of Hodge structures of Calabi-Yau type and characteristic su
0705.3779,decomposition over polydisc,proposition,vague,decomposition of Calabi-Yau Hodge variations on polydiscs,Polarized Variation of Hodge Structures of Calabi-Yau Type and Characteristic Subvarieties Over Bounded Symmetric Domains,7,,7,,On the monodromy of the moduli space of Calabi-Yau threefolds coming from eight ,New families of Calabi-Yau threefolds without maximal unipotent monodromy
0705.3779,formula C,lemma,vague,iterated Higgs fields on type III domains,Polarized Variation of Hodge Structures of Calabi-Yau Type and Characteristic Subvarieties Over Bounded Symmetric Domains,,1,,1,Graham Theorem on Bounded Symmetric Domains,Polarized variation of Hodge structures of Calabi-Yau type and characteristic su
0705.3779,generating property,theorem,precise,"The ideal cut out by kernels of iterated Higgs maps is generated in degree two, so all higher relations come from quadratic ones.",Polarized Variation of Hodge Structures of Calabi-Yau Type and Characteristic Subvarieties Over Bounded Symmetric Domains,1,1,1,1,Polarized Variation of Hodge Structures of Calabi-Yau Type and Characteristic Su,Polarized variation of Hodge structures of Calabi-Yau type and characteristic su
0806.4598,prop:commdiff,proposition,vague,LSFT differential for Legendrian knots,Rational Symplectic Field Theory for Legendrian knots,1,1,,,Rational Symplectic Field Theory for Legendrian knots,Rational symplectic field theory for Legendrian knots
0806.4598,prop:commdiff,proposition,precise,"In the commutative LSFT algebra, the string differential kills t and sends each p or q generator to a signed sum over interlaced generators.",Rational Symplectic Field Theory for Legendrian knots,1,1,1,2,Rational Symplectic Field Theory for Legendrian knots,Rational symplectic field theory for Legendrian knots
0806.4598,,corollary,precise,"For a Legendrian knot, the cyclic and commutative LSFT complexes remain invariant up to filtered chain homotopy under restricted Legendrian isotopy.",Rational Symplectic Field Theory for Legendrian knots,1,1,1,1,Rational Symplectic Field Theory for Legendrian knots,Rational symplectic field theory for Legendrian knots
0705.3779,generating property,theorem,vague,quadratic generation of Higgs-field relations,Polarized Variation of Hodge Structures of Calabi-Yau Type and Characteristic Subvarieties Over Bounded Symmetric Domains,,,,,Equations defining symmetric varieties and affine Grassmannians,"Moments of the transmission eigenvalues, proper delay times and random matrix th"
0806.4598,prop:front,proposition,vague,front diagram moves for Legendrian isotopy,Rational Symplectic Field Theory for Legendrian knots,7,6,7,6,Weinstein presentations for high-dimensional antisurgery,Legendrian contact homology in the product of a punctured Riemann surface and th
0806.4598,,corollary,vague,Legendrian isotopy invariance of LSFT complexes,Rational Symplectic Field Theory for Legendrian knots,1,1,1,2,Rational Symplectic Field Theory for Legendrian knots,Rational symplectic field theory for Legendrian knots
0705.3779,identification,theorem,precise,"For the canonical Calabi-Yau type variation on an irreducible bounded symmetric domain, each characteristic subvariety agrees with the corresponding characteristic bundle.",Polarized Variation of Hodge Structures of Calabi-Yau Type and Characteristic Subvarieties Over Bounded Symmetric Domains,1,1,1,1,Polarized Variation of Hodge Structures of Calabi-Yau Type and Characteristic Su,Polarized variation of Hodge structures of Calabi-Yau type and characteristic su
0806.4598,lem:stokes,lemma,precise,"Whenever the region Delta(s1,...,sk) is nonempty, the sum of the heights h(sj) is necessarily positive.",Rational Symplectic Field Theory for Legendrian knots,,,,,On the diminishing process of B. Tóth,"Elliptic genera, torus orbifolds and multi-fans. II"
