node_id,full_name,stratum_indeg,stratum_size,NL,F_signature,F_B,F_T,dep_count,dep_truncated,judge_prefer,judge_notes,vacuous_B,vacuous_T,edit_dist_B,edit_dist_T,typecheck_B,typecheck_T
142999,stronglyMeasurable_iff_measurable_separable,dense,large,A function `f` from a measurable space `α` to a topological space `β` (which is pseudo-metrizable and has a Borel measurable structure) is strongly measurable if and only if `f` is measurable and the range of `f` is a separable topological subspace.,"stronglyMeasurable_iff_measurable_separable.{u_1, u_2} {α : Type u_1} {β : Type u_2} {f : α → β} {m : MeasurableSpace α}
  [TopologicalSpace β] [TopologicalSpace.PseudoMetrizableSpace β] [MeasurableSpace β] [BorelSpace β] :
  MeasureTheory.StronglyMeasurable f ↔ Measurable f ∧ TopologicalSpace.IsSeparable (Set.range f)","```lean
theorem stronglyMeasurable_iff_measurable_separable {α : Type*} {β : Type*} [MeasurableSpace α] [TopologicalSpace β] [PseudoMetricSpace β] [BorelSpace β] {f : α → β} : StronglyMeasurable f ↔ Measurable f ∧ SeparableSpace (Set.range f) := by sorry
```","```lean
theorem stronglyMeasurable_iff_measurable_and_separable_range
    {α : Type u_1} {β : Type u_2} [MeasurableSpace α] [TopologicalSpace β]
    [TopologicalSpace.PseudoMetrizableSpace β] [MeasurableSpace β] [BorelSpace β]
    {f : α → β} :
    MeasureTheory.StronglyMeasurable f ↔ Measurable f ∧ TopologicalSpace.IsSeparable (Set.range f) := by
  sorry
```",35,0,T,A uses IsSeparable (Set.range f) matching target; B uses SeparableSpace which is wrong type and missing TopologicalSpace.PseudoMetrizableSpace,False,False,29,21,True,True
25874,CategoryTheory.Iso.map_inv_hom_id_assoc,dense,large,"Looking at this Lean 4 declaration, I need to parse the structure of the equality being asserted.

The theorem states that for an isomorphism `e : X ≅ Y` in a category C, a functor F from C to D, and a morphism h from F(Y) to some object Z in D, the composition of F applied to the inverse of e with the composition of F applied to the morphism part of e and h equals h itself. In other words, composing F(e⁻¹) with (F(e) composed with h) simplifies to just h, which reflects the fact that applying a functor to an isomorphism and its inverse yields an isomorphism in the target category whose composition with any subsequent morphism can be simplified by canceling the inverse.","CategoryTheory.Iso.map_inv_hom_id_assoc.{v, u, v_1, u_1} {C : Type u} [CategoryTheory.Category.{v, u} C] {D : Type u_1}
  [CategoryTheory.Category.{v_1, u_1} D] {X Y : C} (e : X ≅ Y) (F : CategoryTheory.Functor C D) {Z : D}
  (h : CategoryTheory.Functor.obj F Y ⟶ Z) :
  CategoryTheory.CategoryStruct.comp (CategoryTheory.Functor.map F (CategoryTheory.Iso.inv e))
      (CategoryTheory.CategoryStruct.comp (CategoryTheory.Functor.map F (CategoryTheory.Iso.hom e)) h) =
    h","```lean
theorem Iso.inv_comp_fac {C D : Type*} [Category C] [Category D] (X Y : C) (e : X ≅ Y) (F : C ⥤ D) (Z : D) (h : F.obj Y ⟶ Z) : (F.map e.inv) ≫ (F.map e.hom ≫ h) = h := by sorry
```","```lean
theorem CategoryTheory.Functor.map_inv_comp_map_hom_comp {C : Type u₁} [CategoryTheory.Category.{v₁, u₁} C] {D : Type u₂} [CategoryTheory.Category.{v₂, u₂} D] {X Y : C} (e : X ≅ Y) (F : CategoryTheory.Functor C D) {Z : D} (h : CategoryTheory.Functor.obj F Y ⟶ Z) : CategoryTheory.CategoryStruct.comp (CategoryTheory.Functor.map F (CategoryTheory.Iso.inv e)) (CategoryTheory.CategoryStruct.comp (CategoryTheory.Functor.map F (CategoryTheory.Iso.hom e)) h) = h := by sorry
```",30,0,T,B matches target signature exactly; A uses implicit types and shortened notation,False,False,36,14,False,True
7364,CategoryTheory.ShortComplex.LeftHomologyData.descH,dense,large,"This definition provides a morphism from the left homology H of a short complex to an object A, given a morphism k from the kernel object K to A that satisfies the condition that the composition of f' (a certain morphism in the left homology data) with k is zero.","CategoryTheory.ShortComplex.LeftHomologyData.descH.{v_1, u_1} {C : Type u_1} [CategoryTheory.Category.{v_1, u_1} C]
  [CategoryTheory.Limits.HasZeroMorphisms C] {S : CategoryTheory.ShortComplex C}
  (h : CategoryTheory.ShortComplex.LeftHomologyData S) {A : C}
  (k : CategoryTheory.ShortComplex.LeftHomologyData.K h ⟶ A)
  (hk : CategoryTheory.CategoryStruct.comp (CategoryTheory.ShortComplex.LeftHomologyData.f' h) k = 0) :
  CategoryTheory.ShortComplex.LeftHomologyData.H h ⟶ A","```lean
def ShortComplex.LeftHomologyData.homologyToOfKernelCondition {C : Type*} [Category C]
    (sc : ShortComplex C) (hc : sc.LeftHomologyData) (A : C)
    (k : hc.K ⟶ A) (hk : hc.f' ≫ k = 0) : hc.H ⟶ A := by sorry
```","```lean
def CategoryTheory.ShortComplex.LeftHomologyData.descH {C : Type u_1} [CategoryTheory.Category.{v_1, u_1} C]
  [CategoryTheory.Limits.HasZeroMorphisms C] {S : CategoryTheory.ShortComplex C}
  (h : CategoryTheory.ShortComplex.LeftHomologyData S) {A : C}
  (k : CategoryTheory.ShortComplex.LeftHomologyData.K h ⟶ A)
  (w : CategoryTheory.CategoryStruct.comp (CategoryTheory.ShortComplex.LeftHomologyData.f' h) k = 0) :
  CategoryTheory.ShortComplex.LeftHomologyData.H h ⟶ A :=
  sorry
```",45,0,T,A matches target signature exactly; B has different parameter names and uses do-notation,False,False,28,7,True,True
174702,Std.Internal.List.getKeyD_filter_containsKey_of_containsKey_eq_false_right,dense,large,"When the key `k` is not contained in the list `l₂` (that is, `containsKey k l₂ = false`), and `l₁` has distinct keys, then looking up the key `k` in the filtered version of `l₁` (where we keep only entries whose keys appear in `l₂`) with fallback value `fallback` returns the fallback value `fallback`.","Std.Internal.List.getKeyD_filter_containsKey_of_containsKey_eq_false_right.{u, v} {α : Type u} {β : α → Type v} [BEq α]
  [EquivBEq α] {l₁ l₂ : List ((a : α) × β a)} {k fallback : α} (dl₁ : Std.Internal.List.DistinctKeys l₁) :
  Std.Internal.List.containsKey k l₂ = false →
    Std.Internal.List.getKeyD k (List.filter (fun p => Std.Internal.List.containsKey (Sigma.fst p) l₂) l₁) fallback =
      fallback","```lean
theorem lookup_filterByKeys_fallback {α β : Type*} [DecidableEq α] {k : α} {l₁ : List (α × β)} {l₂ : List α} {fallback : β}
    (h₁ : containsKey k l₂ = false) (h₂ : l₁.Nodup (fun a b => a.1 = b.1)) :
    (l₁.filter fun p => l₂.contains p.1).lookup k = fallback := by sorry
```","```lean
theorem Std.Internal.List.getKeyD_filter_eq_fallback_of_containsKey_eq_false {α : Type u} {β : α → Type v} [BEq α] [EquivBEq α] {l₁ l₂ : List ((a : α) × β a)} {hl₁ : Std.Internal.List.DistinctKeys l₁} {k : α} (h : Std.Internal.List.containsKey k l₂ = false) (fallback : α) : Std.Internal.List.getKeyD k (List.filter (fun p => Std.Internal.List.containsKey (Sigma.fst p) l₂) l₁) fallback = fallback := by sorry
```",18,0,T,"B matches namespace, types (dependent β), and arg placement; A uses wrong types (non-dependent β), wrong name, DecidableEq vs BEq.",False,False,50,19,False,True
58186,CategoryTheory.IsPushout.inl_isoPushout_hom,dense,large,"When a commutative square is a pushout (witnessed by `h : IsPushout f g inl inr`), and the category has pushouts of `f` and `g`, then composing the morphism `inl : X ⟶ P` with the isomorphism from `P` to the pushout of `f` and `g` yields the canonical inclusion morphism `pushout.inl` from `X` into the pushout.","CategoryTheory.IsPushout.inl_isoPushout_hom.{v₁, u₁} {C : Type u₁} [CategoryTheory.Category.{v₁, u₁} C] {Z X Y P : C}
  {f : Z ⟶ X} {g : Z ⟶ Y} {inl : X ⟶ P} {inr : Y ⟶ P} (h : CategoryTheory.IsPushout f g inl inr)
  [CategoryTheory.Limits.HasPushout f g] :
  CategoryTheory.CategoryStruct.comp inl (CategoryTheory.Iso.hom (CategoryTheory.IsPushout.isoPushout h)) =
    CategoryTheory.Limits.pushout.inl f g","```lean
theorem IsPushout.inl_comp_isoCoprodDesc {C : Type u} [Category C] {X Y Z P : C} {f : X ⟶ Y} {g : X ⟶ Z} {inl : X ⟶ P} {inr : Z ⟶ P} (h : IsPushout f g inl inr) [HasPushout f g] : inl ≫ (h.isoCoprodDesc) = pushout.inl f g := by sorry
```","```lean
theorem CategoryTheory.IsPushout.inl_comp_isoPushout_hom {C : Type u₁} [CategoryTheory.Category.{v₁, u₁} C] {Z X Y P : C}
  {f : Z ⟶ X} {g : Z ⟶ Y} {inl : X ⟶ P} {inr : Y ⟶ P} (h : CategoryTheory.IsPushout f g inl inr)
  [CategoryTheory.Limits.HasPushout f g] :
  CategoryTheory.CategoryStruct.comp inl (CategoryTheory.Iso.hom (CategoryTheory.IsPushout.isoPushout h)) =
    CategoryTheory.Limits.pushout.inl f g :=
  sorry
```",30,0,T,"B matches the target signature exactly (including universe levels, names, and types). A uses different names (isoCoprodDesc vs isoPushout) and mismatches morphism sources.",False,False,25,6,False,True
51917,LawfulGetElem.getElem!_def,dense,large,"The theorem states that for a collection type with a lawful element access operation and an inhabited element type, the unchecked element access operation `c[i]!` is equal to the result of attempting to access the element at index `i` using the safe access operation `c[i]?`, returning the element if it exists (in the `some` case) or the default element if it doesn't (in the `none` case).","LawfulGetElem.getElem!_def.{u, v, w} {cont : Type u} {idx : Type v} {elem : outParam (Type w)}
  {dom : outParam (cont → idx → Prop)} {ge : GetElem? cont idx elem dom} [self : LawfulGetElem cont idx elem dom]
  [Inhabited elem] (c : cont) (i : idx) :
  c[i]! =
    match c[i]? with
    | some e => e
    | none => default","```lean
theorem getUnchecked_eq_getOption_getD [GetElem Cont Idx Elem Dom] [LawfulGetElem Cont Idx Elem Dom] [Inhabited Elem] (c : Cont) (i : Idx) : c[i]! = (c[i]?).getD default
```","```lean
theorem getElem!_eq_getElem? {coll : Type u} {idx : Type v} {elem : Type w} {valid : coll → idx → Prop}
  [GetElem? coll idx elem valid] [Inhabited elem] [LawfulGetElem coll idx elem valid]
  (xs : coll) (i : idx) :
  GetElem?.getElem! xs i = (GetElem?.getElem? xs i).getD (Inhabited.default)
```",13,0,T,A matches target structure exactly with Option.getD; B uses wrong names (getUnchecked vs getElem!),False,False,53,39,False,True
47996,Bimod.TensorBimod.actRight,dense,large,"The declaration defines a morphism in a monoidal category that represents the right action of a monoid object T on the tensor product of two bimodules P and Q, where P is an R-S-bimodule and Q is an S-T-bimodule, going from the tensor product of the underlying object of the tensor bimodule P ⊗ Q with the underlying object of T to the underlying object of P ⊗ Q.","Bimod.TensorBimod.actRight.{v₁, u₁} {C : Type u₁} [CategoryTheory.Category.{v₁, u₁} C]
  [CategoryTheory.MonoidalCategory C] [CategoryTheory.Limits.HasCoequalizers C] {R S T : CategoryTheory.Mon C}
  (P : Bimod R S) (Q : Bimod S T)
  [∀ (X : C),
      CategoryTheory.Limits.PreservesColimitsOfSize.{0, 0, v₁, v₁, u₁, u₁}
        (CategoryTheory.MonoidalCategory.tensorRight X)] :
  CategoryTheory.MonoidalCategoryStruct.tensorObj (Bimod.TensorBimod.X P Q) (CategoryTheory.Mon.X T) ⟶
    Bimod.TensorBimod.X P Q","```lean
def MonoidalCategory.TensorBimodule.rAct {C : Type*} [MonoidalCategory C] {R S T : C} (hR : Monoid R) (hS : Monoid S) (hT : Monoid T) (P : Bimodule R S C) (Q : Bimodule S T C) : (P.obj ⊗ Q.obj) ⊗ T.obj → (P.obj ⊗ Q.obj) := by sorry
```","```lean
def Bimod.TensorBimod.actRight {C : Type u₁} [CategoryTheory.Category.{v₁, u₁} C] [CategoryTheory.MonoidalCategory C] [CategoryTheory.Limits.HasCoequalizers C] {R S T : CategoryTheory.Mon C} (P : Bimod R S) (Q : Bimod S T) [∀ (X : C), CategoryTheory.Limits.PreservesColimitsOfSize.{0, 0, v₁, v₁, u₁, u₁} (CategoryTheory.MonoidalCategory.tensorRight X)] : CategoryTheory.MonoidalCategoryStruct.tensorObj (Bimod.TensorBimod.X P Q) (CategoryTheory.Mon.X T) ⟶ Bimod.TensorBimod.X P Q := by sorry
```",64,0,T,"A matches target signature exactly; B uses incompatible types and structure (bare C objects vs Mon C, different namespacing).",False,False,46,7,False,True
31198,CategoryTheory.Limits.image.ext,dense,large,"If $f: X \to Y$ is a morphism in a category $C$ that has an image, and $g, h$ are two morphisms from the image of $f$ to an object $W$, then $g = h$ whenever the composites of the factorization through the image followed by $g$ and $h$ are equal (that is, when $(\text{factorThruImage } f) \circ g = (\text{factorThruImage } f) \circ h$), provided that the parallel pair of $g$ and $h$ has a limit.","CategoryTheory.Limits.image.ext.{v, u} {C : Type u} [CategoryTheory.Category.{v, u} C] {X Y : C} (f : X ⟶ Y)
  [CategoryTheory.Limits.HasImage f] {W : C} {g h : CategoryTheory.Limits.image f ⟶ W}
  [CategoryTheory.Limits.HasLimit (CategoryTheory.Limits.parallelPair g h)]
  (w :
    CategoryTheory.CategoryStruct.comp (CategoryTheory.Limits.factorThruImage f) g =
      CategoryTheory.CategoryStruct.comp (CategoryTheory.Limits.factorThruImage f) h) :
  g = h","```lean
theorem image_morphism_ext {C : Type*} [Category C] {X Y W : C} (f : X ⟶ Y) 
    [HasImage f] (g h : image f ⟶ W) 
    (h_eq : imageEmbedding f ∘ g = imageEmbedding f ∘ h) : g = h :=
  sorry
```","```lean
def CategoryTheory.Limits.image.lift_uniqueness
    {C : Type u} [CategoryTheory.Category.{v, u} C] {X Y : C} {f : X ⟶ Y}
    [CategoryTheory.Limits.HasImage f]
    {W : C} {g h : CategoryTheory.Limits.image f ⟶ W}
    (w : CategoryTheory.CategoryStruct.comp (CategoryTheory.Limits.factorThruImage f) g =
         CategoryTheory.CategoryStruct.comp (CategoryTheory.Limits.factorThruImage f) h)
    [CategoryTheory.Limits.HasLimit (CategoryTheory.Limits.parallelPair g h)] :
    g = h := by sorry
```",63,0,T,"B matches the target signature exactly with correct parameter order and names, while A uses different names (imageEmbedding vs factorThruImage) and omits the HasLimit constraint.",False,False,29,17,False,True
173044,TestFunction.limitCLM,dense,large,"Looking at this declaration, I need to understand what it constructs.

This is a constructor that builds a continuous linear map from the space of test functions (on an open set Ω in a normed space E, taking values in F, with smoothness order n) to a topological vector space V over a field 𝕜.

The constructor takes as input:
1. A function `toFun` from test functions to V
2. A family of continuous linear maps `T`, one for each compact set K contained in Ω, mapping continuously differentiable functions supported in K to V
3. A proof that `toFun` agrees with the appropriate map from the family `T` on each test function

Given a function from test functions to a locally convex topological vector space V, along with a compatible family of continuous linear maps defined on continuously differentiable functions with compact support in each compact subset K of Ω, and a proof that these data are consistent, this constructs a continuous linear map from the space of test functions on Ω with values in F and smoothness order n to V.","TestFunction.limitCLM.{u_1, u_3, u_4, u_6} (𝕜 : Type u_1) [NontriviallyNormedField 𝕜] {E : Type u_3}
  [NormedAddCommGroup E] [NormedSpace ℝ E] {Ω : TopologicalSpace.Opens E} {F : Type u_4} [NormedAddCommGroup F]
  [NormedSpace ℝ F] [NormedSpace 𝕜 F] {n : ℕ∞} {V : Type u_6} [AddCommGroup V] [Module ℝ V] [t : TopologicalSpace V]
  [IsTopologicalAddGroup V] [ContinuousSMul ℝ V] [LocallyConvexSpace ℝ V] [Algebra ℝ 𝕜] [IsScalarTower ℝ 𝕜 F]
  [Module 𝕜 V] [IsScalarTower ℝ 𝕜 V] (toFun : TestFunction Ω F n → V)
  (T : (K : TopologicalSpace.Compacts E) → ↑K ⊆ ↑Ω → ContDiffMapSupportedIn E F n K →L[𝕜] V)
  (toFun_eq_T :
    ∀ (K : TopologicalSpace.Compacts E) (K_sub_Ω : ↑K ⊆ ↑Ω) (f : ContDiffMapSupportedIn E F n K),
      toFun (TestFunction.ofSupportedIn K_sub_Ω f) = (T K K_sub_Ω) f) :
  TestFunction Ω F n →L[𝕜] V","```lean
structure TestFunctionContinuousLinearMap (𝕜 : Type*) [NontriviallyNormedField 𝕜] 
    (E : Type*) [NormedAddCommGroup E] [NormedSpace 𝕜 E] (Ω : Set E) [OpenEmbedding Coe.coe]
    (F : Type*) [NormedAddCommGroup F] [NormedSpace 𝕜 F] (n : ℕ∞)
    (V : Type*) [LocallyConvexSpace 𝕜 V] [TopologicalAddCommGroup V] where
  toFun : (TestFunction 𝕜 E Ω F n) → V
  T : ∀ (K : Set E), IsCompact K → K ⊆ Ω → 
      ContinuousLinearMap 𝕜 (C_c^n(K, F)) V
  map_eq : ∀ (f : TestFunction 𝕜 E Ω F n), 
      toFun f = T f.carrier f.isCompact_carrier f.carrier_subset (f : C_c^n(f.carrier, F))
```","```lean
def TestFunction.limitCLM {𝕜 : Type u_1} [NontriviallyNormedField 𝕜] {E : Type u_3}
  [NormedAddCommGroup E] [NormedSpace ℝ E] {Ω : TopologicalSpace.Opens E} {F : Type u_4} [NormedAddCommGroup F]
  [NormedSpace ℝ F] [NormedSpace 𝕜 F] {n : ℕ∞} {V : Type u_6} [AddCommGroup V] [Module ℝ V] [t : TopologicalSpace V]
  [IsTopologicalAddGroup V] [ContinuousSMul ℝ V] [LocallyConvexSpace ℝ V] [Algebra ℝ 𝕜] [IsScalarTower ℝ 𝕜 F]
  [Module 𝕜 V] [IsScalarTower ℝ 𝕜 V] (toFun : TestFunction Ω F n → V)
  (T : (K : TopologicalSpace.Compacts E) → ↑K ⊆ ↑Ω → ContDiffMapSupportedIn E F n K →L[𝕜] V)
  (toFun_eq_T :
    ∀ (K : TopologicalSpace.Compacts E) (K_sub_Ω : ↑K ⊆ ↑Ω) (f : ContDiffMapSupportedIn E F n K),
      toFun (TestFunction.ofSupportedIn K_sub_Ω f) = (T K K_sub_Ω) f) :
  TestFunction Ω F n →L[𝕜] V := by sorry
```",211,29,T,A matches the target signature exactly; B changes the structure to a custom record type instead of returning a ContinuousLinearMap.,False,False,103,10,False,True
24055,Module.Flat.lTensor_exact,dense,large,"If $M$ is a flat $R$-module and the sequence $N \xrightarrow{f} N' \xrightarrow{g} N''$ is exact (meaning the image of $f$ equals the kernel of $g$), then the sequence $M \otimes_R N \xrightarrow{M \otimes f} M \otimes_R N' \xrightarrow{M \otimes g} M \otimes_R N''$ is also exact, where $M \otimes f$ and $M \otimes g$ denote the left tensor product functors applied to the linear maps $f$ and $g$ respectively.","Module.Flat.lTensor_exact.{u, v, u_1, u_2, u_3} {R : Type u} (M : Type v) [CommRing R] [AddCommGroup M] [Module R M]
  [Module.Flat R M] ⦃N : Type u_1⦄ ⦃N' : Type u_2⦄ ⦃N'' : Type u_3⦄ [AddCommGroup N] [AddCommGroup N']
  [AddCommGroup N''] [Module R N] [Module R N'] [Module R N''] ⦃f : N →ₗ[R] N'⦄ ⦃g : N' →ₗ[R] N''⦄
  (exact : Function.Exact ⇑f ⇑g) : Function.Exact ⇑(LinearMap.lTensor M f) ⇑(LinearMap.lTensor M g)","```lean
theorem flat_module_preserves_exact {R : Type*} [CommRing R] {M N N' N'' : Type*} 
  [AddCommMonoid N] [Module R N] [AddCommMonoid N'] [Module R N'] 
  [AddCommMonoid N''] [Module R N''] [AddCommMonoid M] [Module R M]
  (hM : Module.Flat R M) (f : N →ₗ[R] N') (g : N' →ₗ[R] N'')
  (hexact : Function.Injective g ∘ f ∧ g.ker = f.range) :
  Function.Injective (TensorProduct.map (LinearMap.id : M →ₗ[R] M) g ∘ 
    TensorProduct.map (LinearMap.id : M →ₗ[R] M) f) ∧ 
  (TensorProduct.map (LinearMap.id : M →ₗ[R] M) g).ker = 
  (TensorProduct.map (LinearMap.id : M →ₗ[R] M) f).range := by sorry
```","```lean
theorem lTensor_exact_of_flat {R : Type u_1} {M : Type u_2} {N : Type u_3} {P : Type u_4} [CommRing R] [AddCommGroup M] [AddCommGroup N] [AddCommGroup P] [Module R M] [Module R N] [Module R P] [Module.Flat R M] {f : N →ₗ[R] P} {g : P →ₗ[R] M} (hfg : Function.Exact ⇑f ⇑g) : Function.Exact ⇑(LinearMap.lTensor M f) ⇑(LinearMap.lTensor M g)
```",181,4,T,A matches target signature closely; B uses different type classes (AddCommMonoid vs AddCommGroup) and different definition of exactness,False,False,82,40,True,True
