Unnamed: 0,query,sources,time,tags,top_k,types,authors,year_range,citation_range,journal_status,citation_weight,include_unknown_citations,paper_ids,paper_titles,frequency
482,"Let [n] = {0,...,n-1}. There is a prescribed way to write each functions f:[n] -> [m] as a linear combination G(f) over Z of monotone functions [n] -> [m]  such that:1. if f is monotone, then G(f) is the trivial linear combination ""f"". 2. If g:[m]->[k] another function, then G(gf)=G(g)G(f) when composition of linear combinations is extended bi-linearly from ordinar composition ","An Infinitely Large Napkin,arXiv,CRing Project,HoTT Book,Open Logic Project,ProofWiki,Stacks Project",02-16-2026 06:35 PM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,1
375,"## Theorem Let $p \ge 1$. For a tree $\Gamma_p$ constructed as described in the setup, with degrees $n_k \ge 2$, positive strengths $\alpha_k > 0$ for $k=1,...,p$, and positive internal edge lengths $a_k > 0$ for $k=1,...,p-1$, the function $\det D_{\Gamma_p}(\omega)$ has a root of order exactly $p-1$ at $\omega=0$. In particular, $$\partial_{\omega}^{(p-1)}\det D_{\Gamma_p}(\omega)_{\vert \omega=0}\neq 0.$$",arXiv,02-19-2026 11:01 AM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,1
742,"Let P be a ranked poset with a unique minimal and maximal element.  Let C_n be a chain. The number of functions F:Px{1,2,..., } ->{0,1,2,...} such that F(x,y)-F(x',y') \in {0,1} if (x,y) covers (x',y') in Px{1,..,n}, and F(0,y)=F(x,0)=0 for all x in P, y in {1,...,n} and F(x,y) is always bounded by rank of P",arXiv,02-03-2026 08:04 AM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,1
395,"For any $k\geq 2$ let $g_k(n)$ denote the maximum value of\[(a_1+\cdots+a_k)-n\]where $a_1,\ldots,a_k$ are integers such that $a_1!\cdots a_k! \mid n!$. Can one show that\[\sum_{n\leq x}g_k(n) \sim c_k x\log x\]for some constant $c_k$? Is it true that there is a constant $c_k$ such that for almost all $n<x$ we have\[g_k(n)=c_k\log x+o(\log x)?\]","An Infinitely Large Napkin,arXiv,CRing Project,HoTT Book,Open Logic Project,ProofWiki,Stacks Project",02-18-2026 10:51 PM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,1
23,"(Artin). Let K be afield and let G be a finite group of automorphisms of K, of order n. Let k = K G be the fixed field. Then K is a finite Galois extension of k, and its Galois group is G. We have [K : k] = n.",arXiv,03-20-2026 09:46 AM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,1
445,"There is an absolute constant C1 > 0 such that for every integer k ≥ 1, we have log num(B2k) ≤ C1 k log(2k). Consequently, there is an absolute constant C2 > 0 such that for all m ≥ 2, log Pm ≤ C2 m2 log m.","An Infinitely Large Napkin,arXiv,CRing Project,HoTT Book,Open Logic Project,ProofWiki,Stacks Project",02-17-2026 08:43 AM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,1
166,Let 1 < p < ∞ and A(D) be a homogeneous differential operator of order k on Rn from V to E. The estimate ∥Dku∥Lp ≤ C∥A(D)u∥Lp holds for every u ∈ C∞ c (Rn; V ) if and only if A(D) is elliptic.,arXiv,03-04-2026 07:17 AM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,1
219,"The ratio between the total win and total bet of wagers on roulette will converge almost surely to 36/37; it does not matter whether the bet changes value at each spin, or that the player changes the betting opportunity (red, black, single number etc)",arXiv,02-25-2026 08:52 AM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,1
631,Suppose p(t)/q(t) is a quotient of two polynomials p and q. Suppose q(t_0) not equal 0. Then the power series expansion for p/q about t_0 has radius of convergence equal to the closest distance from t_0 to the roots (including complex roots) of q.,arXiv,02-07-2026 05:45 AM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,1
744,"a theorem about the number of functions F:Px{1,2,..., } ->{0,1,2,...} such that F(x,y)-F(x',y') \in {0,1} if (x,y) covers (x',y') in Px{1,..,n}, and F(0,y)=F(x,0)=0 for all x in P, y in {1,...,n} and F(x,y) is always bounded by rank of P",arXiv,02-03-2026 08:00 AM,,25,,,"[1991, 2026]","[0, 1502]",All,0,True,,,2
