node_id,full_name,project,module,indeg,sig_len,NL,F_signature,F_B,F_T,dep_count,dep_truncated,judge_prefer,judge_notes,vacuous_B,vacuous_T,edit_dist_B,edit_dist_T
727938,GrowthInGroups.Lecture3.lemma_3_7,cam-combi,LeanCamCombi.GrowthInGroups.Lecture3,0,163,"Let $G$ be a group and let $A$ and $B$ be symmetric subsets of $G$ (i.e., $A^{-1} = A$ and $B^{-1} = B$). For any elements $x$ and $y$ in $G$, there exists an element $z$ in $G$ such that the intersection of the left translate $xA$ and the left translate $yB$ is contained in the left translate $z(A^2 \cap B^2)$, where $A^2$ and $B^2$ denote the product sets $A \cdot A$ and $B \cdot B$ respectively.","GrowthInGroups.Lecture3.lemma_3_7.{u_1} {G : Type u_1} [Group G] {A B : Set G} (hA : A⁻¹ = A) (hB : B⁻¹ = B) (x y : G) :
  ∃ z, x • A ∩ y • B ⊆ z • (A ^ 2 ∩ B ^ 2)","```lean
theorem symmetric_subsets_intersection (G : Type*) [Group G] (A B : Set G)
    (hA : A⁻¹ = A) (hB : B⁻¹ = B) (x y : G) :
    ∃ z : G, (x • A) ∩ (y • B) ⊆ z • (A * A ∩ B * B) := by sorry
```","```lean
theorem exists_translate_inter_translate_subset_translate_sq_inter_sq {G : Type u} [Group G] (A B : Set G) (x y : G) :
  ∃ z : G, x • A ∩ y • B ⊆ z • (A ^ 2 ∩ B ^ 2) := by sorry
```",71,0,B,"A includes symmetry hypotheses hA and hB which match the target; B omits them, making it weaker/different.",False,False,21,21
677770,FirstOrder.Language.Theory.not_isStable,cam-combi,LeanCamCombi.StableCombi.Formula,1,197,A first-order theory $T$ is not stable if and only if $T$ has the order property.,"FirstOrder.Language.Theory.not_isStable.{u_1, u_2} {L : FirstOrder.Language} {T : FirstOrder.Language.Theory L} :
  ¬FirstOrder.Language.Theory.IsStable T ↔ FirstOrder.Language.Theory.IsOrderProp T","```lean
theorem theory_unstable_iff_has_order_property (T : FirstOrderTheory L) :
  ¬Stable T ↔ HasOrderProperty T
```","```lean
theorem FirstOrder.Language.Theory.not_isStable {L : FirstOrder.Language} (T : FirstOrder.Language.Theory L) :
  ¬T.IsStable ↔ T.IsOrderProp := by sorry
```",34,0,T,"A uses correct namespace and theorem name matching target; B uses undefined types FirstOrderTheory, Stable, HasOrderProperty",False,False,10,10
847498,not_isAddStable,cam-combi,LeanCamCombi.StableCombi.AddSet,0,97,A subset $A$ of an additive group $G$ fails to be additively stable if and only if $A$ has the additive order property.,not_isAddStable.{u_1} {G : Type u_1} [AddGroup G] {A : Set G} : ¬IsAddStable A ↔ IsAddOrderProp A,"```lean
theorem not_add_stable_iff_has_add_order_property {G : Type*} [AddGroup G] (A : Set G) :
    ¬(∀ a b ∈ A, a + b ∈ A) ↔ ∃ n : ℕ, ∃ a ∈ A, a + a + ... + a (n times) ∉ A := by sorry
```","```lean
theorem not_isAddStable_iff_isAddOrderProp {G : Type u_1} [AddGroup G] (A : Set G) : ¬IsAddStable A ↔ IsAddOrderProp A
```",17,0,T,Candidate A matches the target signature exactly with correct naming and types. Candidate B uses unfolded definitions and incorrect syntax.,False,False,37,4
748089,Finset.mem_certificator,cam-combi,LeanCamCombi.PlainCombi.VanDenBergKesten,5,217,"The theorem states that an element `a` belongs to the certificator of two finsets `s` and `t` (in a Boolean algebra) if and only if there exist complementary elements `x` and `y` such that: (1) any element `b` whose meet with `x` equals `a`'s meet with `x` must be in `s`, and (2) any element `b` whose meet with `y` equals `a`'s meet with `y` must be in `t`.","Finset.mem_certificator.{u_1} {α : Type u_1} [BooleanAlgebra α] {s t : Finset α} {a : α} :
  a ∈ Finset.certificator s t ↔
    ∃ x y, IsCompl x y ∧ (∀ ⦃b : α⦄, a ⊓ x = b ⊓ x → b ∈ s) ∧ ∀ ⦃b : α⦄, a ⊓ y = b ⊓ y → b ∈ t","```lean
theorem mem_certificator_iff {α : Type*} [BooleanAlgebra α] {s t : Finset α} {a : α} :
  a ∈ certificator s t ↔ ∃ x y : α, isCompl x y ∧
    (∀ b : α, b ⊓ x = a ⊓ x → b ∈ s) ∧
    (∀ b : α, b ⊓ y = a ⊓ y → b ∈ t) := by sorry
```","```lean
theorem Finset.mem_certificator {α : Type*} [BooleanAlgebra α] {s t : Finset α} {a : α} :
  a ∈ Finset.certificator s t ↔ ∃ x y, IsCompl x y ∧ (∀ b, a ⊓ x = b ⊓ x → b ∈ s) ∧ (∀ b, a ⊓ y = b ⊓ y → b ∈ t)
```",50,0,T,B matches target order (a ⊓ x = b ⊓ x); A reverses it (b ⊓ x = a ⊓ x). Both semantically equivalent but B is syntactically closer.,False,False,22,12
735182,GraphTheory.ES1.q6,cam-combi,LeanCamCombi.GraphTheory.ExampleSheet1,0,211,"Looking at this Lean 4 declaration, here is the mathematical statement in plain English:

For a finite type α and a multiset s of natural numbers with the same cardinality as α and containing no zeros, the sum of s equals 2 times the cardinality of α minus 2 if and only if there exists a graph G on vertex type α and an element x such that the degree sequence of G equals s.","GraphTheory.ES1.q6.{u_2} {α : Type u_2} [Fintype α] (s : Multiset ℕ) (hs : Multiset.card s = Fintype.card α)
  (h₀ : 0 ∉ s) : Multiset.sum s = 2 * Fintype.card α - 2 ↔ ∃ G x, GraphTheory.ES1.degreeSequence G = s","```lean
theorem sum_eq_two_card_sub_two_iff_exists_graph [Fintype α] (s : Multiset ℕ) 
    (h_card : s.card = Fintype.card α) (h_nonzero : ∀ n ∈ s, n ≠ 0) :
    s.sum id = 2 * Fintype.card α - 2 ↔ 
    ∃ (G : SimpleGraph α) (x : α), G.degreeSequence = s
```","```lean
theorem degreeSequence_sum_eq_iff {α : Type*} [Fintype α] (s : Multiset ℕ) 
    (h_card : Multiset.card s = Fintype.card α) 
    (h_noZ : ∀ n ∈ s, n ≠ 0) :
    Multiset.sum s = 2 * Fintype.card α - 2 ↔ 
    ∃ (G : SimpleGraph α) (x : α), GraphTheory.ES1.degreeSequence G = s := by sorry
```",49,0,tie,"Both match target semantics; A uses Multiset.sum, B uses s.sum id (equivalent); h_noZ vs h_nonzero are equivalent to h₀ condition",False,False,26,23
873737,GrowthInGroups.Lecture1.theorem_1_2,cam-combi,LeanCamCombi.GrowthInGroups.Lecture1,0,176,"Claude 3.5 Sonnet (2025-01-22)

<thinking>
Let me parse this Lean 4 declaration carefully.

The theorem is named `GrowthInGroups.Lecture1.theorem_1_2`.

The statement is:
```lean
{G : Type u_1} [Group G] [DecidableEq G] [Group.FG G] :
  GrowthInGroups.Lecture1.HasPolynomialGrowth G ↔ Group.IsVirtuallyNilpotent G
```

This says:
- We have a type `G` with a group structure
- `G` has decidable equality
- `G` is finitely generated (that's what `Group.FG G` means)
- The theorem states that `G` has polynomial growth if and only if `G` is virtually nilpotent

This is actually a famous theorem in geometric group theory - Gromov's theorem on groups of polynomial growth!

Let me write this in clear mathematical English without mentioning Lean syntax.
</thinking>

A finitely generated group has polynomial growth if and only if it is virtually nilpotent (meaning it contains a nilpotent subgroup of finite index).","GrowthInGroups.Lecture1.theorem_1_2.{u_1} {G : Type u_1} [Group G] [DecidableEq G] [Group.FG G] :
  GrowthInGroups.Lecture1.HasPolynomialGrowth G ↔ Group.IsVirtuallyNilpotent G","```lean
theorem GrowthInGroups.Lecture1.theorem_1_2 {G : Type u_1} [Group G] [DecidableEq G] [Group.FG G] :
  GrowthInGroups.Lecture1.HasPolynomialGrowth G ↔ Group.IsVirtuallyNilpotent G := by sorry
```","```lean
theorem GrowthInGroups.Lecture1.theorem_1_2 {G : Type u_1} [Group G] [DecidableEq G] [Group.FG G] :
  GrowthInGroups.Lecture1.HasPolynomialGrowth G ↔ Group.IsVirtuallyNilpotent G := by sorry
```",10,0,tie,Both candidates are syntactically identical to the target signature and to each other.,False,False,5,5
702050,not_isStableRelWith,cam-combi,LeanCamCombi.StableCombi.Rel,4,137,The relation `r` between types `α` and `β` is not stable at level `n` if and only if `r` is an order-propagating relation at level `n`.,"not_isStableRelWith.{u_1, u_2} {α : Type u_1} {β : Type u_2} {n : ℕ} {r : α → β → Prop} :
  ¬IsStableRelWith n r ↔ IsOrderPropRelWith n r","```lean
theorem not_stable_iff_order_propagating (r : α → β → Prop) (n : ℕ) : 
  ¬Stable r n ↔ OrderPropagating r n := by sorry
```","```lean
theorem not_isStableRelWith_iff_isOrderPropRelWith {α : Type u_1} {β : Type u_2} {n : ℕ} {r : α → β → Prop} : ¬IsStableRelWith n r ↔ IsOrderPropRelWith n r := by sorry
```",20,0,T,B matches target signature exactly; A uses undefined predicates Stable and OrderPropagating instead of IsStableRelWith and IsOrderPropRelWith,False,False,24,5
873252,not_isAddStableWith,cam-combi,LeanCamCombi.StableCombi.AddSet,0,123,The negation of the property that a set $A$ in an additive group $G$ is add-stable with parameter $n$ is equivalent to the property that $A$ satisfies the add-order property with parameter $n$.,"not_isAddStableWith.{u_1} {G : Type u_1} [AddGroup G] {n : ℕ} {A : Set G} :
  ¬IsAddStableWith n A ↔ IsAddOrderPropWith n A","```lean
theorem not_addStable_iff_addOrder {G : Type*} [AddGroup G] {A : Set G} {n : ℕ} :
  ¬(∀ a b : G, a ∈ A → b ∈ A → a + b ∈ A) ↔ 
  (∃ a b : G, a ∈ A ∧ b ∈ A ∧ a + b ∉ A) := by sorry
```","```lean
theorem not_isAddStableWith {G : Type u_1} [AddGroup G] (n : ℕ) (A : Set G) :
  ¬IsAddStableWith n A ↔ IsAddOrderPropWith n A
```",18,0,T,A matches the target signature exactly with correct type class predicates; B replaces named predicates with expanded logical formulas.,False,False,45,6
701250,IsStableRelWith,cam-combi,LeanCamCombi.StableCombi.Rel,11,90,"A relation `r : α → β → Prop` is stable relative to a natural number `n` if for any element `a : α` and any element `b : β`, the proposition `r a b` holds if and only if `r a b` remains true after applying the relation `n` times in a certain iterative sense.

However, more precisely, `IsStableRelWith n r` asserts that the relation `r` satisfies a stability condition with respect to the parameter `n`, where the specific meaning depends on the definition's implementation details in the formalization.","IsStableRelWith.{u_1, u_2} {α : Type u_1} {β : Type u_2} (n : ℕ) (r : α → β → Prop) : Prop","```lean
def IsStableRelWith (n : ℕ) (r : α → β → Prop) : Prop := by sorry
```","```lean
def IsStableRelWith (n : ℕ) (r : α → β → Prop) : Prop := by sorry
```",4,0,tie,Both candidates are identical and match the target signature exactly.,False,False,13,13
838771,FinsetFamily.«term_□_»,cam-combi,LeanCamCombi.PlainCombi.VanDenBergKesten,0,49,"This defines a notation `□` in the `FinsetFamily` namespace, which is a trailing parser descriptor used for syntactic sugar in expressions involving finset families.",FinsetFamily.«term_□_» : Lean.TrailingParserDescr,"```lean
namespace FinsetFamily

syntax:max ""□"" : term

end FinsetFamily
```","```lean
namespace FinsetFamily

notation:max ""□"" => Lean.ParserDescr.trailingNode (Lean.Name.mkStr2 ""FinsetFamily"" ""box"") 1024 1024 (Lean.ParserDescr.symbol ""□"")

end FinsetFamily
```",9,0,B,A declares the syntax notation correctly for term_□_; B attempts lower-level parser construction incorrectly.,False,False,7,15
