node_id,full_name,stratum_indeg,stratum_size,F_signature,NL,F_T,dep_count,dep_truncated,F_Tnames,dep_names_count,dep_names_truncated,judge_T_vs_Tnames,judge_T_vs_Tnames_notes,vacuous_T_in_Tnames_pair,vacuous_Tnames,edit_dist_Tnames,F_Trandom,rand_count,rand_truncated,judge_T_vs_Trandom,judge_T_vs_Trandom_notes,vacuous_T_in_Trandom_pair,vacuous_Trandom,edit_dist_Trandom,typecheck_T,typecheck_Tnames,typecheck_Trandom
142999,stronglyMeasurable_iff_measurable_separable,dense,large,"stronglyMeasurable_iff_measurable_separable.{u_1, u_2} {α : Type u_1} {β : Type u_2} {f : α → β} {m : MeasurableSpace α}
  [TopologicalSpace β] [TopologicalSpace.PseudoMetrizableSpace β] [MeasurableSpace β] [BorelSpace β] :
  MeasureTheory.StronglyMeasurable f ↔ Measurable f ∧ TopologicalSpace.IsSeparable (Set.range f)",A function `f` from a measurable space `α` to a topological space `β` (which is pseudo-metrizable and has a Borel measurable structure) is strongly measurable if and only if `f` is measurable and the range of `f` is a separable topological subspace.,"```lean
theorem stronglyMeasurable_iff_measurable_and_separable_range
    {α : Type u_1} {β : Type u_2} [MeasurableSpace α] [TopologicalSpace β]
    [TopologicalSpace.PseudoMetrizableSpace β] [MeasurableSpace β] [BorelSpace β]
    {f : α → β} :
    MeasureTheory.StronglyMeasurable f ↔ Measurable f ∧ TopologicalSpace.IsSeparable (Set.range f) := by
  sorry
```",35,0,"```lean
theorem stronglyMeasurable_iff_measurable_and_isSeparable_range [MeasurableSpace α] [TopologicalSpace β] [PseudoMetrizableSpace β] [BorelSpace β] (f : α → β) : StronglyMeasurable f ↔ Measurable f ∧ IsSeparable (range f)
```",35,0,T,A matches target exactly with explicit params and Set/TopologicalSpace prefixes; B omits these and uses wrong ordering.,False,False,29,"```lean
theorem stronglyMeasurable_iff_measurable_and_separableSpace_range {α β : Type*} {m : MeasurableSpace α} [TopologicalSpace β] [TopologicalSpace.PseudoMetrizableSpace β] [MeasurableSpace β] [BorelSpace β] {f : α → β} : MeasureTheory.StronglyMeasurable f ↔ Measurable f ∧ SeparableSpace ↑(Set.range f) := by sorry
```",35,0,T,B uses IsSeparable (Set.range f) matching target exactly; A uses SeparableSpace ↑(Set.range f) which is semantically different notion.,False,False,25,True,False,False
25874,CategoryTheory.Iso.map_inv_hom_id_assoc,dense,large,"CategoryTheory.Iso.map_inv_hom_id_assoc.{v, u, v_1, u_1} {C : Type u} [CategoryTheory.Category.{v, u} C] {D : Type u_1}
  [CategoryTheory.Category.{v_1, u_1} D] {X Y : C} (e : X ≅ Y) (F : CategoryTheory.Functor C D) {Z : D}
  (h : CategoryTheory.Functor.obj F Y ⟶ Z) :
  CategoryTheory.CategoryStruct.comp (CategoryTheory.Functor.map F (CategoryTheory.Iso.inv e))
      (CategoryTheory.CategoryStruct.comp (CategoryTheory.Functor.map F (CategoryTheory.Iso.hom e)) h) =
    h","Looking at this Lean 4 declaration, I need to parse the structure of the equality being asserted.

The theorem states that for an isomorphism `e : X ≅ Y` in a category C, a functor F from C to D, and a morphism h from F(Y) to some object Z in D, the composition of F applied to the inverse of e with the composition of F applied to the morphism part of e and h equals h itself. In other words, composing F(e⁻¹) with (F(e) composed with h) simplifies to just h, which reflects the fact that applying a functor to an isomorphism and its inverse yields an isomorphism in the target category whose composition with any subsequent morphism can be simplified by canceling the inverse.","```lean
theorem CategoryTheory.Functor.map_inv_comp_map_hom_comp {C : Type u₁} [CategoryTheory.Category.{v₁, u₁} C] {D : Type u₂} [CategoryTheory.Category.{v₂, u₂} D] {X Y : C} (e : X ≅ Y) (F : CategoryTheory.Functor C D) {Z : D} (h : CategoryTheory.Functor.obj F Y ⟶ Z) : CategoryTheory.CategoryStruct.comp (CategoryTheory.Functor.map F (CategoryTheory.Iso.inv e)) (CategoryTheory.CategoryStruct.comp (CategoryTheory.Functor.map F (CategoryTheory.Iso.hom e)) h) = h := by sorry
```",30,0,"```lean
theorem CategoryTheory.Functor.map_inv_comp_eq {C D : Type*} [CategoryTheory.Category C] [CategoryTheory.Category D] {X Y Z : C} (e : X ≅ Y) (F : CategoryTheory.Functor C D) (h : F.obj Y ⟶ Z) : F.map e.inv ≫ (F.map e.hom ≫ h) = h
```",30,0,tie,Both match the target semantically; A uses explicit composition while B uses categorical composition notation.,False,False,32,"```lean
theorem CategoryTheory.Functor.map_inv_comp_map_comp {C : Type u} [CategoryTheory.Category.{v, u} C] {D : Type u₂} [CategoryTheory.Category.{v₂, u₂} D] {X Y Z : C} (e : X ≅ Y) (F : CategoryTheory.Functor C D) (h : F.obj Y ⟶ Z) : CategoryTheory.CategoryStruct.comp (F.map (CategoryTheory.Iso.inv e)) (CategoryTheory.CategoryStruct.comp (F.map (CategoryTheory.Iso.hom e)) h) = h
```",30,0,T,"B has Z : C instead of Z : D, making it a different statement about morphisms in C rather than D.",False,False,18,True,False,False
7364,CategoryTheory.ShortComplex.LeftHomologyData.descH,dense,large,"CategoryTheory.ShortComplex.LeftHomologyData.descH.{v_1, u_1} {C : Type u_1} [CategoryTheory.Category.{v_1, u_1} C]
  [CategoryTheory.Limits.HasZeroMorphisms C] {S : CategoryTheory.ShortComplex C}
  (h : CategoryTheory.ShortComplex.LeftHomologyData S) {A : C}
  (k : CategoryTheory.ShortComplex.LeftHomologyData.K h ⟶ A)
  (hk : CategoryTheory.CategoryStruct.comp (CategoryTheory.ShortComplex.LeftHomologyData.f' h) k = 0) :
  CategoryTheory.ShortComplex.LeftHomologyData.H h ⟶ A","This definition provides a morphism from the left homology H of a short complex to an object A, given a morphism k from the kernel object K to A that satisfies the condition that the composition of f' (a certain morphism in the left homology data) with k is zero.","```lean
def CategoryTheory.ShortComplex.LeftHomologyData.descH {C : Type u_1} [CategoryTheory.Category.{v_1, u_1} C]
  [CategoryTheory.Limits.HasZeroMorphisms C] {S : CategoryTheory.ShortComplex C}
  (h : CategoryTheory.ShortComplex.LeftHomologyData S) {A : C}
  (k : CategoryTheory.ShortComplex.LeftHomologyData.K h ⟶ A)
  (w : CategoryTheory.CategoryStruct.comp (CategoryTheory.ShortComplex.LeftHomologyData.f' h) k = 0) :
  CategoryTheory.ShortComplex.LeftHomologyData.H h ⟶ A :=
  sorry
```",45,0,"```lean
def CategoryTheory.ShortComplex.LeftHomologyData.descH {C : Type u_1} [CategoryTheory.Category C] [CategoryTheory.Limits.HasZeroMorphisms C] {S : CategoryTheory.ShortComplex C} (h : CategoryTheory.ShortComplex.LeftHomologyData S) {A : C} (k : h.K ⟶ A) (hk : h.f' ≫ k = 0) : h.H ⟶ A
```",45,0,Tnames,"Both match semantically; A uses lean4 notation (h.K, ≫) while B uses full names. Both are definition stubs, neither vacuous.",False,False,13,"```lean
def CategoryTheory.ShortComplex.LeftHomologyData.liftH {C : Type u_1} [CategoryTheory.Category.{v_1, u_1} C]
  [CategoryTheory.Limits.HasZeroMorphisms C] {S : CategoryTheory.ShortComplex C}
  (h : CategoryTheory.ShortComplex.LeftHomologyData S) {A : C} (k : CategoryTheory.ShortComplex.LeftHomologyData.K h ⟶ A)
  (hk : CategoryTheory.CategoryStruct.comp (CategoryTheory.ShortComplex.LeftHomologyData.f' h) k = 0) :
  CategoryTheory.ShortComplex.LeftHomologyData.H h ⟶ A
```",45,0,T,B matches name and parameter names exactly; A uses 'liftH' instead of 'descH' and 'hk' instead of 'w'.,False,False,4,True,False,True
174702,Std.Internal.List.getKeyD_filter_containsKey_of_containsKey_eq_false_right,dense,large,"Std.Internal.List.getKeyD_filter_containsKey_of_containsKey_eq_false_right.{u, v} {α : Type u} {β : α → Type v} [BEq α]
  [EquivBEq α] {l₁ l₂ : List ((a : α) × β a)} {k fallback : α} (dl₁ : Std.Internal.List.DistinctKeys l₁) :
  Std.Internal.List.containsKey k l₂ = false →
    Std.Internal.List.getKeyD k (List.filter (fun p => Std.Internal.List.containsKey (Sigma.fst p) l₂) l₁) fallback =
      fallback","When the key `k` is not contained in the list `l₂` (that is, `containsKey k l₂ = false`), and `l₁` has distinct keys, then looking up the key `k` in the filtered version of `l₁` (where we keep only entries whose keys appear in `l₂`) with fallback value `fallback` returns the fallback value `fallback`.","```lean
theorem Std.Internal.List.getKeyD_filter_eq_fallback_of_containsKey_eq_false {α : Type u} {β : α → Type v} [BEq α] [EquivBEq α] {l₁ l₂ : List ((a : α) × β a)} {hl₁ : Std.Internal.List.DistinctKeys l₁} {k : α} (h : Std.Internal.List.containsKey k l₂ = false) (fallback : α) : Std.Internal.List.getKeyD k (List.filter (fun p => Std.Internal.List.containsKey (Sigma.fst p) l₂) l₁) fallback = fallback := by sorry
```",18,0,"```lean
theorem Std.Internal.List.getKeyD_filter_of_containsKey_eq_false {α : Type u_1} {β : α → Type u_2} [BEq α] [EquivBEq α] {k : α} {l₁ : List (Σ a, β a)} {l₂ : List (Σ a, β a)} {fallback : β k} (h₁ : Std.Internal.List.DistinctKeys l₁) (h₂ : Std.Internal.List.containsKey k l₂ = false) : Std.Internal.List.getKeyD (List.filter (fun x => Std.Internal.List.containsKey x.fst l₂) l₁) k fallback = fallback
```",18,0,T,A matches argument order and fallback type (α vs β k). B has wrong getKeyD argument order and fallback type.,False,False,31,"```lean
theorem Std.Internal.List.getValueD_filter_not_contains_of_containsKey_eq_false_left {α : Type u} {β : Type v} [BEq α] [EquivBEq α] {l₁ l₂ : List ((_ : α) × β)} {k : α} {fallback : β} (dl₁ : Std.Internal.List.DistinctKeys l₁) (h : Std.Internal.List.containsKey k l₂ = false) : Std.Internal.List.getValueD k (List.filter (fun p => !Std.Internal.List.containsKey (Sigma.fst p) l₂) l₁) fallback = fallback := by sorry
```",18,0,T,"B matches target signature closely: dependent β, getKeyD, same filter predicate. A uses non-dependent β, getValueD, negated predicate.",False,False,21,True,False,False
58186,CategoryTheory.IsPushout.inl_isoPushout_hom,dense,large,"CategoryTheory.IsPushout.inl_isoPushout_hom.{v₁, u₁} {C : Type u₁} [CategoryTheory.Category.{v₁, u₁} C] {Z X Y P : C}
  {f : Z ⟶ X} {g : Z ⟶ Y} {inl : X ⟶ P} {inr : Y ⟶ P} (h : CategoryTheory.IsPushout f g inl inr)
  [CategoryTheory.Limits.HasPushout f g] :
  CategoryTheory.CategoryStruct.comp inl (CategoryTheory.Iso.hom (CategoryTheory.IsPushout.isoPushout h)) =
    CategoryTheory.Limits.pushout.inl f g","When a commutative square is a pushout (witnessed by `h : IsPushout f g inl inr`), and the category has pushouts of `f` and `g`, then composing the morphism `inl : X ⟶ P` with the isomorphism from `P` to the pushout of `f` and `g` yields the canonical inclusion morphism `pushout.inl` from `X` into the pushout.","```lean
theorem CategoryTheory.IsPushout.inl_comp_isoPushout_hom {C : Type u₁} [CategoryTheory.Category.{v₁, u₁} C] {Z X Y P : C}
  {f : Z ⟶ X} {g : Z ⟶ Y} {inl : X ⟶ P} {inr : Y ⟶ P} (h : CategoryTheory.IsPushout f g inl inr)
  [CategoryTheory.Limits.HasPushout f g] :
  CategoryTheory.CategoryStruct.comp inl (CategoryTheory.Iso.hom (CategoryTheory.IsPushout.isoPushout h)) =
    CategoryTheory.Limits.pushout.inl f g :=
  sorry
```",30,0,"```lean
theorem CategoryTheory.IsPushout.inl_comp_isoPushout_hom {C : Type u} [CategoryTheory.Category C] {X Y Z P : C} {f : X ⟶ Y} {g : X ⟶ Z} {inl : X ⟶ P} {inr : Z ⟶ P} (h : IsPushout f g inl inr) [HasPushout f g] : inl ≫ (h.isoPushout).hom = pushout.inl f g := by sorry
```",30,0,T,B matches universe levels and variable names exactly; A has mismatched universe levels and different variable order.,False,False,25,"```lean
theorem CategoryTheory.IsPushout.inl_isoPushout_hom {C : Type u₁} [CategoryTheory.Category C] {Z X Y P : C}
    {f : Z ⟶ X} {g : Z ⟶ Y} {inl : X ⟶ P} {inr : Y ⟶ P}
    (h : CategoryTheory.IsPushout f g inl inr)
    [CategoryTheory.Limits.HasPushout f g] :
    CategoryTheory.CategoryStruct.comp inl
      (CategoryTheory.Iso.hom (CategoryTheory.IsPushout.isoPushout h)) =
    CategoryTheory.Limits.pushout.inl f g := by sorry
```",30,0,Trandom,Candidate B matches the target name exactly; Candidate A has a different theorem name (inl_comp_isoPushout_hom vs inl_isoPushout_hom).,False,False,9,True,False,True
51917,LawfulGetElem.getElem!_def,dense,large,"LawfulGetElem.getElem!_def.{u, v, w} {cont : Type u} {idx : Type v} {elem : outParam (Type w)}
  {dom : outParam (cont → idx → Prop)} {ge : GetElem? cont idx elem dom} [self : LawfulGetElem cont idx elem dom]
  [Inhabited elem] (c : cont) (i : idx) :
  c[i]! =
    match c[i]? with
    | some e => e
    | none => default","The theorem states that for a collection type with a lawful element access operation and an inhabited element type, the unchecked element access operation `c[i]!` is equal to the result of attempting to access the element at index `i` using the safe access operation `c[i]?`, returning the element if it exists (in the `some` case) or the default element if it doesn't (in the `none` case).","```lean
theorem getElem!_eq_getElem? {coll : Type u} {idx : Type v} {elem : Type w} {valid : coll → idx → Prop}
  [GetElem? coll idx elem valid] [Inhabited elem] [LawfulGetElem coll idx elem valid]
  (xs : coll) (i : idx) :
  GetElem?.getElem! xs i = (GetElem?.getElem? xs i).getD (Inhabited.default)
```",13,0,"```lean
theorem GetElem?.getElem!_eq_getElem?_default {α : Type u_1} {β : outParam (α → Type u_2)} {i : outParam (Type u_3)} {c : α} [inst : GetElem? α i β] [inst : Inhabited β] [inst : LawfulGetElem α i β] (h : True) : GetElem?.getElem! c i = (GetElem?.getElem? c i).getD default := by sorry
```",13,0,T,Both match semantically but B has cleaner matching type parameters and no 'sorry'. Neither is vacuous.,False,False,51,"```lean
theorem getElem!_eq_getElem?_getOrElse {cont : Type u_1} {idx : Type u_2} {elem : Type u_3} {dom : cont → idx → Prop}
  [GetElem? cont idx elem dom] [LawfulGetElem cont idx elem dom] [Inhabited elem] (c : cont) (i : idx) :
  c[i]! = (c[i]?).getOrElse default := by sorry
```",13,0,Trandom,"A uses notation matching target, B uses explicit function names. Both express same match structure via getOrElse/getD.",False,False,30,True,False,True
47996,Bimod.TensorBimod.actRight,dense,large,"Bimod.TensorBimod.actRight.{v₁, u₁} {C : Type u₁} [CategoryTheory.Category.{v₁, u₁} C]
  [CategoryTheory.MonoidalCategory C] [CategoryTheory.Limits.HasCoequalizers C] {R S T : CategoryTheory.Mon C}
  (P : Bimod R S) (Q : Bimod S T)
  [∀ (X : C),
      CategoryTheory.Limits.PreservesColimitsOfSize.{0, 0, v₁, v₁, u₁, u₁}
        (CategoryTheory.MonoidalCategory.tensorRight X)] :
  CategoryTheory.MonoidalCategoryStruct.tensorObj (Bimod.TensorBimod.X P Q) (CategoryTheory.Mon.X T) ⟶
    Bimod.TensorBimod.X P Q","The declaration defines a morphism in a monoidal category that represents the right action of a monoid object T on the tensor product of two bimodules P and Q, where P is an R-S-bimodule and Q is an S-T-bimodule, going from the tensor product of the underlying object of the tensor bimodule P ⊗ Q with the underlying object of T to the underlying object of P ⊗ Q.","```lean
def Bimod.TensorBimod.actRight {C : Type u₁} [CategoryTheory.Category.{v₁, u₁} C] [CategoryTheory.MonoidalCategory C] [CategoryTheory.Limits.HasCoequalizers C] {R S T : CategoryTheory.Mon C} (P : Bimod R S) (Q : Bimod S T) [∀ (X : C), CategoryTheory.Limits.PreservesColimitsOfSize.{0, 0, v₁, v₁, u₁, u₁} (CategoryTheory.MonoidalCategory.tensorRight X)] : CategoryTheory.MonoidalCategoryStruct.tensorObj (Bimod.TensorBimod.X P Q) (CategoryTheory.Mon.X T) ⟶ Bimod.TensorBimod.X P Q := by sorry
```",64,0,"```lean
def Bimod.TensorBimod.actRight {C : Type*} [CategoryTheory.MonoidalCategory C] {R S T : CategoryTheory.Mon C} (P : Bimod R S) (Q : Bimod S T) : 
  (Bimod.TensorBimod.X P Q) ⊗ (CategoryTheory.Mon.X T) ⟶ Bimod.TensorBimod.X P Q
```",64,0,T,"B matches all universe levels, typeclass constraints, and explicit form. A omits Category instance, HasCoequalizers, colimit preservation, and uses implicit universes.",False,False,25,"```lean
def Bimod.TensorBimod.actRight {C : Type u₁} [CategoryTheory.Category.{v₁, u₁} C] [CategoryTheory.MonoidalCategory C] [CategoryTheory.Limits.HasCoequalizers C] {R S T : CategoryTheory.Mon C} (P : Bimod R S) (Q : Bimod S T) [∀ (X : C), CategoryTheory.Limits.PreservesColimitsOfSize.{0, 0, v₁, v₁, u₁, u₁} (CategoryTheory.MonoidalCategory.tensorRight X)] : CategoryTheory.MonoidalCategoryStruct.tensorObj (Bimod.TensorBimod.X P Q) (CategoryTheory.Mon.X T) ⟶ Bimod.TensorBimod.X P Q := by sorry
```",64,16,tie,Both candidates are syntactically identical and match the target signature exactly.,False,False,7,True,False,True
31198,CategoryTheory.Limits.image.ext,dense,large,"CategoryTheory.Limits.image.ext.{v, u} {C : Type u} [CategoryTheory.Category.{v, u} C] {X Y : C} (f : X ⟶ Y)
  [CategoryTheory.Limits.HasImage f] {W : C} {g h : CategoryTheory.Limits.image f ⟶ W}
  [CategoryTheory.Limits.HasLimit (CategoryTheory.Limits.parallelPair g h)]
  (w :
    CategoryTheory.CategoryStruct.comp (CategoryTheory.Limits.factorThruImage f) g =
      CategoryTheory.CategoryStruct.comp (CategoryTheory.Limits.factorThruImage f) h) :
  g = h","If $f: X \to Y$ is a morphism in a category $C$ that has an image, and $g, h$ are two morphisms from the image of $f$ to an object $W$, then $g = h$ whenever the composites of the factorization through the image followed by $g$ and $h$ are equal (that is, when $(\text{factorThruImage } f) \circ g = (\text{factorThruImage } f) \circ h$), provided that the parallel pair of $g$ and $h$ has a limit.","```lean
def CategoryTheory.Limits.image.lift_uniqueness
    {C : Type u} [CategoryTheory.Category.{v, u} C] {X Y : C} {f : X ⟶ Y}
    [CategoryTheory.Limits.HasImage f]
    {W : C} {g h : CategoryTheory.Limits.image f ⟶ W}
    (w : CategoryTheory.CategoryStruct.comp (CategoryTheory.Limits.factorThruImage f) g =
         CategoryTheory.CategoryStruct.comp (CategoryTheory.Limits.factorThruImage f) h)
    [CategoryTheory.Limits.HasLimit (CategoryTheory.Limits.parallelPair g h)] :
    g = h := by sorry
```",63,0,"```lean
theorem factorThruImage_injective {C : Type*} [CategoryTheory.Category C] {X Y W : C} (f : X ⟶ Y) [CategoryTheory.Limits.HasImage f] (g h : CategoryTheory.Limits.image f ⟶ W) (hparallelLimit : CategoryTheory.Limits.HasLimit (CategoryTheory.Limits.parallelPair g h)) (eq_comp : CategoryTheory.Limits.factorThruImage f ≫ g = CategoryTheory.Limits.factorThruImage f ≫ h) : g = h := by sorry
```",63,0,T,"B matches target signature exactly including name, universes, and assumption order. A has wrong name, missing universes, and reordered assumptions.",False,False,28,"```lean
theorem factorThruImage_injective {C : Type u} [CategoryTheory.Category.{v, u} C] {X Y W : C} (f : X ⟶ Y) [CategoryTheory.Limits.HasImage f] (g h : CategoryTheory.Limits.image f ⟶ W) [CategoryTheory.Limits.HasLimit (CategoryTheory.Limits.parallelPair g h)] (hgh : CategoryTheory.CategoryStruct.comp (CategoryTheory.Limits.factorThruImage f) g = CategoryTheory.CategoryStruct.comp (CategoryTheory.Limits.factorThruImage f) h) : g = h := by sorry
```",63,0,T,"B matches namespace, name structure, and argument order exactly. A reorders arguments and uses different naming.",False,False,14,True,False,True
173044,TestFunction.limitCLM,dense,large,"TestFunction.limitCLM.{u_1, u_3, u_4, u_6} (𝕜 : Type u_1) [NontriviallyNormedField 𝕜] {E : Type u_3}
  [NormedAddCommGroup E] [NormedSpace ℝ E] {Ω : TopologicalSpace.Opens E} {F : Type u_4} [NormedAddCommGroup F]
  [NormedSpace ℝ F] [NormedSpace 𝕜 F] {n : ℕ∞} {V : Type u_6} [AddCommGroup V] [Module ℝ V] [t : TopologicalSpace V]
  [IsTopologicalAddGroup V] [ContinuousSMul ℝ V] [LocallyConvexSpace ℝ V] [Algebra ℝ 𝕜] [IsScalarTower ℝ 𝕜 F]
  [Module 𝕜 V] [IsScalarTower ℝ 𝕜 V] (toFun : TestFunction Ω F n → V)
  (T : (K : TopologicalSpace.Compacts E) → ↑K ⊆ ↑Ω → ContDiffMapSupportedIn E F n K →L[𝕜] V)
  (toFun_eq_T :
    ∀ (K : TopologicalSpace.Compacts E) (K_sub_Ω : ↑K ⊆ ↑Ω) (f : ContDiffMapSupportedIn E F n K),
      toFun (TestFunction.ofSupportedIn K_sub_Ω f) = (T K K_sub_Ω) f) :
  TestFunction Ω F n →L[𝕜] V","Looking at this declaration, I need to understand what it constructs.

This is a constructor that builds a continuous linear map from the space of test functions (on an open set Ω in a normed space E, taking values in F, with smoothness order n) to a topological vector space V over a field 𝕜.

The constructor takes as input:
1. A function `toFun` from test functions to V
2. A family of continuous linear maps `T`, one for each compact set K contained in Ω, mapping continuously differentiable functions supported in K to V
3. A proof that `toFun` agrees with the appropriate map from the family `T` on each test function

Given a function from test functions to a locally convex topological vector space V, along with a compatible family of continuous linear maps defined on continuously differentiable functions with compact support in each compact subset K of Ω, and a proof that these data are consistent, this constructs a continuous linear map from the space of test functions on Ω with values in F and smoothness order n to V.","```lean
def TestFunction.limitCLM {𝕜 : Type u_1} [NontriviallyNormedField 𝕜] {E : Type u_3}
  [NormedAddCommGroup E] [NormedSpace ℝ E] {Ω : TopologicalSpace.Opens E} {F : Type u_4} [NormedAddCommGroup F]
  [NormedSpace ℝ F] [NormedSpace 𝕜 F] {n : ℕ∞} {V : Type u_6} [AddCommGroup V] [Module ℝ V] [t : TopologicalSpace V]
  [IsTopologicalAddGroup V] [ContinuousSMul ℝ V] [LocallyConvexSpace ℝ V] [Algebra ℝ 𝕜] [IsScalarTower ℝ 𝕜 F]
  [Module 𝕜 V] [IsScalarTower ℝ 𝕜 V] (toFun : TestFunction Ω F n → V)
  (T : (K : TopologicalSpace.Compacts E) → ↑K ⊆ ↑Ω → ContDiffMapSupportedIn E F n K →L[𝕜] V)
  (toFun_eq_T :
    ∀ (K : TopologicalSpace.Compacts E) (K_sub_Ω : ↑K ⊆ ↑Ω) (f : ContDiffMapSupportedIn E F n K),
      toFun (TestFunction.ofSupportedIn K_sub_Ω f) = (T K K_sub_Ω) f) :
  TestFunction Ω F n →L[𝕜] V := by sorry
```",211,29,"```lean
def TestFunction.mkCLM {𝕜 : Type*} {E : Type*} {F : Type*} {V : Type*} {Ω : Set E} {n : ℕ∞}
    [NontriviallyNormedField 𝕜] [NormedAddCommGroup E] [NormedSpace 𝕜 E] [NormedAddCommGroup F]
    [NormedSpace 𝕜 F] [AddCommGroup V] [Module 𝕜 V] [TopologicalSpace V] [LocallyConvexSpace 𝕜 V]
    (toFun : TestFunction 𝕜 E F Ω n → V)
    (T : ∀ K : TopologicalSpace.Compacts E, IsCompact (↑K : Set E) → (↑K : Set E) ⊆ Ω →
      ContDiffMapSupportedIn 𝕜 E F K n →L[𝕜] V)
    (h : ∀ f : TestFunction 𝕜 E F Ω n,
      toFun f = T (⟨tsupport f, isCompact_tsupport⟩) (isCompact_tsupport f)
        (tsupport_subset f) (f : ContDiffMapSupportedIn 𝕜 E F ⟨tsupport f, isCompact_tsupport⟩ n)) :
  TestFunction 𝕜 E F Ω n →L[𝕜] V
```",211,0,T,"Candidate A matches target signature exactly including names, types, and structure. Candidate B has different parameter names, type constraints, and hypothesis structure.",False,False,106,"```lean
def TestFunction.limitCLM (𝕜 : Type u_1) [NontriviallyNormedField 𝕜] {E : Type u_3}
  [NormedAddCommGroup E] [NormedSpace ℝ E] {Ω : TopologicalSpace.Opens E} {F : Type u_4}
  [NormedAddCommGroup F] [NormedSpace ℝ F] [NormedSpace 𝕜 F] {n : ℕ∞} {V : Type u_6}
  [AddCommGroup V] [Module ℝ V] [t : TopologicalSpace V] [IsTopologicalAddGroup V]
  [ContinuousSMul ℝ V] [LocallyConvexSpace ℝ V] [Algebra ℝ 𝕜] [IsScalarTower ℝ 𝕜 F]
  [Module 𝕜 V] [IsScalarTower ℝ 𝕜 V] (toFun : TestFunction Ω F n → V)
  (T : (K : TopologicalSpace.Compacts E) → ↑K ⊆ ↑Ω → ContDiffMapSupportedIn E F n K →L[𝕜] V)
  (toFun_eq_T : ∀ (K : TopologicalSpace.Compacts E) (K_sub_Ω : ↑K ⊆ ↑Ω)
    (f : ContDiffMapSupportedIn E F n K),
    toFun (TestFunction.ofSupportedIn K_sub_Ω f) = (T K K_sub_Ω) f) :
  TestFunction Ω F n →L[𝕜] V
```",79,0,Trandom,Both match target but A makes 𝕜 implicit while B correctly makes it explicit as in target.,False,False,5,True,True,False
24055,Module.Flat.lTensor_exact,dense,large,"Module.Flat.lTensor_exact.{u, v, u_1, u_2, u_3} {R : Type u} (M : Type v) [CommRing R] [AddCommGroup M] [Module R M]
  [Module.Flat R M] ⦃N : Type u_1⦄ ⦃N' : Type u_2⦄ ⦃N'' : Type u_3⦄ [AddCommGroup N] [AddCommGroup N']
  [AddCommGroup N''] [Module R N] [Module R N'] [Module R N''] ⦃f : N →ₗ[R] N'⦄ ⦃g : N' →ₗ[R] N''⦄
  (exact : Function.Exact ⇑f ⇑g) : Function.Exact ⇑(LinearMap.lTensor M f) ⇑(LinearMap.lTensor M g)","If $M$ is a flat $R$-module and the sequence $N \xrightarrow{f} N' \xrightarrow{g} N''$ is exact (meaning the image of $f$ equals the kernel of $g$), then the sequence $M \otimes_R N \xrightarrow{M \otimes f} M \otimes_R N' \xrightarrow{M \otimes g} M \otimes_R N''$ is also exact, where $M \otimes f$ and $M \otimes g$ denote the left tensor product functors applied to the linear maps $f$ and $g$ respectively.","```lean
theorem lTensor_exact_of_flat {R : Type u_1} {M : Type u_2} {N : Type u_3} {P : Type u_4} [CommRing R] [AddCommGroup M] [AddCommGroup N] [AddCommGroup P] [Module R M] [Module R N] [Module R P] [Module.Flat R M] {f : N →ₗ[R] P} {g : P →ₗ[R] M} (hfg : Function.Exact ⇑f ⇑g) : Function.Exact ⇑(LinearMap.lTensor M f) ⇑(LinearMap.lTensor M g)
```",181,4,"```lean
theorem Module.Flat.lTensor_preserves_exact {R : Type*} [CommRing R] {M : Type*} [AddCommGroup M] [Module R M] (hM : Module.Flat R M) {N N' N'' : Type*} [AddCommGroup N] [AddCommGroup N'] [AddCommGroup N''] [Module R N] [Module R N'] [Module R N''] (f : N →ₗ[R] N') (g : N' →ₗ[R] N'') (hex : Function.Exact f g) : Function.Exact (LinearMap.lTensor M f) (LinearMap.lTensor M g)
```",181,0,Tnames,"Candidate B matches the target signature more closely in structure and naming, with correct parameter ordering and explicit coercion in conclusion.",False,False,36,"```lean
theorem Module.Flat.lTensor_exact {R : Type u} {M : Type v} {N : Type u_1} {N' : Type u_2} {N'' : Type u_3}
  [CommRing R] [AddCommGroup M] [Module R M] [AddCommGroup N] [AddCommGroup N']
  [AddCommGroup N''] [Module R N] [Module R N'] [Module R N''] [Module.Flat R M]
  {f : N →ₗ[R] N'} {g : N' →ₗ[R] N''} (exact : Function.Exact ⇑f ⇑g) :
  Function.Exact ⇑(LinearMap.lTensor M f) ⇑(LinearMap.lTensor M g) := by sorry
```",59,0,Trandom,B matches target signature exactly with correct types and parameter order. A has wrong codomains for f and g.,False,False,38,True,True,True
