"case","row_type","direction","rank","sid","similarity","formality","kind","paper_title","decl_name_or_ref","slogan","body_short"
"0","gold_informal","","","99a1f063-83c2-4a9a-a030-2e7a1c3615d3","","informal","definition","Sphere Packing in Dimension 8","6.32","H2 is defined as theta2 raised to the fourth power, H3 is theta3 raised to the fourth power, and H4 is theta4 raised to the fourth power.","\uses{def:th00-th01-th10} Define \begin{equation} H_2 = \Theta_2^4, \quad H_3 = \Theta_3^4, \quad H_4 = \Theta_4^4. \end{equation}"
"0","gold_formal","","","d3a891e2-2af2-4393-b108-62ee132fc5d0","","formal","definition","sphere-packing-math-inc","H₄","H4 is a function that takes a complex number tau in the upper half-plane (where the imaginary part is positive) and returns a complex number. It is defined using a specific combination of theta funct…","H₄ (τ : UpperHalfPlane) : ℂ"
"0","topk_candidate","f2i","1","24b290a4-7d13-44e5-a33b-0c68d62420d6","0.7994","informal","theorem","Distribution of the Hessian values of Gaussian hypergeometric functions","3.1","The function H(tau), defined as a sum involving special terms and exponential functions, transforms in a specific way under certain modular operations and behaves like a harmonic Maass form of weight…","The function $$ \mathcal{H}(\tau)=-\frac{1}{12}+\sum\limits_{n=1}^\infty H^\ast(n)q_\tau^n+\frac{1}{8\pi\sqrt{y}}+\frac{1}{4\sqrt{\pi}}\sum\limits_{n=1}^\infty n\Gamma(-\frac{1}{2}; 4\pi n^2y)q_{\tau}^{-n^2}, $$ where $\tau=x+iy\in \mathbb…"
"0","topk_candidate","f2i","2","78ad3acc-bcda-4978-a332-f84d35104eea","0.7808","informal","theorem","Summation formulas for Hurwitz class numbers and other mock modular coefficients","6.1","The function H(tau), defined as a sum involving values H(n), a constant term, and a series with gamma functions and exponential terms, is a harmonic Maass form of weight 3/2 and level 4. It includes …","The function \begin{equation} \mathcal{H}(\tau) := - \frac{1}{12} + \sum_{n\geq 1}H(n)q^n + \frac{1}{8\pi \sqrt{v}} + \frac{1}{4\sqrt{\pi}}\sum_{n\geq 1} n \Gamma \left(- \frac{1}{2},4\pi n^2v \right)q^{-n^2} \end{equation} belongs to $H_{…"
"0","topk_candidate","f2i","3","efd07c99-3cf9-4db8-8c76-413807fe4434","0.7803","informal","definition","Mock Theta Functions","1.1","h is a complex-valued function defined by an integral involving exponential and hyperbolic cosine terms, depending on variables z and tau where tau is in the upper half-plane; this integral is known …","For $z\in\C$ and $\tau\in\Ha$ set \begin{equation*} h(z)=h(z;\tau):= \int_{\R} \frac{e^{\pi i\tau x^2 -2\pi zx}}{\cosh\pi x}\,dx. \end{equation*}"
"0","topk_candidate","f2i","4","187c40dc-5ba3-44bc-9730-5b71a666945d","0.7579","informal","theorem","A polyharmonic Maass form of depth 3/2 for SL_2(Z)","3","The function H(tau) is a special kind of complex-valued function on the upper half-plane that transforms in a specific way under the action of the modular group, has a particular growth condition, an…","The function \begin{multline} \bm H(\tau) = -i \, q^{\frac 1{24}} + \sum_{0<n\equiv 1(24)} \Tr_n(f) q^{\frac n{24}} + 12 \sum_{n\geq 1}\frac{\chi_{12}(n)}{n} h^*(n^2) q^{\frac{n^2}{24}} \\* + i \beta_{\frac 12}\left(\mfrac{-\pi y}{}\right)…"
"0","topk_candidate","f2i","5","a063c54a-fb0b-452a-9561-68abbed55220","0.7523","informal","definition","Double Eisenstein series and modular forms of level $4$","","A function called H-tilde is defined for certain integer parameters and takes values on the upper half of the complex plane, using a sum over ordered sequences of lattice points weighted by powers of…","For any integers $k_1,\dots,k_{r-1}\geq 2$ and $k_r\geq 3$, we define the function $\widetilde{H}_{k_1,\dots,k_r}$ on the upper half-plane $\mathbb{H}$ by \begin{equation*} \widetilde{H}_{k_1,\dots,k_r}(\tau) \coloneqq \frac{2^r}{(2\pi i)^…"
"0","topk_candidate","i2f","1","623b23f3-3370-446a-8d39-05e7dbae308d","0.6910","formal","theorem","Sphere-Packing-Lean","G_eq","G is equal to the cube of H2 multiplied by the sum of twice H2 squared, five times H2 times H4, and five times H4 squared, where all functions take a complex number in the upper half plane and return…","G_eq : G = H₂ ^ 3 * (2 • H₂ ^ 2 + 5 • H₂ * H₄ + 5 • H₄ ^ 2)"
"0","topk_candidate","i2f","2","3e90ba77-77ad-4f34-954b-f023a5b7a4d2","0.6875","formal","definition","sphere-packing-math-inc","SpherePacking.Dim24.Ineq2PsiSnum.H4CoeffFun","H4CoeffFun is a function that computes the coefficients of the fourth power of a special series called theta01CoeffFun, using convolution powers; it takes a natural number and returns an integer, rep…","SpherePacking.Dim24.Ineq2PsiSnum.H4CoeffFun : ℕ → ℤ"
"0","topk_candidate","i2f","3","d3a891e2-2af2-4393-b108-62ee132fc5d0","0.6828","formal","definition","sphere-packing-math-inc","H₄","H4 is a function that takes a complex number tau in the upper half-plane (where the imaginary part is positive) and returns a complex number. It is defined using a specific combination of theta funct…","H₄ (τ : UpperHalfPlane) : ℂ"
