category,pair_id,query,intent,score,best_rank,judgement,top_1,top_2,top_3
possessive,fermat,fermat last theorem,Fermat's Last Theorem: x^n+y^n=z^n has no positive integer solutions for n>2,2,1,"Top-1 is a clear, on-target match for Fermat's Last Theorem.","Fermat's Last Theorem states that for any integer n greater than or equal to three, there are no nonzero integer solutions to the equation X to the n plus Y to the n equals Z to the n. The only exceptions occur when at least one of the variables X, Y, or Z is zero. This result wa","Fermat's Last Theorem states that for natural numbers n greater than two, there are no solutions to the equation x raised to the n plus y raised to the n equals z raised to the n. This holds for all positive integers x, y, and z. The theorem was famously proven by Andrew Wiles in",Fermat's Last Theorem holds for all odd integers greater than two.
possessive,fermat,fermat's last theorem,Fermat's Last Theorem,2,1,"Top-1 is a clear, on-target match for Fermat's Last Theorem.","Fermat's Last Theorem states that for any integer n greater than or equal to three, there are no nonzero integer solutions to the equation X to the n plus Y to the n equals Z to the n. The only exceptions occur when at least one of the variables X, Y, or Z is zero. This result wa","Fermat's Last Theorem states that for natural numbers n greater than two, there are no solutions to the equation x raised to the n plus y raised to the n equals z raised to the n. This holds for all positive integers x, y, and z. The theorem was famously proven by Andrew Wiles in","For any natural number n greater than two, the equation X to the n plus Y to the n equals Z to the n has no solutions in nonzero integers."
possessive,fermat,fermats last theorem,Fermat's Last Theorem,2,1,"Top-1 is a clear, on-target match for Fermat's Last Theorem.","Fermat's Last Theorem states that for any integer n greater than or equal to three, there are no nonzero integer solutions to the equation X to the n plus Y to the n equals Z to the n. The only exceptions occur when at least one of the variables X, Y, or Z is zero. This result wa","For any natural number n greater than two, the equation X to the n plus Y to the n equals Z to the n has no solutions in nonzero integers.",Fermat's Last Theorem holds for all odd integers greater than two.
possessive,fermat,Fermat's Last Theorem,Fermat's Last Theorem,2,1,"Top-1 is a clear, on-target match for Fermat's Last Theorem.","Fermat's Last Theorem states that for any integer n greater than or equal to three, there are no nonzero integer solutions to the equation X to the n plus Y to the n equals Z to the n. The only exceptions occur when at least one of the variables X, Y, or Z is zero. This result wa","Fermat's Last Theorem states that for natural numbers n greater than two, there are no solutions to the equation x raised to the n plus y raised to the n equals z raised to the n. This holds for all positive integers x, y, and z. The theorem was famously proven by Andrew Wiles in","For any natural number n greater than two, the equation X to the n plus Y to the n equals Z to the n has no solutions in nonzero integers."
misspelling,fermat_typo,fermat lasttheorem,Fermat's Last Theorem,2,1,"Top-1 is a clear, on-target match for Fermat's Last Theorem.",Fermat's Last Theorem holds for all odd integers greater than two.,"Fermat's Last Theorem states that for any integer n greater than or equal to three, there are no nonzero integer solutions to the equation X to the n plus Y to the n equals Z to the n. The only exceptions occur when at least one of the variables X, Y, or Z is zero. This result wa",Fermat's Last Theorem states that no three positive integers can satisfy the equation x to the n plus y to the n equals z to the n for any integer n greater than two. This holds specifically for any odd prime exponent. The theorem asserts there are no non-trivial solutions in int
misspelling,fermat_typo,fermat's lasttheorem,Fermat's Last Theorem,2,1,Top-1 provides a clear and accurate explanation of Fermat's Last Theorem.,"Fermat's Last Theorem states that for any integer n greater than or equal to three, there are no nonzero integer solutions to the equation X to the n plus Y to the n equals Z to the n. The only exceptions occur when at least one of the variables X, Y, or Z is zero. This result wa",Fermat's Last Theorem holds for all odd integers greater than two.,"Fermat's Last Theorem states that for natural numbers n greater than two, there are no solutions to the equation x raised to the n plus y raised to the n equals z raised to the n. This holds for all positive integers x, y, and z. The theorem was famously proven by Andrew Wiles in"
possessive,stokes,stokes theorem,Stokes' theorem on integration of differential forms,2,1,"Top-1 is a clear, on-target match for Stokes' theorem on differential forms.",Stokes' theorem relates the integral of a differential form over a manifold to the integral of the form over its boundary. It applies to an oriented manifold with boundary and a compactly supported differential form. The theorem states that the integral of the exterior derivative,Stokes' theorem relates the integral of a differential form over a manifold to the integral of the form over its boundary. It states that the integral of the exterior derivative of an (n-1)-form over an n-dimensional manifold equals the integral of the form over the boundary of t,Stokes' theorem relates the integral of a differential form over the boundary of a manifold to the integral of its exterior derivative over the entire manifold. It states that the integral of omega over the boundary of V equals the integral of d omega over V. This holds for a smo
possessive,stokes,stokes' theorem,Stokes' theorem,2,1,"Top-1 is a clear, on-target match for Stokes' theorem.",Stokes' theorem relates the integral of a differential form over a manifold to the integral of the form over its boundary. It applies to an oriented manifold with boundary and a compactly supported differential form. The theorem states that the integral of the exterior derivative,Stokes' theorem relates the integral of a differential form over a manifold to the integral of the form over its boundary. It states that the integral of the exterior derivative of an (n-1)-form over an n-dimensional manifold equals the integral of the form over the boundary of t,Stokes' theorem relates the integral of a differential form over the boundary of a manifold to the integral of its exterior derivative over the entire manifold. It states that the integral of omega over the boundary of V equals the integral of d omega over V. This holds for a smo
possessive,stokes,stokes's theorem,Stokes' theorem,2,1,"Top-1 is a clear, on-target match for Stokes' theorem.",Stokes' theorem relates the integral of a differential form over a manifold to the integral of the form over its boundary. It applies to an oriented manifold with boundary and a compactly supported differential form. The theorem states that the integral of the exterior derivative,Stokes' theorem relates the integral of a differential form over a manifold to the integral of the form over its boundary. It states that the integral of the exterior derivative of an (n-1)-form over an n-dimensional manifold equals the integral of the form over the boundary of t,Stokes' theorem relates the integral of a differential form over the boundary of a manifold to the integral of its exterior derivative over the entire manifold. It states that the integral of omega over the boundary of V equals the integral of d omega over V. This holds for a smo
possessive,green,green theorem,Green's theorem in vector calculus,2,1,Top-1 provides a clear and accurate explanation of Green's theorem in vector calculus.,Green's theorem relates a line integral around a simple closed curve to a double integral over the plane region it encloses. It states that the line integral of a vector field around the boundary equals the double integral of the curl of the field over the region. The vector fiel,"Green's theorem relates a double integral over a region to a line integral around its boundary. The double integral of the divergence of a vector field over a region equals the line integral of the field's flux across the boundary. The boundary must be a closed Jordan curve, and ",Green's theorem relates a line integral around a simple closed curve to a double integral over the region inside the curve. The curve must be piecewise smooth and positively oriented. The functions involved must have continuous partial derivatives on an open region containing the
possessive,green,green's theorem,Green's theorem,1,1,A clear match appears in top-3 but not at rank 1.,Green's theorem relates a line integral around a simple closed curve to a double integral over the plane region it encloses. It states that the line integral of a vector field around the boundary equals the double integral of the curl of the field over the region. The vector fiel,"Green's theorem relates a double integral over a region to a line integral around its boundary. The double integral of the divergence of a vector field over a region equals the line integral of the field's flux across the boundary. The boundary must be a closed Jordan curve, and ",Green's theorem relates a line integral around a simple closed curve to a double integral over the region inside the curve. The curve must be piecewise smooth and positively oriented. The functions involved must have continuous partial derivatives on an open region containing the
