"i","informal_sid","formal_sid","informal_ref","informal_paper","formal_decl_name","primary_label","primary_reason","secondary_label","secondary_reason"
"1","018842dc-5937-47c5-b20e-5e32be19e4c7","a48d8adb-3b0d-4a6b-b70e-39f7c242c8e7","71","kbuzzard/ClassFieldTheory","Rep.split.reciprocityIso","sibling_lemma_adjacency","The f→i retrieval correctly finds the gold informal at rank 3, and the i→f top results are all closely related Tate cohomology isomorphisms from the same development (groupCohomology module), with rank 1-4 being sibling lemmas about connecting homomorphisms and short exact sequences in Tate cohomology that are structurally very similar to the gold formal.","compound_statement_dilution","The informal statement is a long multi-clause theorem about isomorphisms between Tate cohomology groups with shifted degrees and a connecting map, but the embedding retriever was distracted by surface-level lexical matches (e.g., 'zeroth Tate cohomology', 'norm map', 'G-invariant elements') and ranked rank-1 results that focus on isolated properties of Tate cohomology rather than the specific compound isomorphism structure."
"2","0b4b97ea-8cd7-45b4-ac2f-4c82a407c838","d63c32a2-5978-44f8-8b58-10c35a8ae10f","2.6","YaelDillies/apap","boringEnergy","sibling_lemma_adjacency","The gold formal `boringEnergy` is a specific variant using the trivial character, while the rank-1 results are all about the more standard `addEnergy` definition (order 4 case, i.e., m=2), which are sibling concepts in the same additive combinatorics framework.","multiple_correct_formalizations","The gold formal `boringEnergy` is a specific formalization using the trivial character, while the corpus rank-1 results (`Finset.addEnergy'` and related lemmas) are alternative formalizations of additive energy that are equally valid and perhaps more canonical, causing the embedding to prefer them over the blueprint-pointed declaration."
"3","7ce3ab7e-ab36-472d-b2a8-2d2a74be20de","25d67e1a-5253-4474-8423-da8b6e805769","2.1.32","RemyDegenne/brownian-motion","MeasureTheory.Filtration.rightCont_eq_of_neBot_nhdsGT","sibling_lemma_adjacency","The rank-1 informal result (2.1.25) is from the same paper and describes the same right-continuation concept but covers both the right-isolated and non-isolated cases, while the gold (2.1.32) focuses specifically on the non-isolated case.","sibling_lemma_adjacency","The gold informal (2.1.32) describes a conditional result about right-limit sigma-algebras when a point has no immediate successor, while rank-1 (2.1.25) is a closely adjacent lemma in the same paper that covers the general case (both right-isolated and non-isolated points), making it a natural sibling that the embedding prefers."
"4","8be5b85a-f338-46fe-8383-e0db29bf097f","7fb1420d-fa5b-41f1-99ad-b5be93c55713","2.0.2","fpvandoorn/carleson","discrete_carleson","sibling_lemma_adjacency","The rank-1 results in both directions (`finitary_carleson_step` and an informal statement about lacunary Carleson operators) are extremely similar sibling lemmas from the same Carleson project, differing only in minor technical details like 'finitary' vs 'discrete' or specific operator variants, while the gold `discrete_carleson` appears at rank 4 in i→f.","sibling_lemma_adjacency","The gold formal `discrete_carleson` appears at rank 4 in the i→f direction, while rank 1-3 are closely related sibling lemmas (`finitary_carleson_step`, `finitary_carleson`, `forest_complement_optimized`) from the same paper that share nearly identical statement structure and differ only in technical details or intermediate steps."
"5","e80ed897-8fa2-46e9-bbf1-dca43a0a4a5f","eda9191b-0288-4c80-b2fc-c29292ee8460","51","kbuzzard/ClassFieldTheory","Representation.map₂_range","bad_blueprint_annotation","The informal statement describes a natural isomorphism between 'up' and 'down' constructions on representations, while the formal statement is about the image of map₂ equaling the kernel of ind₁'_π, which are completely different mathematical claims with no apparent connection.","bad_blueprint_annotation","The gold formal declaration (Representation.map₂_range) describes a kernel-image relationship for specific maps in a finite cyclic group setting, while the gold informal describes a natural isomorphism between 'up' and 'down' constructions on representations—these are fundamentally different theorems, suggesting the blueprint annotation mismatches the intended formal statement."
"6","c416e012-4e91-4508-805c-706fe2a599bf","7ca8cf33-df7c-4536-a76d-c2d46959d798","2.1.29","RemyDegenne/brownian-motion","MeasureTheory.Filtration.rightCont_eq_self","sibling_lemma_adjacency","The rank-1 informal result (2.1.40) and rank-2 informal result (2.1.26) are both about the right continuation of filtration F and are from the same numbered section (2.1.x) as the gold informal (2.1.29), indicating they are sibling lemmas in the same paper about closely related properties of right-continuous filtrations.","sibling_lemma_adjacency","The gold informal statement appears at rank 4 in the f→i results, indicating it exists in the corpus but is overshadowed by closely related sibling lemmas about right-continuous filtrations (ranks 1-3) from the same paper that share similar structure and terminology."
"7","6459a414-a447-48d6-9186-c0b532843fc0","480bf0c0-4866-4187-b757-16f3471fb8fa","2","kbuzzard/ClassFieldTheory","Rep.quotientToInvariantsFunctor","multiple_correct_formalizations","The informal describes both `Rep.res` (restriction functor) and `Rep.quotientToInvariantsFunctor`, but the i→f retrieval finds `Rep.quotientToInvariantsFunctor'` (rank 1) and `Rep.«term_↓_»` (rank 2, which is the restriction notation), both of which are valid formalizations of the concepts described, just not the exact declaration the blueprint pointed to.","multiple_correct_formalizations","The rank-1 formal result `Rep.quotientToInvariantsFunctor'` appears to be an alternative formalization of the same mathematical concept (quotient-to-invariants functor via surjective homomorphism), suggesting the embedding favors a different but semantically equivalent declaration than the blueprint's gold pointer."
"8","cbb13d7c-2db1-444c-91dc-d3bd4ed519a9","c36dd565-ccac-4f64-ad43-3399efd66ff9","2.3.64","RemyDegenne/brownian-motion","ProbabilityTheory.IsLocalSubmartingale.locally_classD","sibling_lemma_adjacency","The informal statement is about local submartingales being locally of class D (ref 2.3.64), but the retriever ranked higher a nearly identical statement about local martingales being locally of class D (ref 2.3.65), which is a sibling result in the same paper.","sibling_lemma_adjacency","The gold formal (ProbabilityTheory.IsLocalSubmartingale.locally_classD) appears at rank 2 in the i→f results, indicating it is a sibling lemma in the same paper/module as the rank-1 result, and the embedding retriever favored a closely related statement about local submartingales instead of the exact gold declaration."
"9","f0171f61-fc40-4bfe-829e-3fd6cd2db071","edf6ef3a-1b55-4504-b3e6-f5cca779a3ab","12.15","teorth/pfr","multiDist_nonneg","sibling_lemma_adjacency","The rank-1 results in both directions are extremely similar non-negativity statements about related distance/entropy functions from the same project (multiDist, conditional multidistance, distance between random variables), differing only in which specific variant of the distance measure is being discussed.","sibling_lemma_adjacency","The gold informal (12.15) describes a basic nonnegative property of D[X_{[m]}], while rank-1 (2.1) is a closely related sibling lemma from the same paper that defines multidistance and also establishes its nonnegativity, making them adjacent statements in the same work."
"10","b9d527d6-5557-4680-8304-a7df15e41c9a","220d1113-5057-4e24-8476-8a2c9ee7aa49","2.3.13","RemyDegenne/brownian-motion","ProbabilityTheory.IsStable.and","sibling_lemma_adjacency","The gold formal `IsStable.and` states that the conjunction of two stable properties is stable, while the top-ranked results `locally_and`, `Locally.of_and`, and `locally_and_of_isStable` are sibling lemmas about the interaction between stability and the 'locally' operator applied to conjunctions of properties—all closely related results in the same formalization dealing with stable classes and their intersections.","multiple_correct_formalizations","The top-ranked results (ProbabilityTheory.Locally.of_and, ProbabilityTheory.locally_and, ProbabilityTheory.locally_and_of_isStable) are alternative formalizations of the same core theorem about stability and local properties, and the embedding favors these related but distinct declarations over the specific `IsStable.and` declaration pointed to by the blueprint."
"11","c27ec289-a674-4700-99d3-afcbac38b70d","b111b5ca-9a6a-4b5b-9998-73f3e8e6d420","2","YaelDillies/gibbs-measure","MeasureTheory.ae_eq_lcondExp_of_forall_setLIntegral_eq","sibling_lemma_adjacency","The rank-1 results in both directions are extremely close sibling lemmas about conditional expectation with nearly identical semantic content (setLIntegral_lcondExp and the uniqueness characterization), differing only in which direction of the characterization they emphasize, while the gold formal appears at rank 4 in i→f.","multiple_correct_formalizations","The gold formal declaration appears at rank 4 in the i→f direction, indicating that the embedding corpus contains multiple valid formalizations of the same characterization theorem for conditional expectation, and the retriever is preferring a different (possibly more canonical or directly applicable) formalization at rank 1."
"12","35944654-7a6b-44c0-bf14-14855a28fe03","90d8ea64-0c61-4471-a2ed-62df67ff72f8","4.1","leanprover-community/sphere-eversion","loc_immersion_rel_open","sibling_lemma_adjacency","The rank-1 result in i→f direction (`loc_immersion_rel_open_aux`) is clearly a sibling auxiliary lemma to the gold formal (`loc_immersion_rel_open`), both dealing with the same immersion sphere relation and injectivity conditions on orthogonal complements for points outside the 0.9-radius ball.","bad_blueprint_annotation","The gold formal `loc_immersion_rel_open` claims to be about local immersions of the 2-sphere in function spaces, but the gold informal describes a specific jet-space relation about injectivity on orthogonal complements for triples (x,y,φ) outside a ball—these are fundamentally different theorems, suggesting the blueprint annotation points to the wrong declaration."
"13","95a4436c-1e79-4043-a7b7-64c6d9701f42","8c0c941f-1454-42cb-a150-6fdd8586ea0a","10.38","ImperialCollegeLondon/FLT","MeasureTheory.ringHaarChar_adeles_units_rat_eq_one","sibling_lemma_adjacency","The gold informal (10.38) appears at rank 4 in f→i and the gold formal appears at rank 4 in i→f, while rank 1 and 2 hits are closely related adele/idele norm statements (10.37, 10.41) from the same mathematical development about adeles and Haar measures.","sibling_lemma_adjacency","The gold informal statement (10.38) appears at rank 4 in the f→i results, indicating it is a sibling lemma in the same paper as the gold formal, and the retriever is being distracted by nearby related statements about adeles and ideles in the same section."
