node_id,full_name,project,module,indeg,sig_len,NL,F_signature,F_B,F_T,dep_count,dep_truncated,judge_prefer,judge_notes,vacuous_B,vacuous_T,edit_dist_B,edit_dist_T
1485891,MeasureTheory.lcondExp_const,gibbs-measure,GibbsMeasure.Prereqs.LebesgueCondExp,0,257,"The conditional expectation (with respect to a sub-σ-algebra) of a constant extended non-negative real-valued function is equal to that same constant function, provided the sub-σ-algebra is contained in the original σ-algebra and the measure is sigma-finite and finite.","MeasureTheory.lcondExp_const.{u_1} {α : Type u_1} {m m₀ : MeasurableSpace α} {μ : MeasureTheory.Measure α}
  [MeasureTheory.SigmaFinite μ] (hm : m ≤ m₀) (c : ENNReal) [MeasureTheory.IsFiniteMeasure μ] :
  (MeasureTheory.lcondExp m μ fun x => c) = fun x => c","```lean
theorem condexp_const (α : Type*) [MeasurableSpace α] (μ : Measure α) [SigmaFinite μ] (c : ℝ≥0∞) (m : MeasurableSpace α) (hm : m ≤ ‹MeasurableSpace α›) : 
  μ.condexp (fun _ : α => c) m = fun _ => c
```","```lean
theorem MeasureTheory.lcondExp_const {α : Type*} {m m₀ : MeasurableSpace α} {μ : MeasureTheory.Measure α}
  (hm : m ≤ m₀) [MeasureTheory.SigmaFinite μ] [MeasureTheory.IsFiniteMeasure μ] (c : ENNReal) :
  MeasureTheory.lcondExp m μ (fun _ => c) = fun _ => c := by sorry
```",18,0,T,A matches target signature closely; B uses wrong name (condexp vs lcondExp) and different parameter order,False,False,29,19
1361495,Specification.isssdFun,gibbs-measure,GibbsMeasure.Specification,6,178,"The term `Specification.isssdFun` is a probability kernel from the space of functions `S → E` to itself, parameterized by a measure `ν` on `E` and a finite set `Λ` of elements from `S`, where `E` is equipped with a measurable space structure.","Specification.isssdFun.{u_1, u_2} {S : Type u_1} {E : Type u_2} {mE : MeasurableSpace E} (ν : MeasureTheory.Measure E)
  (Λ : Finset S) : ProbabilityTheory.Kernel (S → E) (S → E)","```lean
def Specification.isssdFun {S E : Type*} [MeasurableSpace E] (ν : Measure E) (Λ : Finset S) :
    ProbabilityKernel (S → E) (S → E) := sorry
```","```lean
def Specification.isssdFun {S : Type u_1} {E : Type u_2} {mE : MeasurableSpace E}
  (ν : MeasureTheory.Measure E) (Λ : Finset S) :
  ProbabilityTheory.Kernel (S → E) (S → E) := by sorry
```",27,0,T,B preserves explicit universe levels and full namespace paths matching target exactly; A uses implicit universes and abbreviated type.,False,False,16,5
1342145,juxt_apply_of_mem,gibbs-measure,GibbsMeasure.Prereqs.Juxt,0,145,"When $x$ is an element of the set $\Lambda$, applying the juxtaposition function `juxt` with respect to $\Lambda$, $\eta$, and $\zeta$ at the point $x$ equals $\zeta$ evaluated at the pair consisting of $x$ and the proof that $x$ belongs to $\Lambda$.","juxt_apply_of_mem.{u_1, u_2} {S : Type u_1} {E : Type u_2} {Λ : Set S} {η : S → E} {x : S} (hx : x ∈ Λ) (ζ : ↑Λ → E) :
  juxt Λ η ζ x = ζ ⟨x, hx⟩","```lean
def juxt_eq_zeta (Λ : Type*) (η : Type*) (ζ : Type*) (x : Λ) (h : x ∈ Λ) (juxt : ∀ (a : Λ), ζ) (zeta : Λ × (· ∈ Λ) → ζ) : juxt x = zeta ⟨x, h⟩ := by sorry
```","```lean
theorem juxt_mem {S : Type u_1} {E : Type u_2} (Λ : Set S) (η : S → E) (ζ : ↑Λ → E) (x : S) (hx : x ∈ Λ) :
  juxt Λ η ζ x = ζ ⟨x, hx⟩ := by sorry
```",21,0,T,B matches target structure and types; A uses wrong types (Λ : Type* vs Set S) and garbled syntax.,False,False,38,20
1504430,MeasureTheory.Integrable.fun_mul_of_top_right,gibbs-measure,GibbsMeasure.Mathlib.MeasureTheory.Function.L1Space.Integrable,0,294,"Looking at this Lean 4 declaration:

The theorem states that if $f$ is an integrable function with respect to a measure $\mu$ on a measurable space $\alpha$ (taking values in a normed field $\mathbb{k}$), and if $\phi$ belongs to $L^\infty(\mu)$ (that is, $\phi$ is essentially bounded), then the pointwise product function $x \mapsto \phi(x) \cdot f(x)$ is also integrable with respect to $\mu$.","MeasureTheory.Integrable.fun_mul_of_top_right.{u_1, u_3} {α : Type u_1} {𝕜 : Type u_3} {mα : MeasurableSpace α}
  {μ : MeasureTheory.Measure α} [NormedField 𝕜] {f φ : α → 𝕜} (hf : MeasureTheory.Integrable f μ)
  (hφ : MeasureTheory.MemLp φ ⊤ μ) : MeasureTheory.Integrable (fun x => φ x * f x) μ","```lean
theorem Integrable.mul_essBounded {α : Type*} {𝕜 : Type*} [MeasurableSpace α] (μ : Measure α) [NormedField 𝕜] {f : α → 𝕜} (hf : Integrable f μ) {φ : α → 𝕜} (hφ : φ ∈ Lp 𝕜 ∞ μ) : Integrable (fun x => φ x * f x) μ := by sorry
```","```lean
theorem MeasureTheory.Integrable.mul_of_top_left {α : Type*} {m : MeasurableSpace α} {μ : MeasureTheory.Measure α} {𝕜 : Type*} [NormedField 𝕜] {f : α → 𝕜} (hf : MeasureTheory.Integrable f μ) {φ : α → 𝕜} (hφ : MeasureTheory.MemLp φ ⊤ μ) : MeasureTheory.Integrable (fun x => φ x * f x) μ := by sorry
```",56,0,T,"B matches target namespace, types, and names; A uses Lp instead of MemLp and lacks namespace.",False,False,29,21
1403200,MeasureTheory.Integrable.induction',gibbs-measure,GibbsMeasure.Mathlib.MeasureTheory.Function.SimpleFuncDenseLp,3,713,"The theorem states that to prove a property P holds for all integrable functions with respect to a measure μ, it suffices to verify four conditions: (1) P holds for indicator functions of measurable sets with finite measure multiplied by a constant, (2) P is preserved under addition of functions with disjoint supports, (3) the set of integrable functions satisfying P is closed in the appropriate topology, and (4) P is preserved under almost everywhere equivalence of functions.","MeasureTheory.Integrable.induction'.{u_1, u_2} {α : Type u_1} {E : Type u_2} {mα : MeasurableSpace α}
  [NormedAddCommGroup E] {μ : MeasureTheory.Measure α} (P : (f : α → E) → MeasureTheory.Integrable f μ → Prop)
  (indicator : ∀ (c : E) (s : Set α) (hs : MeasurableSet s) (hμs : μ s ≠ ⊤), P (Set.indicator s fun x => c) ⋯)
  (add :
    ∀ (f g : α → E) (hf : MeasureTheory.Integrable f μ) (hg : MeasureTheory.Integrable g μ),
      Disjoint (Function.support f) (Function.support g) → P f hf → P g hg → P (f + g) ⋯)
  (isClosed : IsClosed {f | P ↑↑f ⋯})
  (ae_congr : ∀ (f g : α → E) (hf : MeasureTheory.Integrable f μ) (hfg : f =ᵐ[μ] g), P f hf → P g ⋯) (f : α → E)
  (hf : MeasureTheory.Integrable f μ) : P f hf","```lean
theorem integrable_functions_property_iff (α : Type*) [MeasurableSpace α] (μ : Measure α) (P : (α → ℝ) → Prop) :
    (∀ f : α → ℝ, Integrable f μ → P f) ↔
    (∀ c : ℝ, ∀ s : Set α, MeasurableSet s → μ s < ∞ → P (c • 𝟙 s)) ∧
    (∀ f g : α → ℝ, Disjoint (support f) (support g) → P f → P g → P (f + g)) ∧
    (∀ f : α → ℝ, Integrable f μ → ContinuousAt (fun g ↦ P g) f → P f) ∧
    (∀ f g : α → ℝ, f =ᵐ[μ] g → P f ↔ P g) := by sorry
```","```lean
theorem MeasureTheory.Integrable.induction_on
  {α : Type u_1} {E : Type u_2} {mα : MeasurableSpace α}
  [NormedAddCommGroup E] {μ : MeasureTheory.Measure α}
  (P : (f : α → E) → MeasureTheory.Integrable f μ → Prop)
  (indicator : ∀ (c : E) (s : Set α) (hs : MeasurableSet s) (hμs : μ s ≠ ⊤), 
    P (Set.indicator s fun x => c) (by sorry))
  (add : ∀ (f g : α → E) (hf : MeasureTheory.Integrable f μ) (hg : MeasureTheory.Integrable g μ),
    Disjoint (Function.support f) (Function.support g) → P f hf → P g hg → 
    P (f + g) (by sorry))
  (isClosed : IsClosed {f : α →ₘ[μ] E | P ↑↑f (by sorry)})
  (ae_congr : ∀ (f g : α → E) (hf : MeasureTheory.Integrable f μ) (hfg : f =ᵐ[μ] g), 
    P f hf → P g (by sorry))
  (f : α → E) (hf : MeasureTheory.Integrable f μ) : P f hf :=
  by sorry
```",173,0,T,B matches signature structure as induction principle; A is wrong type (iff instead of direct proof) and uses wrong domain (ℝ instead of E),False,False,110,17
1392542,MeasureTheory.Measure.eq_prod_of_dirac_left,gibbs-measure,GibbsMeasure.Mathlib.MeasureTheory.Measure.Prod,0,403,"If $\mu$ is a measure on $X \times Y$ whose marginal on $X$ is the Dirac measure at a point $x$ and whose marginal on $Y$ is $\nu$, then $\mu$ equals the product measure of the Dirac measure at $x$ and $\nu$.","MeasureTheory.Measure.eq_prod_of_dirac_left.{u_1, u_2} (X : Type u_1) (Y : Type u_2) [MeasurableSpace X]
  [MeasurableSpace Y] (x : X) (ν : MeasureTheory.Measure Y) (μ : MeasureTheory.Measure (X × Y))
  (marg_X : MeasureTheory.Measure.map Prod.fst μ = MeasureTheory.Measure.dirac x)
  (marg_Y : MeasureTheory.Measure.map Prod.snd μ = ν) : μ = MeasureTheory.Measure.prod (MeasureTheory.Measure.dirac x) ν","```lean
theorem measure_eq_dirac_prod_of_marginals (X Y : Type*) [MeasurableSpace X] [MeasurableSpace Y] 
    (x : X) (ν : Measure Y) (μ : Measure (X × Y)) 
    (hX : μ.fst = Measure.dirac x) (hY : μ.snd = ν) : 
    μ = Measure.dirac x ⊗ₘ ν := by sorry
```","```lean
theorem dirac_prod_of_marginals {α β : Type*} [MeasurableSpace α] [MeasurableSpace β] 
    (x : α) (ν : MeasureTheory.Measure β) (μ : MeasureTheory.Measure (α × β))
    (hfst : MeasureTheory.Measure.map Prod.fst μ = MeasureTheory.Measure.dirac x)
    (hsnd : MeasureTheory.Measure.map Prod.snd μ = ν) :
    μ = MeasureTheory.Measure.prod (MeasureTheory.Measure.dirac x) ν := by sorry
```",23,0,T,A matches signature exactly; B uses notation ⊗ₘ and different hypothesis names but semantically equivalent,False,False,25,20
1386695,Specification.isssd,gibbs-measure,GibbsMeasure.Specification,13,137,"The theorem states that given a measurable space $E$ with a measure $\nu$, there exists a specification from a state space $S$ to the event space $E$.","Specification.isssd.{u_1, u_2} {S : Type u_1} {E : Type u_2} {mE : MeasurableSpace E} (ν : MeasureTheory.Measure E) :
  Specification S E","```lean
theorem exists_specification (E : Type*) [MeasurableSpace E] (ν : Measure E) (S : Type*) : 
  ∃ κ : Kernel S E, True := by sorry
```","```lean
theorem Specification.exists_specification {S E : Type*} [MeasurableSpace E] (ν : MeasureTheory.Measure E) :
  ∃ (π : Specification S E), True
```",49,0,tie,"Both candidates are vacuous existence claims (∃ x, True) that don't match the target's definitional structure",True,True,21,17
1367729,IsConsistent,gibbs-measure,GibbsMeasure.Specification,17,151,A family of probability kernels γ indexed by finite subsets Λ of S is **consistent** if it satisfies certain compatibility conditions that allow these kernels to be pieced together into a coherent infinite-dimensional probability measure on the product space S → E.,"IsConsistent.{u_1, u_2} {S : Type u_1} {E : Type u_2} {mE : MeasurableSpace E}
  (γ : (Λ : Finset S) → ProbabilityTheory.Kernel (S → E) (S → E)) : Prop","```lean
def Consistent (γ : Set (Finset S) → (α → Kernel α E)) : Prop := by sorry
```","```lean
def IsConsistent {S : Type u_1} {E : Type u_2} [MeasurableSpace E]
  (γ : (Λ : Finset S) → ProbabilityTheory.Kernel (S → E) (S → E)) : Prop := by sorry
```",24,0,T,"Candidate B matches the target signature exactly, while A uses different types (Set, α, Kernel α E) that don't align with the target.",False,False,25,9
1537841,Specification.modification_one',gibbs-measure,GibbsMeasure.Specification,0,177,"The theorem states that for a specification γ on a measurable space with state space S and sample space E, applying the modification operation with the constant function equal to 1 (returning 1 for all inputs) yields the original specification γ unchanged.","Specification.modification_one'.{u_1, u_2} {S : Type u_1} {E : Type u_2} {mE : MeasurableSpace E}
  (γ : Specification S E) : Specification.modification γ (fun _Λ _η => 1) ⋯ = γ","```lean
theorem spec_modify_const_one (S E : Type*) [MeasurableSpace S] [MeasurableSpace E] (γ : Spec S E) :
    γ.modify (fun _ => 1) = γ := by sorry
```","```lean
theorem Specification.modification_one {S : Type u_1} {E : Type u_2} {mE : MeasurableSpace E} (γ : Specification S E) :
  Specification.modification γ (fun _Λ _η => 1) Specification.IsModifier.one' = γ
```",63,0,T,"B matches the target signature exactly, including universe levels, implicit arguments, and the specific IsModifier.one' proof. A uses different names and simpler structure.",False,False,22,3
1361494,Specification.isssdFun_apply,gibbs-measure,GibbsMeasure.Specification,0,264,"The function `Specification.isssdFun` applied to a measure `ν` on `E` and a finite set `Λ` of indices in `S`, when evaluated at a function `η`, equals the pushforward (map) of the product measure (where each factor is `ν`) under the map that takes a function and restricts it to the indices in `Λ` combined with `η`.","Specification.isssdFun_apply.{u_1, u_2} {S : Type u_1} {E : Type u_2} {mE : MeasurableSpace E}
  (ν : MeasureTheory.Measure E) (Λ : Finset S) :
  ⇑(Specification.isssdFun ν Λ) = fun η => MeasureTheory.Measure.map (juxt (↑Λ) η) (MeasureTheory.Measure.pi fun x => ν)","```lean
def Specification.isssdFun {E S : Type*} [MeasurableSpace E] [MeasurableSpace S]
    (ν : Measure E) (Λ : Finset S) (η : S → E) :
    Measure (S → E) :=
  Measure.map (fun f : Λ → E ↦ fun s ↦ if h : s ∈ Λ then f ⟨s, h⟩ else η s)
    (Measure.pi fun _ ↦ ν)
```","```lean
theorem Specification.isssdFun_eq (S : Type*) (E : Type*) [MeasurableSpace E] (ν : MeasureTheory.Measure E)
  (Λ : Finset S) (η : S → E) :
  (Specification.isssdFun ν Λ) η =
  MeasureTheory.Measure.map (fun (ζ : ↑Λ → E) => juxt (↑Λ) η ζ)
    (MeasureTheory.Measure.pi fun (_ : ↑Λ) => ν)
```",34,0,T,"B matches the theorem signature with isssdFun applied to η, while A defines isssdFun incorrectly with η as parameter instead of result function.",False,False,49,33
