========================================================================
Q4 — Unconstrained discovery (full pool, sampled)
========================================================================

For a stratified sample of query statements (some informal, some
formal), find the top-K nearest neighbours in the full sloganed pool —
no formality restriction, self-excluded. Approximates what
`/graph/statement?return=representations` would actually surface in
production.

Nearest-neighbour search runs server-side via the binary-Hamming
HNSW shortlist (`<~>` on `binary_quantize(embedding)::bit(4096)`)
followed by a full-precision cosine rerank — same two-phase pattern
as the production /search endpoint.

Each top result is annotated with the candidate's formality + paper_id
so you can eyeball:

  (a) The known ground-truth partner showing up at rank 1 (sanity check)
  (b) Cross-paper restatements / equivalent results
  (c) Same-formality near-duplicates from another paper
  (d) Noise

Sampled 15 informal + 15 formal queries (seed=0); top-5 neighbours each.


Informal queries → top neighbours across the full pool
------------------------------------------------------
query_id  query_formality  rank  neighbour_id  neigh_formality  neigh_paper_id  similarity  slogan_preview                                                                            
--------  ---------------  ----  ------------  ---------------  --------------  ----------  ------------------------------------------------------------------------------------------
9c24cb47  informal         1     9be10aff      informal         c4dccb55        0.829       As time goes on, the stochastic integral of a simple process V with respect to a stochast…
9c24cb47  informal         2     ae452167      informal         8f6aab4e        0.811       The stochastic integral of a simple process is defined as a sum involving increments of a…
9c24cb47  informal         3     97e4b312      informal         71165451        0.788       The stochastic integral of a simple process L with respect to a process M is defined as a…
9c24cb47  informal         4     12484f56      informal         c13f9a14        0.786       The integral of a stochastic process over time, defined for a certain class of simple pro…
9c24cb47  informal         5     8a699944      informal         d787d7a2        0.785       A stochastic integral is defined as the limit of sums involving a function and a stochast…
                                                                                                                                                                                      
a87d1d2a  informal         1     c3af3650      informal         c533b2cb        0.772       In a coalgebra, the set of elements that are both group-like under the comultiplication a…
a87d1d2a  informal         2     00d49d0a      formal           c82bacc0        0.767       In a coalgebra over a commutative domain ring where the module is torsion-free, any set o…
a87d1d2a  informal         3     5a326b34      informal         408b0958        0.766       Two sets of group elements are independent if no linear combination of pairings from one …
a87d1d2a  informal         4     e9182768      informal         25f23d5d        0.752       For any coalgebra M, the set G(M) is linearly independent. For any bialgebra B, G(B) form…
a87d1d2a  informal         5     d0e31838      informal         e5f13329        0.746       The set of elements formed by multiplying matrix units with certain coefficients in the g…
                                                                                                                                                                                      
0f193718  informal         1     337f4ac2      formal           49c1b835        0.853       The antichain_operator theorem bounds the absolute value of the integral of the product o…
0f193718  informal         2     f95c2202      formal           49c1b835        0.834       The absolute value of the integral of the product of the conjugate of a function g and a …
0f193718  informal         3     57b57d7d      formal           49c1b835        0.794       The integral of the norm of the Carleson sum over a set A is bounded above by a constant …
0f193718  informal         4     b73a29c4      informal         c3682104        0.787       The absolute value of the integral involving functions f and g and a sum over operators i…
0f193718  informal         5     ae15b38a      formal           49c1b835        0.763       The integral of the product of g and the Carleson sum over an antichain of sets is bounde…
                                                                                                                                                                                      
67cd8d98  informal         1     5ce381a3      formal           c82bacc0        0.910       If two probability measures on a real normed vector space are Gaussian, then their convol…
67cd8d98  informal         2     bdf796fe      informal         6ea81ba3        0.825       If two Gaussian distributions on the real line have variances such that one is no larger …
67cd8d98  informal         3     df535a2c      formal           c82bacc0        0.822       The convolution of two Gaussian probability distributions on the real line, with means m1…
67cd8d98  informal         4     23cff39d      informal         71f5c06a        0.817       The convolution of two Gaussian distributions with means mu1 and mu2 and variances sigma1…
67cd8d98  informal         5     c07bc521      informal         6ea81ba3        0.814       If two measures, when each is convolved with the same Gaussian measure, produce identical…
                                                                                                                                                                                      
cf0c8db4  informal         1     bad962f9      formal           315f867e        0.762       The E8Lattice, a special set of points in 8-dimensional space with integer or half-intege…
cf0c8db4  informal         2     634dbe18      informal         f779ffa8        0.727       c times the E8 lattice is a discrete set of points in 8-dimensional space that can be gen…
cf0c8db4  informal         3     7c2e1e89      formal           c82bacc0        0.698       A subset is discrete if and only if each of its points has a neighborhood that intersects…
cf0c8db4  informal         4     599d4d23      formal           c82bacc0        0.696       If a point belongs to a discrete subset of a topological space, then there exist neighbor…
cf0c8db4  informal         5     a90b4bc6      formal           c82bacc0        0.688       A space has the discrete topology if and only if every point in the space is isolated, me…
                                                                                                                                                                                      
c5e608ae  informal         1     4967ccea      informal         0fd8f44f        0.830       ISSSD nu is a specification.                                                              
c5e608ae  informal         2     47bceb03      informal         0fd8f44f        0.720       The product measure nu to the power S is a Gibbs measure that matches the specification g…
c5e608ae  informal         3     20a5021b      informal         0fd8f44f        0.703       There can be no more than one Gibbs measure that matches the specification given by the I…
c5e608ae  informal         4     ac9cda54      informal         0fd8f44f        0.697       ISSSD of nu is independent.                                                               
c5e608ae  informal         5     0e660321      informal         0fd8f44f        0.656       A specification is called proper if its kernel is proper for every finite subset of S. Th…
                                                                                                                                                                                      
a39cc3d1  informal         1     e5d99435      informal         c4dccb55        0.900       A finite measure on a space is Gaussian if and only if the characteristic function of the…
a39cc3d1  informal         2     a4b3296b      formal           c82bacc0        0.885       A measure is Gaussian if and only if its characteristic function has the specific form ex…
a39cc3d1  informal         3     7d60c62a      formal           c82bacc0        0.882       A measure on a real inner product space is Gaussian if and only if its characteristic fun…
a39cc3d1  informal         4     ce77beb9      informal         1cbc861d        0.878       A measure on a Hilbert space is Gaussian if and only if its characteristic function has t…
a39cc3d1  informal         5     05c520d1      formal           c82bacc0        0.874       A finite measure is Gaussian if and only if its characteristic function, evaluated at any…
                                                                                                                                                                                      
7bea96ce  informal         1     6b151c41      informal         c4dccb55        0.948       If X is a discrete time submartingale taking values in a real Banach space with certain o…
7bea96ce  informal         2     fe4938d5      informal         c4dccb55        0.852       If X is a discrete time martingale and tau, sigma are stopping times with tau bounded, th…
7bea96ce  informal         3     9216731c      formal           8b17b1f1        0.828       For a supermartingale process X and two stopping times σ and τ, the conditional expectati…
7bea96ce  informal         4     f2e6db77      informal         c4dccb55        0.816       If X is a right-continuous submartingale indexed by an approximable time set, and sigma a…
7bea96ce  informal         5     07e4bc5a      formal           8b17b1f1        0.807       If X is a martingale with right-continuous paths, and tau and sigma are stopping times wi…
                                                                                                                                                                                      
c24af68f  informal         1     ccb9de1a      informal         dfc809bb        0.755       The image of the map i_0* is equal to the kernel of the map N, meaning that everything N …
c24af68f  informal         2     edc52000      informal         8b3012c7        0.752       The image of the map D is exactly the set of elements that the map E sends to zero.       
c24af68f  informal         3     56c4abf2      formal           cfc4823a        0.745       The functor "down" applied to a representation M gives the kernel of the natural map from…
c24af68f  informal         4     381662b1      informal         941d510e        0.745       The map described is onto, and the elements that map to zero are exactly those that come …
