node_id,full_name,F_signature,NL,F_T,dep_count,F_Tnames,dep_names_count,judge_T_vs_Tnames,judge_T_vs_Tnames_notes,vacuous_Tnames,edit_dist_Tnames,F_Trandom,rand_count,judge_T_vs_Trandom,judge_T_vs_Trandom_notes,vacuous_Trandom,edit_dist_Trandom
1790934,Dual.DirectSumDecomposition.RefinementMap,"Dual.DirectSumDecomposition.RefinementMap.{u_1} {C : Type} [CategoryTheory.Category.{0, 0} C] {K : Type}
  [DivisionRing K] {M : CategoryTheory.Functor C (ModuleCat K)} (I J : Dual.DirectSumDecomposition M)
  (h : Dual.DirectSumDecomposition.IsRefinement J I) : ↥J → ↥I","Looking at this declaration, I need to translate the Lean 4 type signature into plain mathematical English.

This defines a function called `RefinementMap` that takes as input:
- A category C
- A division ring K  
- A functor M from C to the category of K-modules
- Two direct sum decompositions I and J of the dual of M
- A proof h that J is a refinement of I

The function then produces a map from the underlying type of J to the underlying type of I.

In plain mathematical English:

Given a functor M from a category C to the category of modules over a division ring K, and given two direct sum decompositions I and J (in the dual sense) of M where J is a refinement of I, the `RefinementMap` produces a function from the index set of J to the index set of I, associating to each summand in the refined decomposition J a corresponding summand in the coarser decomposition I.","```lean
def Dual.DirectSumDecomposition.RefinementMap {C : Type} [CategoryTheory.Category C]
  {K : Type} [DivisionRing K] {M : CategoryTheory.Functor C (ModuleCat K)}
  (I J : Dual.DirectSumDecomposition M)
  (h : Dual.DirectSumDecomposition.IsRefinement J I) : ↥J → ↥I := by sorry
```",32,"```lean
def RefinementMap {C : Type u} [CategoryTheory.Category C] (K : Type v) [DivisionRing K]
    (M : C ⥤ ModuleCat K) (I J : Dual.DirectSumDecomposition M)
    (h : Dual.DirectSumDecomposition.IsRefinement M I J) : J → I
```",32,T,B exactly matches target signature including argument order and coercions. A has different parameter implicits and swapped IsRefinement arguments.,False,18,"```lean
def Dual.DirectSumDecomposition.RefinementMap {C : Type} [CategoryTheory.Category.{0, 0} C] {K : Type} [DivisionRing K] {M : CategoryTheory.Functor C (ModuleCat K)} (I J : Dual.DirectSumDecomposition M) (h : Dual.DirectSumDecomposition.IsRefinement J I) (N : ↥J) : ↥I := by sorry
```",28,Trandom,"Both match the signature exactly, but A explicitly names the input argument (N : ↥J) which is semantically clearer than B's anonymous function type.",False,8
1770349,EndRing,"EndRing.{u_1, u_2} (C R : Type) [CategoryTheory.Category.{u_1, 0} C] [DivisionRing R]
  (F : CategoryTheory.Functor C (ModuleCat R)) : Type u_2","An `EndRing` is a type that represents the endomorphism ring structure on a functor from a category C to the category of modules over a division ring R, where the endomorphism ring is formed by the natural transformations from the functor to itself with composition as multiplication.","```lean
def EndRing {C : Type u₁} [CategoryTheory.Category.{v₁, u₁} C] (R : Type u) [DivisionRing R] 
    (F : CategoryTheory.Functor C (ModuleCat R)) : Type (max v₁ u) :=
  Quiver.Hom F F
```",12,"```lean
def EndRing (C : Type u) [CategoryTheory.Category C] (R : Type v) [DivisionRing R] (F : C ⥤ ModuleCat R) : Ring :=
  { carrier := F ⟶ F
    add := fun f g => f + g
    add_assoc := by sorry
    zero := 0
    add_zero := by sorry
    zero_add := by sorry
    neg := fun f => -f
    add_left_neg := by sorry
    add_comm := by sorry
    mul := fun f g => g ≫ f
    mul_assoc := by sorry
    one := 𝟙 F
    mul_one := by sorry
    one_mul := by sorry
    mul_left_distrib := by sorry
    mul_right_distrib := by sorry
    zero_mul := by sorry
    mul_zero := by sorry }
```",12,Tnames,"Target returns Type u_2, candidate B returns Ring (a Type), candidate A returns Quiver.Hom which is just morphisms without ring structure",False,102,"```lean
structure EndRing (C : Type) [CategoryTheory.Category C] (R : Type) [DivisionRing R]
    (F : CategoryTheory.Functor C (ModuleCat R)) where
  toNatTrans : CategoryTheory.NatTrans F F
```",12,Trandom,"A is a structure defining an endomorphism ring via natural transformations. B is just a type alias to Quiver.Hom, which is semantically shallow and potentially vacuous.",False,13
1828911,ZeroEndomorphism,"ZeroEndomorphism.{u_1, u_2} (C : Type) [CategoryTheory.Category.{u_1, 0} C] (R : Type) [DivisionRing R]
  (F : CategoryTheory.Functor C (ModuleCat R)) : EndRing C R F",The zero endomorphism is an element of the endomorphism ring of a functor from a category $C$ to the category of modules over a division ring $R$.,"```lean
def zeroEndomorphismMem {C R : Type} [CategoryTheory.Category.{0, 0} C] [DivisionRing R]
    (F : CategoryTheory.Functor C (ModuleCat R)) :
    (0 : EndRing C R F) ∈ Set.univ := by sorry
```",28,"```lean
def zeroEndomorphismInEndRing {C : Type*} [CategoryTheory.Category C] (R : Type*) [DivisionRing R] (F : C ⥤ ModuleCat R) : EndRing F := 0
```",28,Tnames,"A returns an EndRing element (zero), matching return type. B returns a membership proof, wrong type entirely.",False,14,"```lean
theorem ZeroEndomorphismInEndRing (C : Type) [CategoryTheory.Category C] (R : Type) [DivisionRing R]
    (F : CategoryTheory.Functor C (ModuleCat R)) :
    ZeroEndomorphism C R F ∈ (⊤ : Submodule R (EndRing C R F)) := by sorry
```",28,tie,"Both candidates change the target signature completely: A proves set membership, B proves submodule membership. Neither matches the target type EndRing C R F.",False,17
1821526,IsIndecomposable,"IsIndecomposable.{u_1, u_2} (R : Type) [DivisionRing R] (C : Type) [CategoryTheory.Category.{u_1, 0} C]
  (M : CategoryTheory.Functor C (ModuleCat R)) : Prop","A functor M from a category C to the category of modules over a division ring R is indecomposable if, for any decomposition of M as a direct sum of two subfunctors M₁ and M₂, at least one of M₁ or M₂ must be the zero functor.","```lean
def IsIndecomposable (R : Type u) [DivisionRing R] (C : Type u') [CategoryTheory.Category C]
  (M : CategoryTheory.Functor C (ModuleCat R)) : Prop :=
  ∀ (M₁ M₂ : Subfunctor R C M), SubmodDecomp R C M M₁ M₂ →
    (M₁.baseFunctor = 0) ∨ (M₂.baseFunctor = 0)
```",10,"```lean
def IsIndecomposable (R : Type*) [DivisionRing R] (C : Type*) [CategoryTheory.Category C]
    (M : CategoryTheory.Functor C (ModuleCat R)) : Prop :=
  ∀ (M₁ M₂ : CategoryTheory.Functor C (ModuleCat R)),
    (∀ c : C, M.obj c = M₁.obj c ⊕ M₂.obj c) →
    (∀ c : C, M.map = M₁.map + M₂.map) →
    (∀ c : C, M₁.obj c = ⊥) ∨ (∀ c : C, M₂.obj c = ⊥)
```",10,T,"B uses proper subfunctor and decomposition infrastructure; A has type errors (M.map equality, direct sum on types) and malformed constraints.",False,55,"```lean
def Indecomposable.{u_1, u_2} (C : Type u_1) [CategoryTheory.Category.{u_1, 0} C] (R : Type) [DivisionRing R]
  (M : CategoryTheory.Functor C (ModuleCat R)) : Prop :=
  ∀ (M₁ M₂ : Subfunctor R C M),
    SubmodDecomp R C M M₁ M₂ →
    (Subfunctor.baseFunctor M₁ = ZeroModule C R ∨ Subfunctor.baseFunctor M₂ = ZeroModule C R)
```",10,T,B matches target name exactly and uses standard 0 notation for zero; A has wrong name and verbose ZeroModule notation,False,41
1811068,PtwiseFinitePersMod.toFunctor,"PtwiseFinitePersMod.toFunctor.{u_1, u_2, u_3} {C : Type u_1} [CategoryTheory.Category.{u_3, u_1} C] {K : Type u_2}
  [DivisionRing K] (self : PtwiseFinitePersMod C K) : CategoryTheory.Functor C (ModuleCat K)",The function `toFunctor` converts a pointwise finite persistence module over a category C with coefficients in a division ring K into a functor from C to the category of K-modules.,"```lean
def PtwiseFinitePersMod.toFunctor {C : Type u₁} [CategoryTheory.Category.{u₃, u₁} C] {K : Type u₂} [DivisionRing K] (M : PtwiseFinitePersMod C K) : CategoryTheory.Functor C (ModuleCat K)
```",7,"```lean
def PtwiseFinitePersMod.toFunctor {C : Type*} [CategoryTheory.Category C] {K : Type*} [DivisionRing K] (M : PtwiseFinitePersMod C K) : C ⥤ ModuleCat K
```",7,T,"B matches target universes u_1=u₁, u_2=u₂, u_3=u₃ explicitly; A uses implicit * which may differ from target constraints.",False,14,"```lean
def toFunctor {C : Type u_1} [CategoryTheory.Category.{u_1, 0} C] {R : Type u_2} [DivisionRing R]
    (M : PointwiseFinitePersistenceModule C R) : CategoryTheory.Functor C (ModuleCat R) :=
  sorry
```",7,T,"B matches target exactly (names, universe levels, parameter order). A has wrong universe constraints, wrong names, and wrong parameter name.",False,13
1793054,PersistenceSubmodule.coe_top,"PersistenceSubmodule.coe_top.{u_1, u_2} {C : Type} [CategoryTheory.Category.{u_2, 0} C] {K : Type} [DivisionRing K]
  {M : CategoryTheory.Functor C (ModuleCat K)} : ⇑⊤ = ⊤",The statement asserts that the coercion (or canonical map) of the top element in the lattice of persistence submodules equals the top element in the target structure (which is likely the lattice of functions or submodules being coerced to).,"```lean
theorem PersistenceSubmodule.coe_top {C : Type} [CategoryTheory.Category.{u_1, 0} C] {K : Type} [DivisionRing K] {M : CategoryTheory.Functor C (ModuleCat K)} :
  ⇑(⊤ : PersistenceSubmodule M) = ⊤ := by sorry
```",44,"```lean
theorem PersistenceSubmodule.coe_top {R : Type*} {M : Type*} [DivisionRing R] [AddCommGroup M] [Module R M] :
    ↑(⊤ : PersistenceSubmodule R M) = ⊤ := by sorry
```",44,T,"A matches the target's categorical context with Functor C (ModuleCat K), while B uses different types R, M not matching the target.",False,23,"```lean
PersistenceSubmodule.coe_top : ∀ {C : Type u_1} [inst : CategoryTheory.Category C] {K : Type u_2} [inst : DivisionRing K] {M : CategoryTheory.Functor C (ModuleCat K)}, ⇑(⊤ : PersistenceSubmodule M) = ⊤
```",31,Trandom,A correctly uses u_1 for Category and u_2 for DivisionRing matching target; B reverses them to u_1 and u_2.,False,17
1790932,Dual.DirectSumDecomposition.RefinementMapLE,"Dual.DirectSumDecomposition.RefinementMapLE.{u_1} {C : Type} [CategoryTheory.Category.{0, 0} C] {K : Type}
  [DivisionRing K] {M : CategoryTheory.Functor C (ModuleCat K)} (I J : Dual.DirectSumDecomposition M)
  (h : Dual.DirectSumDecomposition.IsRefinement J I) (N : ↥J) :
  ↑N ≤ ↑(Dual.DirectSumDecomposition.RefinementMap I J h N)","Looking at this declaration, it states that for a refinement $h$ between two direct sum decompositions $J$ and $I$ of a functor $M$ (where $J$ refines $I$), and for any summand $N$ in the decomposition $J$, the summand $N$ is less than or equal to the image of $N$ under the refinement map from $I$ to $J$ induced by $h$.","```lean
theorem Dual.DirectSumDecomposition.RefinementMapLe {C : Type} [CategoryTheory.Category.{0, 0} C] {K : Type} [DivisionRing K] {M : CategoryTheory.Functor C (ModuleCat K)} (I J : Dual.DirectSumDecomposition M) (h : Dual.DirectSumDecomposition.IsRefinement J I) (N : ↥J) : ↑N ≤ ↑(Dual.DirectSumDecomposition.RefinementMap I J h N) := by sorry
```",57,"```lean
theorem Dual.DirectSumDecomposition.le_refinementMap
    {𝒞 : Type*} [CategoryTheory.Category 𝒞] {R : Type*} [DivisionRing R]
    {M : ModuleCat R} {I J : Dual.DirectSumDecomposition M}
    (h : Dual.DirectSumDecomposition.IsRefinement I J)
    (N : J) :
    (N : PersistenceSubmodule R M) ≤ (Dual.DirectSumDecomposition.RefinementMap h N : PersistenceSubmodule R M) := by sorry
```",57,T,B matches target exactly; A has wrong argument order (I J vs J I) and different types (M : ModuleCat vs M : Functor).,False,34,"```lean
theorem Dual.DirectSumDecomposition.refinement_le_refinement_map {C : Type} [CategoryTheory.Category.{0, 0} C] {K : Type} [DivisionRing K] {M : CategoryTheory.Functor C (ModuleCat K)} (I J : Dual.DirectSumDecomposition M) (h : Dual.DirectSumDecomposition.IsRefinement J I) (N : ↥J) : ↑N ≤ ↑(Dual.DirectSumDecomposition.RefinementMap I J h N) := by sorry
```",28,T,B uses RefinementMapLe matching target RefinementMapLE exactly; A uses refinement_le_refinement_map which differs.,False,5
1906549,sSup_eq_top',"sSup_eq_top'.{u_1} {α : Type u_1} [CompleteLattice α] [DistribLattice α] [BoundedOrder α] {S : Set α}
  (R : refinement S) : sSup (decomposition_of_refinement R) = sSup S","Looking at this declaration, it states that for a complete distributive lattice α with a bounded order, given a set S and a refinement R of S, the supremum of the decomposition derived from the refinement R equals the supremum of the original set S.","```lean
theorem sSup_decomposition_of_refinement {α : Type u_1} [CompleteLattice α] [BoundedOrder α] {S : Set α} (R : refinement S) :
  sSup (decomposition_of_refinement R) = sSup S
```",34,"```lean
theorem sSup_decomposition_of_refinement {α : Type*} [CompleteLattice α] [BoundedOrder α] (S : Set α) (R : Set (Set α)) (hR : refinement R S) : ⨆ (t : Set α) (ht : t ∈ decomposition_of_refinement R), ⨆ (a : α) (ha : a ∈ t), a = ⨆ (a : α) (ha : a ∈ S), a := by sorry
```",34,T,"A matches target signature closely; B has wrong parameter order (R,S swapped) and uses explicit indexed supremum instead of sSup.",False,48,"```lean
theorem sSup_decomposition_of_refinement {α : Type*} [CompleteLattice α] [BoundedOrder α] {S : Set α} (R : refinement S) :
  sSup (decomposition_of_refinement R) = sSup S
```",24,tie,Both candidates are identical except for explicit vs. implicit universe polymorphism; both match the target signature (DistribLattice is redundant with CompleteLattice).,False,6
1783910,refinement.carrier_indep,"refinement.carrier_indep.{u_1} {α : Type u_1} [CompleteLattice α] [BoundedOrder α] {S : Set α} (self : refinement S)
  (D : Set α) : D ∈ refinement.carrier self → sSupIndep D","I need to understand what this Lean 4 declaration is stating about refinements in a complete lattice.

The declaration states: Let α be a type with a complete lattice structure and bounded order, let S be a set in α, and let `self` be a refinement of S. Then for any set D in α, if D is in the carrier of the refinement `self`, then D is supremum-independent (sSupIndep).

In other words, every set in the carrier of a refinement has the property that its elements are supremum-independent, meaning that for any element in D, that element is disjoint from the supremum of all other elements in D.","```lean
theorem refinement.sSupIndep_of_mem_carrier {α : Type u_1} [CompleteLattice α] [BoundedOrder α] {S : Set α} (self : refinement S) {D : Set α} (hD : D ∈ self.carrier) : sSupIndep D
```",17,"```lean
theorem refinement.carrier_sSupIndep {α : Type*} [CompleteLattice α] [BoundedOrder α] {S : Set α}
    (self : refinement S) {D : Set α} (hD : D ∈ self.carrier) : sSupIndep D
```",17,tie,Both match the target signature semantically with minor stylistic differences in naming and universe polymorphism syntax.,False,10,"```lean
theorem refinement.sSupIndep_of_mem {α : Type u_1} [CompleteLattice α] [BoundedOrder α] {S : Set α} (self : refinement S) (D : Set α) (hD : D ∈ refinement.carrier self) : sSupIndep D
```",17,Trandom,B matches the target signature exactly with explicit D argument; A makes D implicit which differs from target.,False,5
1871136,Step2_2,"Step2_2.{u_1} (C : Type) [CategoryTheory.Category.{u_1, 0} C] (R : Type) [DivisionRing R] (X : C) (n : ℕ) (Y : C)
  (α : X ⟶ Y) (M : PtwiseFinitePersMod C R) (η : EndRing C R (PtwiseFinitePersMod.toFunctor M)) :
  CategoryTheory.CategoryStruct.comp (CategoryTheory.Functor.map (PtwiseFinitePersMod.toFunctor M) α)
      (CategoryTheory.NatTrans.app (η ^ n) Y) =
    CategoryTheory.CategoryStruct.comp (CategoryTheory.NatTrans.app (η ^ n) X)
      (CategoryTheory.Functor.map (PtwiseFinitePersMod.toFunctor M) α)","The theorem states that for a category $C$, a division ring $R$, objects $X$ and $Y$ in $C$, a morphism $\alpha : X \to Y$, a pointwise finite persistence module $M$, and an endomorphism $\eta$ of the underlying functor of $M$, the following diagram commutes: the composition of the functor map of $M$ applied to $\alpha$ followed by the $n$-th power of $\eta$ applied at $Y$ equals the composition of the $n$-th power of $\eta$ applied at $X$ followed by the functor map of $M$ applied to $\alpha$.","```lean
theorem Step2_power (C : Type) [CategoryTheory.Category C] (R : Type) [DivisionRing R] (X Y : C) (α : X ⟶ Y)
  (M : PtwiseFinitePersMod C R) (η : EndRing C R (PtwiseFinitePersMod.toFunctor M)) (n : ℕ) :
  CategoryTheory.CategoryStruct.comp (CategoryTheory.Functor.map (PtwiseFinitePersMod.toFunctor M) α)
      (CategoryTheory.NatTrans.app (η ^ n) Y) =
    CategoryTheory.CategoryStruct.comp (CategoryTheory.NatTrans.app (η ^ n) X)
      (CategoryTheory.Functor.map (PtwiseFinitePersMod.toFunctor M) α) := by sorry
```",37,"```lean
theorem commute_functor_map_and_pow_eta {C : Type*} [CategoryTheory.Category C] {R : Type*} [DivisionRing R] {X Y : C} (α : X ⟶ Y) (M : PtwiseFinitePersMod R C) (η : M.toFunctor ⟶ M.toFunctor) (n : ℕ) : M.toFunctor.map α ≫ (η ^ n).app Y = (η ^ n).app X ≫ M.toFunctor.map α := by sorry
```",37,T,"A matches target signature exactly. B has different parameter order/structure (e.g., PtwiseFinitePersMod R C vs C R) and uses ≫ notation.",False,41,"```lean
theorem Step2_pow (C : Type) [CategoryTheory.Category.{0} C] (R : Type) [DivisionRing R] (X Y : C) (α : X ⟶ Y)
    (M : PtwiseFinitePersMod C R) (η : EndRing C R (PtwiseFinitePersMod.toFunctor M)) (n : ℕ) :
    CategoryTheory.CategoryStruct.comp (CategoryTheory.Functor.map (PtwiseFinitePersMod.toFunctor M) α)
        (CategoryTheory.NatTrans.app (η ^ n) Y) =
      CategoryTheory.CategoryStruct.comp (CategoryTheory.NatTrans.app (η ^ n) X)
        (CategoryTheory.Functor.map (PtwiseFinitePersMod.toFunctor M) α) := by sorry
```",37,T,"Both match target semantically. A omits universe level constraint that target specifies, making it more general.",False,16
