node_id,full_name,project,module,indeg,sig_len,NL,F_signature,F_B,F_T,dep_count,dep_truncated,judge_prefer,judge_notes,vacuous_B,vacuous_T,edit_dist_B,edit_dist_T
1790934,Dual.DirectSumDecomposition.RefinementMap,PersistentDecomp,PersistentDecomp.DirectSumDecompositionDual,12,269,"Looking at this declaration, I need to translate the Lean 4 type signature into plain mathematical English.

This defines a function called `RefinementMap` that takes as input:
- A category C
- A division ring K  
- A functor M from C to the category of K-modules
- Two direct sum decompositions I and J of the dual of M
- A proof h that J is a refinement of I

The function then produces a map from the underlying type of J to the underlying type of I.

In plain mathematical English:

Given a functor M from a category C to the category of modules over a division ring K, and given two direct sum decompositions I and J (in the dual sense) of M where J is a refinement of I, the `RefinementMap` produces a function from the index set of J to the index set of I, associating to each summand in the refined decomposition J a corresponding summand in the coarser decomposition I.","Dual.DirectSumDecomposition.RefinementMap.{u_1} {C : Type} [CategoryTheory.Category.{0, 0} C] {K : Type}
  [DivisionRing K] {M : CategoryTheory.Functor C (ModuleCat K)} (I J : Dual.DirectSumDecomposition M)
  (h : Dual.DirectSumDecomposition.IsRefinement J I) : ↥J → ↥I","```lean
def RefinementMap {C : Type*} [Category C] {K : Type*} [DivisionRing K] (M : C ⥤ ModuleCat K) (I J : DirectSumDecomposition M) (h : IsRefinement J I) : J.ι → I.ι
```","```lean
def Dual.DirectSumDecomposition.RefinementMap {C : Type} [CategoryTheory.Category C]
  {K : Type} [DivisionRing K] {M : CategoryTheory.Functor C (ModuleCat K)}
  (I J : Dual.DirectSumDecomposition M)
  (h : Dual.DirectSumDecomposition.IsRefinement J I) : ↥J → ↥I := by sorry
```",32,0,T,A matches target exactly; B uses different field/namespace (.ι vs ↥) and omits Dual prefix,False,False,15,7
1770349,EndRing,PersistentDecomp,PersistentDecomp.EndoRingIsLocal,41,143,"An `EndRing` is a type that represents the endomorphism ring structure on a functor from a category C to the category of modules over a division ring R, where the endomorphism ring is formed by the natural transformations from the functor to itself with composition as multiplication.","EndRing.{u_1, u_2} (C R : Type) [CategoryTheory.Category.{u_1, 0} C] [DivisionRing R]
  (F : CategoryTheory.Functor C (ModuleCat R)) : Type u_2","```lean
variable (C : Type u) [Category C] (R : Type v) [DivisionRing R]

structure EndRing (F : C ⥤ ModuleCat R) where
  carrier : Type*
  instRing : Ring carrier
  isomorphic : carrier ≃+* (F ⟶ F)
```","```lean
def EndRing {C : Type u₁} [CategoryTheory.Category.{v₁, u₁} C] (R : Type u) [DivisionRing R] 
    (F : CategoryTheory.Functor C (ModuleCat R)) : Type (max v₁ u) :=
  Quiver.Hom F F
```",12,0,T,B matches type signature exactly; A introduces carrier field and ring structure not in target,False,False,30,19
1828911,ZeroEndomorphism,PersistentDecomp,PersistentDecomp.EndoRingIsLocal,6,166,The zero endomorphism is an element of the endomorphism ring of a functor from a category $C$ to the category of modules over a division ring $R$.,"ZeroEndomorphism.{u_1, u_2} (C : Type) [CategoryTheory.Category.{u_1, 0} C] (R : Type) [DivisionRing R]
  (F : CategoryTheory.Functor C (ModuleCat R)) : EndRing C R F","```lean
theorem zero_mem_endomorphism_ring {R : Type*} [DivisionRing R] {C : Type*} [Category C] (F : C ⥤ Module R) : (0 : F ⟶ F) ∈ Subring.center (F ⟶ F) := by sorry
```","```lean
def zeroEndomorphismMem {C R : Type} [CategoryTheory.Category.{0, 0} C] [DivisionRing R]
    (F : CategoryTheory.Functor C (ModuleCat R)) :
    (0 : EndRing C R F) ∈ Set.univ := by sorry
```",28,0,tie,"Both candidates are semantically far from target: target is a term of EndRing, A is theorem about center, B is trivial membership in univ",False,True,28,17
1821526,IsIndecomposable,PersistentDecomp,PersistentDecomp.EndoRingIsLocal,2,157,"A functor M from a category C to the category of modules over a division ring R is indecomposable if, for any decomposition of M as a direct sum of two subfunctors M₁ and M₂, at least one of M₁ or M₂ must be the zero functor.","IsIndecomposable.{u_1, u_2} (R : Type) [DivisionRing R] (C : Type) [CategoryTheory.Category.{u_1, 0} C]
  (M : CategoryTheory.Functor C (ModuleCat R)) : Prop","```lean
def IsIndecomposable (M : C ⥤ Module R) : Prop :=
  ∀ (M₁ M₂ : C ⥤ Module R), M ≅ M₁ ⊞ M₂ → M₁ = 0 ∨ M₂ = 0
```","```lean
def IsIndecomposable (R : Type u) [DivisionRing R] (C : Type u') [CategoryTheory.Category C]
  (M : CategoryTheory.Functor C (ModuleCat R)) : Prop :=
  ∀ (M₁ M₂ : Subfunctor R C M), SubmodDecomp R C M M₁ M₂ →
    (M₁.baseFunctor = 0) ∨ (M₂.baseFunctor = 0)
```",10,0,B,"A uses custom subtypes/decomp not in target; B uses standard category ops (⊞,≅) matching usual indecomposability.",False,False,29,30
1811068,PtwiseFinitePersMod.toFunctor,PersistentDecomp,PersistentDecomp.EndoRingIsLocal,10,207,The function `toFunctor` converts a pointwise finite persistence module over a category C with coefficients in a division ring K into a functor from C to the category of K-modules.,"PtwiseFinitePersMod.toFunctor.{u_1, u_2, u_3} {C : Type u_1} [CategoryTheory.Category.{u_3, u_1} C] {K : Type u_2}
  [DivisionRing K] (self : PtwiseFinitePersMod C K) : CategoryTheory.Functor C (ModuleCat K)","```lean
def toFunctor {C : Type*} [Category C] {K : Type*} [DivisionRing K] 
  (M : PointwiseFinitePersistenceModule C K) : C ⥤ Module K :=
  sorry
```","```lean
def PtwiseFinitePersMod.toFunctor {C : Type u₁} [CategoryTheory.Category.{u₃, u₁} C] {K : Type u₂} [DivisionRing K] (M : PtwiseFinitePersMod C K) : CategoryTheory.Functor C (ModuleCat K)
```",7,0,T,"A matches target signature exactly; B uses wrong type names (PointwiseFinitePersistenceModule vs PtwiseFinitePersMod, Module vs ModuleCat)",False,False,17,8
1793054,PersistenceSubmodule.coe_top,PersistentDecomp,PersistentDecomp.Prereqs.PersistenceSubmodule,1,171,The statement asserts that the coercion (or canonical map) of the top element in the lattice of persistence submodules equals the top element in the target structure (which is likely the lattice of functions or submodules being coerced to).,"PersistenceSubmodule.coe_top.{u_1, u_2} {C : Type} [CategoryTheory.Category.{u_2, 0} C] {K : Type} [DivisionRing K]
  {M : CategoryTheory.Functor C (ModuleCat K)} : ⇑⊤ = ⊤","```lean
theorem coe_top_PersistenceSubmodule : (⊤ : PersistenceSubmodule R M).carrier = ⊤ := by sorry
```","```lean
theorem PersistenceSubmodule.coe_top {C : Type} [CategoryTheory.Category.{u_1, 0} C] {K : Type} [DivisionRing K] {M : CategoryTheory.Functor C (ModuleCat K)} :
  ⇑(⊤ : PersistenceSubmodule M) = ⊤ := by sorry
```",44,0,T,B matches target signature closely with correct types and name; A uses undefined R and wrong field name carrier.,False,False,21,10
1790932,Dual.DirectSumDecomposition.RefinementMapLE,PersistentDecomp,PersistentDecomp.DirectSumDecompositionDual,3,332,"Looking at this declaration, it states that for a refinement $h$ between two direct sum decompositions $J$ and $I$ of a functor $M$ (where $J$ refines $I$), and for any summand $N$ in the decomposition $J$, the summand $N$ is less than or equal to the image of $N$ under the refinement map from $I$ to $J$ induced by $h$.","Dual.DirectSumDecomposition.RefinementMapLE.{u_1} {C : Type} [CategoryTheory.Category.{0, 0} C] {K : Type}
  [DivisionRing K] {M : CategoryTheory.Functor C (ModuleCat K)} (I J : Dual.DirectSumDecomposition M)
  (h : Dual.DirectSumDecomposition.IsRefinement J I) (N : ↥J) :
  ↑N ≤ ↑(Dual.DirectSumDecomposition.RefinementMap I J h N)","```lean
theorem refinement_summand_le_image {ι κ : Type*} {M : Type*} [AddMonoid M] 
    (J I : ι → Submodule ℤ M) (h : ∀ j, ∃ i, J j ≤ I i) 
    (N : κ → Submodule ℤ M) (hN : ∀ k, N k ∈ Set.range I)
    (hrefine : ∀ k, N k ≤ ⨁ i, I i) (k : κ) :
    N k ≤ (fun j => ⨁ i ∈ (h j).toFinset, I i) (Function.invFun h k) := by sorry
```","```lean
theorem Dual.DirectSumDecomposition.RefinementMapLe {C : Type} [CategoryTheory.Category.{0, 0} C] {K : Type} [DivisionRing K] {M : CategoryTheory.Functor C (ModuleCat K)} (I J : Dual.DirectSumDecomposition M) (h : Dual.DirectSumDecomposition.IsRefinement J I) (N : ↥J) : ↑N ≤ ↑(Dual.DirectSumDecomposition.RefinementMap I J h N) := by sorry
```",57,0,T,B exactly matches target signature; A introduces unrelated type variables and structure.,False,False,68,5
1906549,sSup_eq_top',PersistentDecomp,PersistentDecomp.MaximalDecompExists,0,170,"Looking at this declaration, it states that for a complete distributive lattice α with a bounded order, given a set S and a refinement R of S, the supremum of the decomposition derived from the refinement R equals the supremum of the original set S.","sSup_eq_top'.{u_1} {α : Type u_1} [CompleteLattice α] [DistribLattice α] [BoundedOrder α] {S : Set α}
  (R : refinement S) : sSup (decomposition_of_refinement R) = sSup S","```lean
theorem sup_decomposition_refinement {α : Type*} [CompleteLattice α] [BoundedOrder α] 
    (S : Set α) (R : Refinement S) : 
    ⨆ (x : Decomposition R), (x : α) = ⨆ (x : S), (x : α) := by sorry
```","```lean
theorem sSup_decomposition_of_refinement {α : Type u_1} [CompleteLattice α] [BoundedOrder α] {S : Set α} (R : refinement S) :
  sSup (decomposition_of_refinement R) = sSup S
```",34,0,T,B matches target signature exactly; A uses different notation (⨆ vs sSup) and different style.,False,False,27,4
1783910,refinement.carrier_indep,PersistentDecomp,PersistentDecomp.MaximalDecompExists,1,174,"I need to understand what this Lean 4 declaration is stating about refinements in a complete lattice.

The declaration states: Let α be a type with a complete lattice structure and bounded order, let S be a set in α, and let `self` be a refinement of S. Then for any set D in α, if D is in the carrier of the refinement `self`, then D is supremum-independent (sSupIndep).

In other words, every set in the carrier of a refinement has the property that its elements are supremum-independent, meaning that for any element in D, that element is disjoint from the supremum of all other elements in D.","refinement.carrier_indep.{u_1} {α : Type u_1} [CompleteLattice α] [BoundedOrder α] {S : Set α} (self : refinement S)
  (D : Set α) : D ∈ refinement.carrier self → sSupIndep D","```lean
theorem Refinement.sSupIndep_of_mem {α : Type*} [CompleteLattice α] [BddOrder α] {S : Set α} (self : Refinement S) {D : Set α} (hD : D ∈ self.carrier) : sSup_indep D := by sorry
```","```lean
theorem refinement.sSupIndep_of_mem_carrier {α : Type u_1} [CompleteLattice α] [BoundedOrder α] {S : Set α} (self : refinement S) {D : Set α} (hD : D ∈ self.carrier) : sSupIndep D
```",17,0,T,"B matches target signature exactly: naming, argument order, and type classes. A uses different naming conventions and BddOrder instead of BoundedOrder.",False,False,16,8
1871136,Step2_2,PersistentDecomp,PersistentDecomp.EndoRingIsLocal,0,511,"The theorem states that for a category $C$, a division ring $R$, objects $X$ and $Y$ in $C$, a morphism $\alpha : X \to Y$, a pointwise finite persistence module $M$, and an endomorphism $\eta$ of the underlying functor of $M$, the following diagram commutes: the composition of the functor map of $M$ applied to $\alpha$ followed by the $n$-th power of $\eta$ applied at $Y$ equals the composition of the $n$-th power of $\eta$ applied at $X$ followed by the functor map of $M$ applied to $\alpha$.","Step2_2.{u_1} (C : Type) [CategoryTheory.Category.{u_1, 0} C] (R : Type) [DivisionRing R] (X : C) (n : ℕ) (Y : C)
  (α : X ⟶ Y) (M : PtwiseFinitePersMod C R) (η : EndRing C R (PtwiseFinitePersMod.toFunctor M)) :
  CategoryTheory.CategoryStruct.comp (CategoryTheory.Functor.map (PtwiseFinitePersMod.toFunctor M) α)
      (CategoryTheory.NatTrans.app (η ^ n) Y) =
    CategoryTheory.CategoryStruct.comp (CategoryTheory.NatTrans.app (η ^ n) X)
      (CategoryTheory.Functor.map (PtwiseFinitePersMod.toFunctor M) α)","```lean
theorem persistence_module_naturality {C : Type*} [Category C] (R : Type*) [DivisionRing R]
    {X Y : C} (α : X ⟶ Y) (M : PointwiseFinitePersistenceModule C R)
    (η : M.toFunctor ⟹ M.toFunctor) (n : ℕ) :
    M.toFunctor.map α ≫ (η^n).app Y = (η^n).app X ≫ M.toFunctor.map α := by sorry
```","```lean
theorem Step2_power (C : Type) [CategoryTheory.Category C] (R : Type) [DivisionRing R] (X Y : C) (α : X ⟶ Y)
  (M : PtwiseFinitePersMod C R) (η : EndRing C R (PtwiseFinitePersMod.toFunctor M)) (n : ℕ) :
  CategoryTheory.CategoryStruct.comp (CategoryTheory.Functor.map (PtwiseFinitePersMod.toFunctor M) α)
      (CategoryTheory.NatTrans.app (η ^ n) Y) =
    CategoryTheory.CategoryStruct.comp (CategoryTheory.NatTrans.app (η ^ n) X)
      (CategoryTheory.Functor.map (PtwiseFinitePersMod.toFunctor M) α) := by sorry
```",37,0,T,"B matches target signature exactly; A uses different type names and implicit arguments, changing the formal signature.",False,False,41,16
