"i","informal_sid","formal_sid","informal_ref","informal_paper","formal_decl_name","primary_label","primary_reason","secondary_label","secondary_reason"
"1","97895080-f3e4-45cc-baef-b2c07340a13f","967400da-b97c-4a18-9336-727c6744d0c5","2.2.53","RemyDegenne/brownian-motion","MeasureTheory.MonotoneClass","correct","The formal declaration defines the type of monotone classes on α, which matches the informal statement's definition of a monotone class as a collection of subsets closed under countable monotone unions and intersections.","partial","The formal declaration is just a type constructor signature without the actual definition of what makes a collection a monotone class (the closure properties under countable monotone unions and intersections), so while it represents the right concept, it doesn't formalize the defining properties stated in the informal statement."
"2","555637dc-5852-4f43-b3b7-5ab691d0b4ed","89e6b65f-14e9-4cdc-b296-60ab080dacdd","2.4.2","RemyDegenne/brownian-motion","ProbabilityTheory.ElementaryPredictableSet","correct","The formal declaration defines a type for elementary predictable sets over a filtration, which matches the informal description of sets that are finite unions of either {0} × B for B ∈ F₀ or (s,t] × B for B ∈ Fₛ, with the appropriate order structure (LinearOrder ι, OrderBot ι) corresponding to the time domain T with 0 as the initial time.","partial","The formal declaration defines ElementaryPredictableSet as a type (a predicate on subsets of ι × Ω) parameterized by a filtration, while the informal statement describes the specific structure of such sets (finite unions of {0}×B or (s,t]×B forms); the formal signature is a faithful type-theoretic encoding but doesn't expose the constructive definition that characterizes membership in the set, making it a correct but more abstract formalization than the informal description suggests."
"3","7e0b3557-d993-4123-a061-a346ed410de4","8557d05e-3ea9-4854-bfe2-3ebec21c6f6a","11.1.3","fpvandoorn/carleson","control_approximation_effect","wrong","The informal statement is about bounding the supremum of the difference |S_Nf(x) - S_Nf_0(x)| between partial Fourier sums of two functions f and f_0, while the formal statement bounds the absolute value of the partial Fourier sum of a single function h.","wrong","The informal statement concerns the difference between partial Fourier sums of two functions (f and f₀), but the formal declaration only bounds the partial Fourier sums of a single function h, not their difference."
"4","2d1dea8c-c9e8-435b-8c2c-b77dcf696b26","62986d16-dc70-4ff1-af26-711f1ae88e5c","1.2.2","YaelDillies/toric","CategoryTheory.Equivalence.mapGrp","correct","The formal declaration faithfully captures the informal statement: both assert that an equivalence between cartesian-monoidal categories induces an equivalence between their categories of group objects, with the formal version making explicit the necessary monoidal functor conditions.","correct","The formal declaration faithfully formalizes the informal statement: it takes an equivalence e between two cartesian-monoidal categories C and D (with the requirement that both the functor and inverse are monoidal) and produces an equivalence between Grp(C) and Grp(D), which is exactly what the informal statement claims."
"5","fedf7e28-f84c-444c-9052-0871d5fce7f9","eb068440-45a1-4e6c-b0fc-f713f6b8c6ed","7.6.4","fpvandoorn/carleson","TileStructure.Forest.square_function_count","correct","The formal Lean declaration faithfully captures the informal statement's bound on the average of the squared sum of indicator functions over J, with matching conditions on I (scale equality, disjointness from 𝓘(u₁), and ball intersection with J), and the bound C7_6_4 corresponding to the stated constant 2^{14a+1}(8D^{-s})^κ.","partial","The formal declaration captures the core mathematical content but differs in generality: the informal statement has a universal bound 2^{14a+1}(8D^{-s})^κ independent of s', while the formal version has a bound C7_6_4(a,s') that depends on s', and the formal version uses a different parametrization (defaultD, defaultκ, defaultS) rather than explicit constants D and κ from the informal statement."
"6","2309dca8-d3bb-4821-91cb-80c137b91ea7","b81171e7-62b6-44d7-8fef-6367b05f1606","2.1.21","RemyDegenne/brownian-motion","MeasureTheory.stoppedProcess","correct","The formal declaration matches the informal statement: both define a stopped process that takes a stochastic process indexed by time and a stopping time, returning the process value at time t if t ≤ τ and the process value at τ otherwise, with the formal version using WithTop ι to handle the extended stopping time.","partial","The formal declaration correctly captures the stopped process concept but uses `WithTop ι` for the stopping time τ rather than `ι` directly, which is a generalization that allows for the stopping time to potentially be infinity, adding extra generality beyond the informal statement's simpler formulation."
"7","0875a1b4-1d69-46e0-97e8-0765abe1651e","3a218f0b-2d69-4998-9a73-fd2cc5929dce","1.1.11","RemyDegenne/brownian-motion","ProbabilityTheory.posSemidef_covMatrix","correct","The formal declaration states that the covariance matrix is positive semidefinite, which directly matches the informal statement's claim that the covariance matrix is 'positive semidefinite' and the slogan's description of the quadratic form giving non-negative results.","partial","The formal declaration correctly formalizes that the covariance matrix is positive semidefinite, but it only proves this specific property rather than the full characterization of the covariance matrix given in the informal statement (which defines it via the bilinear form equation and mentions it represents the covariance bilinear form)."
"8","8405ac3e-6192-4a23-93ef-d987e322de17","922ae451-3cd3-41be-8b2e-18084cc8f430","10.2.5","fpvandoorn/carleson","eLpNorm_czRemainder_le","wrong","The formal declaration only proves one specific inequality about the L1 norm of the remainder term g in a special case (when ¬GeneralCase), whereas the informal statement describes the full Calderón-Zygmund decomposition with multiple properties including the decomposition f = g + Σb_j, bounds on g and b_j, support conditions, mean-zero properties, and several integral inequalities.","wrong","The formal declaration only formalizes a single bound on the L1 norm of the remainder term (czRemainder), whereas the informal statement describes a complete Calderon-Zygmund decomposition with multiple properties including the decomposition f = g + Σb_j, bounds on g, properties of each b_j, and bounds on the total measure of balls and sum of b_j integrals."
"9","be925934-ddc5-48be-8669-a4c52eb88e4e","cf835580-27a0-43c9-b6e3-3c814a856617","2.6.2","RemyDegenne/brownian-motion","komlos_norm","partial","The formal declaration uses a complete inner product space over ℝ instead of a Hilbert space, and uses `convexHull NNReal` instead of the informal's `convex(f_n, f_{n+1}, ...)`, which are equivalent but represent different levels of generality in the typeclass hierarchy.","correct","The formal declaration faithfully captures the informal statement: a bounded sequence in a complete inner product space (Hilbert space) admits a subsequence of convex combinations of tails that converges to some limit point in the space."
"10","b7f60492-c501-4d9a-b5d7-849a9cec77d0","0c8f030c-2b5b-44af-8b47-ed890a734d88","1.1","thefundamentaltheor3m/Sphere-Packing-Lean","SpherePacking.balls","wrong","The informal statement defines the sphere packing itself as the union of balls (the set $\mathcal{P}(X)$), while the formal declaration `SpherePacking.balls` extracts the set of center points from an already-defined sphere packing structure, which is the opposite direction of the definition.","wrong","The formal declaration is a function that extracts balls from an already-defined SpherePacking, whereas the informal statement defines what a sphere packing IS (the union of balls given a set X and radius r), so they describe different things entirely."
