body,slogan,label,tag,link
Let $A$ be a ring. Let $\varphi : F \to G$ be a map of adequate functors on $\textit{Alg}_A$. Then $\mathop{\mathrm{Coker}}(\varphi)$ is adequate.,The cokernel of a map of adequate functors on the category of algebras over a ring is adequate.,lemma-cokernel-adequate,06V2,https://stacks.math.columbia.edu/tag/06V2
"Let $R$ be a ring, and let $M$ be a finite $R$-module. There exists a filtration by finite $R$-submodules $$ 0 = M_0 \subset M_1 \subset \ldots \subset M_n = M $$ such that each quotient $M_i/M_{i - 1}$ is isomorphic to $R/I_i$ for some ideal $I_i$ of $R$.",Finite modules have filtrations such that successive quotients are cyclic modules.,lemma-trivial-filter-finite-module,00KZ,https://stacks.math.columbia.edu/tag/00KZ
"Let $I$ be a directed set. Let $(L_i, \lambda_{ij})$, $(M_i, \mu_{ij})$, and $(N_i, \nu_{ij})$ be systems of $R$-modules over $I$. Let $\varphi_i : L_i \to M_i$ and $\psi_i : M_i \to N_i$ be morphisms of systems over $I$. Assume that for all $i \in I$ the sequence of $R$-modules $$ \xymatrix{ L_i \ar[r]^{\varphi_i} & M_i \ar[r]^{\psi_i} & N_i } $$ is a complex with homology $H_i$. Then the $R$-modules $H_i$ form a system over $I$, the sequence of $R$-modules $$ \xymatrix{ \mathop{\mathrm{colim}}\nolimits_i L_i \ar[r]^\varphi & \mathop{\mathrm{colim}}\nolimits_i M_i \ar[r]^\psi & \mathop{\mathrm{colim}}\nolimits_i N_i } $$ is a complex as well, and denoting $H$ its homology we have $$ H = \mathop{\mathrm{colim}}\nolimits_i H_i. $$",Filtered colimits are exact. Directed colimits are exact.,lemma-directed-colimit-exact,00DB,https://stacks.math.columbia.edu/tag/00DB
Let $L\xrightarrow{u} M\xrightarrow{v} N$ be an exact sequence of $R$-modules. Then $S^{-1}L \to S^{-1}M \to S^{-1}N$ is also exact.,Localization is exact.,proposition-localization-exact,00CS,https://stacks.math.columbia.edu/tag/00CS
"Each ideal $I'$ of $S^{-1}A$ takes the form $S^{-1}I$, where one can take $I$ to be the inverse image of $I'$ in $A$.",Ideals in the localization of a ring are localizations of ideals.,lemma-ideal-in-localization,02C9,https://stacks.math.columbia.edu/tag/02C9
Let $R$ be a ring. Let $M_i$ be a directed system of $R$-modules. Then $\mathop{\mathrm{colim}}\nolimits_i \text{T}(M_i) = \text{T}(\mathop{\mathrm{colim}}\nolimits_i M_i)$ and similarly for the symmetric and exterior algebras.,Taking tensor algebras commutes with filtered colimits.,lemma-colimit-tensor-algebra,00DQ,https://stacks.math.columbia.edu/tag/00DQ
"Let $A$ be a ring. Let $I$ be an ideal of $A$. \begin{enumerate} \item If $\gamma$ is a divided power structure\footnote{Here and in the following, $\gamma$ stands short for a sequence of maps $\gamma_1, \gamma_2, \gamma_3, \ldots$ from $I$ to $I$.} on $I$, then $n! \gamma_n(x) = x^n$ for $n \geq 1$, $x \in I$. \end{enumerate} Assume $A$ is torsion free as a $\mathbf{Z}$-module. \begin{enumerate} \item[(2)] A divided power structure on $I$, if it exists, is unique. \item[(3)] If $\gamma_n : I \to I$ are maps then $$ \gamma\text{ is a divided power structure} \Leftrightarrow n! \gamma_n(x) = x^n\ \forall x \in I, n \geq 1. $$ \item[(4)] The ideal $I$ has a divided power structure if and only if there exists a set of generators $x_i$ of $I$ as an ideal such that for all $n \geq 1$ we have $x_i^n \in (n!)I$. \end{enumerate}",1. In an affine scheme if a finite number of points are contained in an open subset then they are contained in a smaller principal open subset. 2. Affine opens are cofinal among the neighborhoods of a given finite set of an affine scheme,lemma-silly,07GM,https://stacks.math.columbia.edu/tag/07GM
Let $R$ be a nonzero ring. Let $n \geq 1$. Let $M$ be an $R$-module generated by $< n$ elements. Then any $R$-module map $f : R^{\oplus n} \to M$ has a nonzero kernel.,A map of finite free modules cannot be injective if the source has rank bigger than the target.,lemma-map-cannot-be-injective,05WI,https://stacks.math.columbia.edu/tag/05WI
"Let $(X, \mathcal{O}_X)$ be a ringed space. Suppose that the support of $\mathcal{O}_X$ is $X$, i.e., all stalks of $\mathcal{O}_X$ are nonzero rings. Let $\mathcal{F}$ be a locally free sheaf of $\mathcal{O}_X$-modules. There exists a locally constant function $$ \text{rank}_\mathcal{F} : X \longrightarrow \{0, 1, 2, \ldots\}\cup\{\infty\} $$ such that for any point $x \in X$ the cardinality of any set $I$ such that $\mathcal{F}$ is isomorphic to $\bigoplus_{i\in I} \mathcal{O}_X$ in a neighbourhood of $x$ is $\text{rank}_\mathcal{F}(x)$.",The rank of a finite free module is well defined.,lemma-rank,01C9,https://stacks.math.columbia.edu/tag/01C9
"Suppose that $\varphi : R \to R'$ is a ring homomorphism. The induced map $$ \mathop{\mathrm{Spec}}(\varphi) : \mathop{\mathrm{Spec}}(R') \longrightarrow \mathop{\mathrm{Spec}}(R), \quad \mathfrak p' \longmapsto \varphi^{-1}(\mathfrak p') $$ is continuous for the Zariski topologies. In fact, for any element $f \in R$ we have $\mathop{\mathrm{Spec}}(\varphi)^{-1}(D(f)) = D(\varphi(f))$.",Functoriality of the spectrum,lemma-spec-functorial,00E2,https://stacks.math.columbia.edu/tag/00E2
