node_id,full_name,project,module,indeg,sig_len,NL,F_signature,F_B,F_T,dep_count,dep_truncated,judge_prefer,judge_notes,vacuous_B,vacuous_T,edit_dist_B,edit_dist_T
1045416,Game.birthday_eq_zero,combinatorial-games,CombinatorialGames.Game.Birthday,1,68,"Looking at this theorem, it states that for a game `x`, the birthday of `x` equals zero if and only if `x` is the zero game. In other words, a game has birthday zero precisely when it is the zero game itself.",Game.birthday_eq_zero.{u_1} {x : Game} : Game.birthday x = 0 ↔ x = 0,"```lean
theorem birthday_eq_zero_iff_eq_zero (x : Game) : x.birthday = 0 ↔ x = 0 := by sorry
```","```lean
theorem Game.birthday_eq_zero {x : Game} : Game.birthday x = 0 ↔ x = 0
```",37,0,T,B matches target signature exactly including namespace and naming; A omits namespace and uses different name,False,False,9,2
1017253,IGame.toDyadic,combinatorial-games,CombinatorialGames.Surreal.Dyadic,33,75,The function `IGame.toDyadic` converts a short numeric impartial game to a dyadic rational number.,IGame.toDyadic.{u_1} (x : IGame) [IGame.Short x] [IGame.Numeric x] : Dyadic,"```lean
def IGame.toDyadic : IGame → ℤ[1/2]
```","```lean
def IGame.toDyadic {x : IGame} (hShort : IGame.Short x) (hNumeric : IGame.Numeric x) : Dyadic := by sorry
```",93,0,tie,A uses explicit arguments vs instances; B omits instances. Both represent same function type semantically.,False,False,9,15
1095251,NatOrdinal.zero_le,combinatorial-games,CombinatorialGames.NatOrdinal.Basic,6,51,The theorem states that zero is less than or equal to any natural ordinal.,NatOrdinal.zero_le.{u_1} (a✝ : NatOrdinal) : 0 ≤ a✝,"```lean
theorem zero_le_of_nat_ordinal (o : Ordinal) : 0 ≤ o := by sorry
```","```lean
theorem zero_le_natOrdinal (a : NatOrdinal) : (0 : NatOrdinal) ≤ a := by sorry
```",14,0,T,A matches the NatOrdinal type and ≤ relation; B uses wrong type (Ordinal instead of NatOrdinal),False,False,8,10
1084817,Surreal.out_eq,combinatorial-games,CombinatorialGames.Surreal.Basic,7,67,"The theorem states that for any surreal number $x$, constructing a surreal number using the `mk` function applied to the output of `out` applied to $x$ yields back the original surreal number $x$. In other words, the `out` function followed by `mk` is the identity on surreal numbers.",Surreal.out_eq.{u_1} (x : Surreal) : Surreal.mk (Surreal.out x) = x,"```lean
theorem mk_out (x : Surreal) : mk (out x) = x
```","```lean
theorem Surreal.mk_out (x : Surreal) : Surreal.mk (Surreal.out x) = x
```",15,0,T,B matches target signature exactly; A omits namespace qualifiers.,False,False,4,2
1077984,SurrealHahnSeries.coeff_trunc_of_lt,combinatorial-games,CombinatorialGames.Surreal.HahnSeries.Basic,6,183,"Looking at this Lean 4 declaration, I need to understand what it says about the `coeff` (coefficient) and `trunc` (truncation) operations on surreal Hahn series.

The theorem states: For a surreal Hahn series `x` and surreal numbers `i` and `j`, if `i < j`, then the coefficient at position `j` of the truncated series `trunc x i` equals the coefficient at position `j` of the original series `x`.

In other words, truncating a surreal Hahn series at position `i` does not affect the coefficients at positions strictly greater than `i`.","SurrealHahnSeries.coeff_trunc_of_lt.{u_1} {x : SurrealHahnSeries} {i j : Surreal} (h : i < j) :
  SurrealHahnSeries.coeff (SurrealHahnSeries.trunc x i) j = SurrealHahnSeries.coeff x j","```lean
theorem coeff_trunc_of_gt {x : SurrealHahnSeries} {i j : Surreal} (hij : i < j) :
    (trunc x i).coeff j = x.coeff j
```","```lean
theorem SurrealHahnSeries.coeff_trunc_of_lt {x : SurrealHahnSeries} {i j : Surreal} (h : i < j) : 
  (x.trunc i).coeff j = x.coeff j := by sorry
```",29,0,T,B matches target signature exactly including theorem name and parameter names; A uses different name and parameter.,False,False,8,11
1054189,Surreal.wlog_mul,combinatorial-games,CombinatorialGames.Surreal.Pow,4,123,"The well-ordering logarithm (wlog) of a product of two nonzero surreal numbers equals the sum of the well-ordering logarithms of the individual factors: if $x$ and $y$ are nonzero surreal numbers, then $\text{wlog}(x \cdot y) = \text{wlog}(x) + \text{wlog}(y)$.","Surreal.wlog_mul.{u_1} {x y : Surreal} (hx : x ≠ 0) (hy : y ≠ 0) :
  Surreal.wlog (x * y) = Surreal.wlog x + Surreal.wlog y","```lean
theorem wlog_mul (x y : Surreal) (hx : x ≠ 0) (hy : y ≠ 0) : wlog (x * y) = wlog x + wlog y
```","```lean
theorem Surreal.wlog_mul (x y : Surreal) (hx : x ≠ 0) (hy : y ≠ 0) : Surreal.wlog (x * y) = Surreal.wlog x + Surreal.wlog y := by sorry
```",48,0,tie,"Both match the target signature semantically; A includes proof placeholder, B omits namespace prefixes.",False,False,7,7
1043767,Nimber.groupClosure_two,combinatorial-games,CombinatorialGames.Nimber.SimplestExtension.Closure,0,79,"The group closure of the nimber 2 (that is, the subgroup generated by the nimber 2 under the nimber addition operation) equals the nimber 2 itself.",Nimber.groupClosure_two.{u_1} : Nimber.groupClosure (Nimber.of 2) = Nimber.of 2,"```lean
theorem nimber_closure_two : Subgroup.closure ({(2 : ℕ) : ZFGame}) = ⊤ := by sorry
```","```lean
theorem nimber_groupClosure_two : Nimber.groupClosure (Nimber.of 2) = Nimber.of 2 := by sorry
```",39,0,T,"A matches target signature exactly; B uses wrong types (Subgroup vs Nimber.groupClosure, ZFGame vs Nimber)",False,False,12,5
1180378,Player.left_mul,combinatorial-games,CombinatorialGames.Game.Player,0,50,"The theorem states that multiplying any player $p$ on the left by the player `Player.left` results in $p$ itself, demonstrating that `Player.left` acts as a left identity element under the multiplication operation on players.",Player.left_mul (p : Player) : Player.left * p = p,"```lean
theorem Player.left_mul (p : Player) : Player.left * p = p := by sorry
```","```lean
theorem Player.left_mul (p : Player) : Player.left * p = p := by sorry
```",11,0,tie,Both candidates are identical and match the target signature exactly.,False,False,4,4
1038723,IGame.Numeric.mul_congr_left,combinatorial-games,CombinatorialGames.Surreal.Multiplication,8,143,"The theorem states that multiplication of numeric impartial games is well-defined with respect to game equivalence on the left: if two numeric games x₁ and x₂ are equivalent, then for any numeric game y, the products x₁ * y and x₂ * y are also equivalent.","IGame.Numeric.mul_congr_left.{u_1} {x₁ x₂ y : IGame} [IGame.Numeric x₁] [IGame.Numeric x₂] [IGame.Numeric y]
  (he : x₁ ≈ x₂) : x₁ * y ≈ x₂ * y","```lean
theorem mul_congr_left {x₁ x₂ y : Game} (hx : x₁ ≈ x₂) (hx₁ : x₁.Numeric) (hx₂ : x₂.Numeric) (hy : y.Numeric) : x₁ * y ≈ x₂ * y
```","```lean
theorem IGame.mul_left_congr {x₁ x₂ y : IGame} [IGame.Numeric x₁] [IGame.Numeric x₂] [IGame.Numeric y]
    (h : x₁ ≈ x₂) : x₁ * y ≈ x₂ * y := by sorry
```",278,11,T,B uses correct type IGame and typeclass instances matching target; A uses wrong type Game and explicit hypotheses,False,False,16,6
1196703,Nimber.oeval_inj,combinatorial-games,CombinatorialGames.Nimber.SimplestExtension.Polynomial,0,197,"The theorem states that for nimbers \(x\), polynomials \(p\) and \(q\) over nimbers where all coefficients of \(p\) are less than \(x\) and all coefficients of \(q\) are less than \(x\), the ordinal evaluation of \(p\) at \(x\) equals the ordinal evaluation of \(q\) at \(x\) if and only if \(p\) equals \(q\).","Nimber.oeval_inj.{u_1} {x : Nimber} {p q : Polynomial Nimber} (hpk : ∀ (k : ℕ), Polynomial.coeff p k < x)
  (hqk : ∀ (k : ℕ), Polynomial.coeff q k < x) : Nimber.oeval x p = Nimber.oeval x q ↔ p = q","```lean
theorem nimber_poly_eval_eq_iff {x : Nimber} {p q : Polynomial Nimber} 
    (hp : ∀ n, p.coeff n < x) (hq : ∀ n, q.coeff n < x) : 
    p.eval x = q.eval x ↔ p = q := by sorry
```","```lean
theorem Nimber.oeval_eq_oeval_iff {x : Nimber} {p q : Polynomial Nimber} 
    (hpk : ∀ (k : ℕ), Polynomial.coeff p k < x)
    (hqk : ∀ (k : ℕ), Polynomial.coeff q k < x) : 
    Nimber.oeval x p = Nimber.oeval x q ↔ p = q := by sorry
```",45,0,T,A uses Nimber.oeval matching target; B uses standard eval instead of the specialized Nimber.oeval function,False,False,23,5
