node_id,full_name,F_signature,NL,F_T,dep_count,F_Tnames,dep_names_count,judge_T_vs_Tnames,judge_T_vs_Tnames_notes,vacuous_Tnames,edit_dist_Tnames,F_Trandom,rand_count,judge_T_vs_Trandom,judge_T_vs_Trandom_notes,vacuous_Trandom,edit_dist_Trandom
727938,GrowthInGroups.Lecture3.lemma_3_7,"GrowthInGroups.Lecture3.lemma_3_7.{u_1} {G : Type u_1} [Group G] {A B : Set G} (hA : A⁻¹ = A) (hB : B⁻¹ = B) (x y : G) :
  ∃ z, x • A ∩ y • B ⊆ z • (A ^ 2 ∩ B ^ 2)","Let $G$ be a group and let $A$ and $B$ be symmetric subsets of $G$ (i.e., $A^{-1} = A$ and $B^{-1} = B$). For any elements $x$ and $y$ in $G$, there exists an element $z$ in $G$ such that the intersection of the left translate $xA$ and the left translate $yB$ is contained in the left translate $z(A^2 \cap B^2)$, where $A^2$ and $B^2$ denote the product sets $A \cdot A$ and $B \cdot B$ respectively.","```lean
theorem exists_translate_inter_translate_subset_translate_sq_inter_sq {G : Type u} [Group G] (A B : Set G) (x y : G) :
  ∃ z : G, x • A ∩ y • B ⊆ z • (A ^ 2 ∩ B ^ 2) := by sorry
```",71,"```lean
theorem exists_smul_inter_smul_subset_smul_mul_inter_mul {G : Type*} [Group G] {A B : Set G}
    (hA : A⁻¹ = A) (hB : B⁻¹ = B) (x y : G) :
    ∃ z : G, x • A ∩ y • B ⊆ z • (A ^ 2 ∩ B ^ 2) := by sorry
```",71,Tnames,A includes the hypotheses hA and hB matching the target; B omits them entirely making it potentially false without those conditions.,False,10,"```lean
theorem exists_translate_intersection_subset {G : Type*} [Group G] (A B : Set G) (hA : A⁻¹ = A) (hB : B⁻¹ = B) (x y : G) :
    ∃ z : G, x • A ∩ y • B ⊆ z • (A ^ 2 ∩ B ^ 2) := by sorry
```",8,Trandom,A includes symmetry hypotheses hA and hB which match the target; B omits them entirely.,False,12
677770,FirstOrder.Language.Theory.not_isStable,"FirstOrder.Language.Theory.not_isStable.{u_1, u_2} {L : FirstOrder.Language} {T : FirstOrder.Language.Theory L} :
  ¬FirstOrder.Language.Theory.IsStable T ↔ FirstOrder.Language.Theory.IsOrderProp T",A first-order theory $T$ is not stable if and only if $T$ has the order property.,"```lean
theorem FirstOrder.Language.Theory.not_isStable {L : FirstOrder.Language} (T : FirstOrder.Language.Theory L) :
  ¬T.IsStable ↔ T.IsOrderProp := by sorry
```",34,"```lean
theorem FirstOrder.Language.Theory.not_isStable_iff_isOrderProp {L : FirstOrder.Language} (T : L.Theory) : ¬T.IsStable ↔ T.IsOrderProp
```",34,T,"Both match the target signature semantically. A uses explicit parameter, B uses dot notation. Both are non-vacuous biconditionals about stability and order properties.",False,9,"```lean
FirstOrder.Language.Theory.not_isStable : FirstOrder.Language.Theory.not_isStable.{u_1, u_2} {L : FirstOrder.Language} {T : FirstOrder.Language.Theory L} :
  ¬FirstOrder.Language.Theory.IsStable T ↔ FirstOrder.Language.Theory.IsOrderProp T
```",14,T,A is valid Lean 4 syntax with implicit arguments matching target. B has malformed syntax (duplicate name).,False,2
847498,not_isAddStable,not_isAddStable.{u_1} {G : Type u_1} [AddGroup G] {A : Set G} : ¬IsAddStable A ↔ IsAddOrderProp A,A subset $A$ of an additive group $G$ fails to be additively stable if and only if $A$ has the additive order property.,"```lean
theorem not_isAddStable_iff_isAddOrderProp {G : Type u_1} [AddGroup G] (A : Set G) : ¬IsAddStable A ↔ IsAddOrderProp A
```",17,"```lean
theorem isAddStable_iff_not_isAddOrderProp {G : Type*} [AddGroup G] (A : Set G) :
  ¬IsAddStable A ↔ IsAddOrderProp A := by sorry
```",17,tie,Both candidates match the target signature semantically with identical statements; only naming differs.,False,9,"```lean
not_isAddStable : not_isAddStable.{u_1} {G : Type u_1} [AddGroup G] {A : Set G} : ¬IsAddStable A ↔ IsAddOrderProp A
```",17,T,B makes A explicit; A wrongly includes 'not_isAddStable :' duplication and keeps A implicit unlike standard Lean theorem style.,False,2
748089,Finset.mem_certificator,"Finset.mem_certificator.{u_1} {α : Type u_1} [BooleanAlgebra α] {s t : Finset α} {a : α} :
  a ∈ Finset.certificator s t ↔
    ∃ x y, IsCompl x y ∧ (∀ ⦃b : α⦄, a ⊓ x = b ⊓ x → b ∈ s) ∧ ∀ ⦃b : α⦄, a ⊓ y = b ⊓ y → b ∈ t","The theorem states that an element `a` belongs to the certificator of two finsets `s` and `t` (in a Boolean algebra) if and only if there exist complementary elements `x` and `y` such that: (1) any element `b` whose meet with `x` equals `a`'s meet with `x` must be in `s`, and (2) any element `b` whose meet with `y` equals `a`'s meet with `y` must be in `t`.","```lean
theorem Finset.mem_certificator {α : Type*} [BooleanAlgebra α] {s t : Finset α} {a : α} :
  a ∈ Finset.certificator s t ↔ ∃ x y, IsCompl x y ∧ (∀ b, a ⊓ x = b ⊓ x → b ∈ s) ∧ (∀ b, a ⊓ y = b ⊓ y → b ∈ t)
```",50,"```lean
theorem Finset.mem_certificator {α : Type*} [BooleanAlgebra α] {s t : Finset α} {a : α} :
  a ∈ s.certificator t ↔ ∃ x y : α, IsCompl x y ∧
    (∀ b : α, a ⊓ x = b ⊓ x → b ∈ s) ∧
    (∀ b : α, a ⊓ y = b ⊓ y → b ∈ t) := by sorry
```",50,T,B matches target exactly with ⦃b : α⦄ implicit binders; A uses explicit (b : α) which differs semantically,False,18,"```lean
theorem Finset.mem_certificator {α : Type*} [BooleanAlgebra α] {s t : Finset α} {a : α} :
  a ∈ Finset.certificator s t ↔ ∃ x y : α, x ⊔ y = ⊤ ∧ x ⊓ y = ⊥ ∧
    (∀ b : α, b ⊓ x = a ⊓ x → b ∈ s) ∧ (∀ b : α, b ⊓ y = a ⊓ y → b ∈ t) := by sorry
```",9,T,"B matches target exactly: uses IsCompl, correct quantification, and a⊓x=b⊓x order. A expands IsCompl but reverses to b⊓x=a⊓x.",False,29
735182,GraphTheory.ES1.q6,"GraphTheory.ES1.q6.{u_2} {α : Type u_2} [Fintype α] (s : Multiset ℕ) (hs : Multiset.card s = Fintype.card α)
  (h₀ : 0 ∉ s) : Multiset.sum s = 2 * Fintype.card α - 2 ↔ ∃ G x, GraphTheory.ES1.degreeSequence G = s","Looking at this Lean 4 declaration, here is the mathematical statement in plain English:

For a finite type α and a multiset s of natural numbers with the same cardinality as α and containing no zeros, the sum of s equals 2 times the cardinality of α minus 2 if and only if there exists a graph G on vertex type α and an element x such that the degree sequence of G equals s.","```lean
theorem degreeSequence_sum_eq_iff {α : Type*} [Fintype α] (s : Multiset ℕ) 
    (h_card : Multiset.card s = Fintype.card α) 
    (h_noZ : ∀ n ∈ s, n ≠ 0) :
    Multiset.sum s = 2 * Fintype.card α - 2 ↔ 
    ∃ (G : SimpleGraph α) (x : α), GraphTheory.ES1.degreeSequence G = s := by sorry
```",49,"```lean
theorem degreeSequenceCharacterization {α : Type*} [Fintype α] (s : Multiset ℕ) 
  (hcard : Multiset.card s = Fintype.card α) (hnotzero : 0 ∉ s) :
  Multiset.sum s = 2 * Fintype.card α - 2 ↔ 
  ∃ (G : SimpleGraph α), GraphTheory.ES1.degreeSequence G = s := by sorry
```",49,T,"B matches target signature exactly including existential witness x, while A omits it. Hypothesis h_noZ is semantically equivalent to h₀.",False,13,"```lean
GraphTheory.ES1.q11 : ∀ {α : Type u_2} [inst : Fintype α] (s : Multiset ℕ),
  s.card = Fintype.card α →
  (∀ x ∈ s, x ≠ 0) →
  (s.sum = 2 * Fintype.card α - 2 ↔ ∃ (G : SimpleGraph α) (x : α), GraphTheory.ES1.degreeSequence G = s)
```",19,Trandom,"Both match the target semantically. A uses `0 ∉ s` form while B uses `∀ n ∈ s, n ≠ 0` form; these are equivalent. A is exact declaration, B has sorry.",False,30
873737,GrowthInGroups.Lecture1.theorem_1_2,"GrowthInGroups.Lecture1.theorem_1_2.{u_1} {G : Type u_1} [Group G] [DecidableEq G] [Group.FG G] :
  GrowthInGroups.Lecture1.HasPolynomialGrowth G ↔ Group.IsVirtuallyNilpotent G","Claude 3.5 Sonnet (2025-01-22)

<thinking>
Let me parse this Lean 4 declaration carefully.

The theorem is named `GrowthInGroups.Lecture1.theorem_1_2`.

The statement is:
```lean
{G : Type u_1} [Group G] [DecidableEq G] [Group.FG G] :
  GrowthInGroups.Lecture1.HasPolynomialGrowth G ↔ Group.IsVirtuallyNilpotent G
```

This says:
- We have a type `G` with a group structure
- `G` has decidable equality
- `G` is finitely generated (that's what `Group.FG G` means)
- The theorem states that `G` has polynomial growth if and only if `G` is virtually nilpotent

This is actually a famous theorem in geometric group theory - Gromov's theorem on groups of polynomial growth!

Let me write this in clear mathematical English without mentioning Lean syntax.
</thinking>

A finitely generated group has polynomial growth if and only if it is virtually nilpotent (meaning it contains a nilpotent subgroup of finite index).","```lean
theorem GrowthInGroups.Lecture1.theorem_1_2 {G : Type u_1} [Group G] [DecidableEq G] [Group.FG G] :
  GrowthInGroups.Lecture1.HasPolynomialGrowth G ↔ Group.IsVirtuallyNilpotent G := by sorry
```",10,"```lean
theorem GrowthInGroups.Lecture1.theorem_1_2 {G : Type u_1} [Group G] [DecidableEq G] [Group.FG G] :
  GrowthInGroups.Lecture1.HasPolynomialGrowth G ↔ Group.IsVirtuallyNilpotent G := by sorry
```",10,tie,Both candidates are identical and match the target signature exactly.,False,5,"```lean
theorem GrowthInGroups.Lecture1.theorem_1_2 {G : Type u_1} [Group G] [DecidableEq G] [Group.FG G] :
  GrowthInGroups.Lecture1.HasPolynomialGrowth G ↔ Group.IsVirtuallyNilpotent G := by sorry
```",10,tie,Both candidates are syntactically identical to the target signature with sorry proof.,False,5
702050,not_isStableRelWith,"not_isStableRelWith.{u_1, u_2} {α : Type u_1} {β : Type u_2} {n : ℕ} {r : α → β → Prop} :
  ¬IsStableRelWith n r ↔ IsOrderPropRelWith n r",The relation `r` between types `α` and `β` is not stable at level `n` if and only if `r` is an order-propagating relation at level `n`.,"```lean
theorem not_isStableRelWith_iff_isOrderPropRelWith {α : Type u_1} {β : Type u_2} {n : ℕ} {r : α → β → Prop} : ¬IsStableRelWith n r ↔ IsOrderPropRelWith n r := by sorry
```",20,"```lean
theorem not_isStableRelWith_iff_isOrderPropRelWith {α β : Type*} (r : α → β → Prop) (n : Nat) :
  ¬IsStableRelWith r n ↔ IsOrderPropRelWith r n := by sorry
```",20,T,"B matches target signature exactly: argument order (n r), explicit universes, and implicit binders. A has wrong argument order (r n) and uses Type*.",False,22,"```lean
theorem not_isStableRelWith {α : Type u_1} {β : Type u_2} {n : ℕ} {r : α → β → Prop} :
  ¬IsStableRelWith n r ↔ IsOrderPropRelWith n r := by sorry
```",10,Trandom,Both match target signature exactly; B uses correct name without redundant '_iff_' suffix.,False,5
873252,not_isAddStableWith,"not_isAddStableWith.{u_1} {G : Type u_1} [AddGroup G] {n : ℕ} {A : Set G} :
  ¬IsAddStableWith n A ↔ IsAddOrderPropWith n A",The negation of the property that a set $A$ in an additive group $G$ is add-stable with parameter $n$ is equivalent to the property that $A$ satisfies the add-order property with parameter $n$.,"```lean
theorem not_isAddStableWith {G : Type u_1} [AddGroup G] (n : ℕ) (A : Set G) :
  ¬IsAddStableWith n A ↔ IsAddOrderPropWith n A
```",18,"```lean
theorem not_isAddStableWith_iff_isAddOrderPropWith {G : Type*} [AddGroup G] {A : Set G} {n : ℕ} :
  ¬IsAddStableWith A n ↔ IsAddOrderPropWith A n := by sorry
```",18,T,Target has implicit n and A arguments. Candidate B matches this pattern exactly while A swaps argument order and uses different implicitness.,False,16,"```lean
not_isAddStableWith : not_isAddStableWith.{u_1} {G : Type u_1} [AddGroup G] {n : ℕ} {A : Set G} :
  ¬IsAddStableWith n A ↔ IsAddOrderPropWith n A
```",18,T,"Candidate A matches the target signature correctly with implicit {n : ℕ} {A : Set G}, while B has malformed syntax with duplicate declaration.",False,2
701250,IsStableRelWith,"IsStableRelWith.{u_1, u_2} {α : Type u_1} {β : Type u_2} (n : ℕ) (r : α → β → Prop) : Prop","A relation `r : α → β → Prop` is stable relative to a natural number `n` if for any element `a : α` and any element `b : β`, the proposition `r a b` holds if and only if `r a b` remains true after applying the relation `n` times in a certain iterative sense.

However, more precisely, `IsStableRelWith n r` asserts that the relation `r` satisfies a stability condition with respect to the parameter `n`, where the specific meaning depends on the definition's implementation details in the formalization.","```lean
def IsStableRelWith (n : ℕ) (r : α → β → Prop) : Prop := by sorry
```",4,"```lean
def IsStableRelWith (n : ℕ) (r : α → β → Prop) : Prop := sorry
```",4,tie,Both definitions are syntactically equivalent; `by sorry` and `sorry` both produce the same term. Neither is vacuous as both are incomplete definitions.,False,12,"```lean
def IsStableRelWith {α : Type u_1} {β : Type u_2} (n : ℕ) (r : α → β → Prop) : Prop := by sorry
```",4,tie,Both match target signature; implicit args in A via section/variable or B explicit are equivalent.,False,5
838771,FinsetFamily.«term_□_»,FinsetFamily.«term_□_» : Lean.TrailingParserDescr,"This defines a notation `□` in the `FinsetFamily` namespace, which is a trailing parser descriptor used for syntactic sugar in expressions involving finset families.","```lean
namespace FinsetFamily

notation:max ""□"" => Lean.ParserDescr.trailingNode (Lean.Name.mkStr2 ""FinsetFamily"" ""box"") 1024 1024 (Lean.ParserDescr.symbol ""□"")

end FinsetFamily
```",9,"```lean
syntax:max ""□"" : term
```",9,T,A returns TrailingParserDescr matching target signature; B returns Syntax.stx violating type constraint.,False,3,"```lean
scoped notation:max ""□"" => FinsetFamily.box
```",9,Trandom,A uses scoped notation which is the standard way to define notation in Lean 4. B manually constructs parser descriptors which is unusual and likely incorrect.,False,5
