"rank","similarity","direction","is_blueprint_gold","q_sid","q_formality","q_kind","q_source","q_paper_title","q_paper_external_id","q_paper_url","q_decl_name","q_ref","q_lean_annotation","q_slogan","c_sid","c_formality","c_kind","c_source","c_paper_title","c_paper_external_id","c_paper_url","c_decl_name","c_ref","c_lean_annotation","c_slogan"
"1","0.9882384538650513","i2f","True","81f6d543-ecd1-463f-9949-9edb2aae5182","informal","lemma","Lean Community","Fermat's Last Theorem","ImperialCollegeLondon/FLT","https://ImperialCollegeLondon.github.io/FLT/blueprint.pdf","","5.33","Hurwitz.quot_rem","For any two Hurwitz quaternions a and b, where b is not zero, there are quaternions q and r such that a equals q times b plus r, and the norm of r is less than the norm of b.","e0de42df-ed6d-40c5-9a06-711036f8cf78","formal","theorem","Lean Repo","FLT","FLT","","Hurwitz.quot_rem","","","For any two elements a and b in the Hurwitz quaternions, where b is not zero, there exist elements q and r such that a equals q times b plus r, and the norm of r is strictly less than the norm of b."
"1","0.9766650795936584","i2f","False","37cd7f44-7059-4f71-8732-f2e8b60e4283","informal","lemma","Lean Community","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","https://teorth.github.io/pfr/blueprint.pdf","","10.3","BSG","If a finite set A in an abelian group has high additive energy relative to its size, then there exists a large subset A' of A such that the difference set A'−A' is small in size compared to A, with explicit bounds depending on the energy parameter K.","98da1e01-8014-481a-ac69-ed377d258b6c","formal","theorem","Lean Repo","add-combi","add-combi","","BSG_self'","","","If a finite set A in an abelian group has high additive energy relative to its size, then A contains a large subset A' such that the set of differences A' - A' is not much larger than A' itself. The size of A' and the bound on its difference set are controlled by explicit constants depending on the energy parameter K."
"1","0.9749799966812134","i2f","True","b3205137-2cfa-4977-86eb-fa3b3ea1aa99","informal","lemma","Lean Community","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","https://teorth.github.io/pfr/blueprint.pdf","","12.14","multiDist_indep","If multiple random variables are independent, the multidistance measure equals the entropy of their sum minus the average of their individual entropies.","a9714080-8239-4f82-8d5d-a69e85118f9f","formal","theorem","Lean Repo","pfr","pfr","","multiDist_indep","","","If a list of random variables are independent, the multi-distance measure equals the entropy of their sum minus the average of their individual entropies."
"1","0.9740515947341919","i2f","False","2fcd5dc3-f048-482a-97ce-9899a4c9b6dc","informal","lemma","Lean Community","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","https://teorth.github.io/pfr/blueprint.pdf","","2.17","ProbabilityTheory.mutualInfo_nonneg","The mutual information between two random variables X and Y is always greater than or equal to zero. This means that knowing one variable never reduces the expected information about the other. Mutual information being nonnegative reflects that it measures shared information, which cannot be negative.","930bd448-678b-4fd5-abe3-9d24f80b97d2","formal","theorem","Lean Repo","pfr","pfr","","ProbabilityTheory.measureMutualInfo_nonneg","","","The mutual information between two random variables is always greater than or equal to zero. This means that the amount of shared information between the variables cannot be negative, reflecting that knowing one variable never increases uncertainty about the other."
"1","0.9733104705810547","i2f","True","f6dd0825-624c-4da7-9b3d-67d2fcaff7d2","informal","lemma","Lean Community","Brownian motion project","RemyDegenne/brownian-motion","https://RemyDegenne.github.io/brownian-motion/blueprint.pdf","","2.1.17","MeasureTheory.Submartingale.monotone_convex_comp","If X is a submartingale and phi is a convex, continuous, increasing function such that phi applied to each X_t is integrable, then the composition phi(X) is also a submartingale.","9f1c46bf-1e92-4a64-8962-5e429ec03dc0","formal","theorem","Lean Repo","brownian-motion","brownian-motion","","MeasureTheory.Submartingale.monotone_convex_comp","","","If X is a submartingale and φ is a continuous, convex, and increasing function such that φ(X_t) is integrable for each time t, then the composition φ(X_t) is also a submartingale with respect to the same filtration."
"1","0.9712660908699036","i2f","True","6bf481ff-dd0d-4461-a9e9-cc29acf046f1","informal","lemma","Lean Community","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","https://teorth.github.io/pfr/blueprint.pdf","","12.2","ProbabilityTheory.mutual_comp_le","For any two random variables X and Y, and any functions f and g applied to X, the mutual information between f(X) and Y is less than or equal to the mutual information between X and Y. This means processing X can't increase its information about Y.","d4156bed-5abb-46ed-b72a-835d3ac7bf8e","formal","theorem","Lean Repo","pfr","pfr","","ProbabilityTheory.mutual_comp_le","","","If X and Y are random variables and f is any function, then the mutual information between f(X) and Y is less than or equal to the mutual information between X and Y. This means that processing X through a function cannot increase how much information it shares with Y."
"1","0.9687130451202393","i2f","False","a9b0dd44-62f7-4780-95e8-fe09564c0bed","informal","lemma","Lean Community","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","https://teorth.github.io/pfr/blueprint.pdf","","2.6","ProbabilityTheory.IsUniform.entropy_eq","The entropy of a random variable that takes values in a set S is equal to the logarithm of the size of S if and only if the variable is uniformly distributed over S.","f239382b-6eb6-4316-b8e6-b8667921c089","formal","theorem","Lean Repo","pfr","pfr","","ProbabilityTheory.entropy_eq_log_card","","","The entropy of a random variable X that takes values in a finite set S equals the logarithm of the size of S if and only if X is uniformly distributed, meaning each value in S has an equal probability of occurring."
"1","0.9636386036872864","i2f","False","c2b687bb-0191-4490-af8f-25c3e8fc1f9b","informal","definition","Lean Community","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","https://teorth.github.io/pfr/blueprint.pdf","","3.8","rdist_def","The Ruzsa distance between two random variables X and Y that take values in a group G is calculated using the entropy of independent copies of X and Y, specifically as the entropy of their difference minus half the entropy of each variable. This measures how spread out the difference of the variables is, adjusted for their individual randomness. I…","d70ce8d8-227a-4dd0-b8d3-5812487cfb87","formal","definition","Lean Repo","pfr","pfr","","rdist","","","The Ruzsa distance between two random variables X and Y is a real number calculated using the entropies of X, Y, and the difference of independent copies of X and Y. It is defined as the entropy of X' minus Y' minus half the entropy of X' minus half the entropy of Y', where X' and Y' are independent versions of X and Y. This measures a kind of div…"
"1","0.9632808566093445","i2f","True","1aa3400a-baa7-4481-8156-a9dffc6618c9","informal","theorem","Lean Community","Brownian motion project","RemyDegenne/brownian-motion","https://RemyDegenne.github.io/brownian-motion/blueprint.pdf","","2.2.52","MeasurableSet.nullMeasurableSet_fst","The projection of a measurable set in the product of two measurable spaces onto the first space is universally measurable, provided the second space is standard Borel.","3fe69b04-a0c3-4ebd-a240-1fdbedf520dc","formal","theorem","Lean Repo","brownian-motion","brownian-motion","","MeasurableSet.nullMeasurableSet_fst","","","The projection of a measurable set in a product space onto the first component is universally measurable, meaning it is null-measurable with respect to any finite measure on the first space. This holds when the second space is a standard Borel space."
"1","0.9608438014984131","i2f","True","f754a74d-b3d6-4cb9-b64c-7d043e3074b5","informal","proposition","Lean Community","Toric varieties","YaelDillies/toric","https://YaelDillies.github.io/toric/blueprint.pdf","","4.1.10","essImage_hopfSpec","The functor Spec maps Hopf algebras over a ring R to affine group schemes over the spectrum of R, and every affine group scheme over Spec R arises in this way up to isomorphism.","3166a4a0-ef09-47b7-ad1c-9c9ecfa8f155","formal","theorem","Lean Repo","toric","toric","","essImage_hopfSpec","","","The functor Spec sends commutative Hopf algebras over a ring R to affine group schemes over the spectrum of R, and every affine group scheme over Spec R arises this way. A group scheme over Spec R is in the essential image of this functor if and only if it is affine."
"1","0.958445131778717","i2f","False","f0a1b995-4ab4-41b8-a880-cc5004e3de88","informal","theorem","Lean Community","Carleson operators on doubling metric measure spaces","fpvandoorn/carleson","https://florisvandoorn.com/carleson/blueprint.pdf","","1.0.1","classical_carleson","For a continuous periodic function, the partial sums of its Fourier series converge to the function value at almost every point.","96157b8e-b67d-4c04-b810-3a9f34fe2885","formal","theorem","Lean Repo","carleson","carleson","","classical_carleson_check","","","For any continuous, periodic function on the real line, the partial Fourier sums converge to the function's value at almost every point. This means that as more terms are added to the Fourier series, the sum gets arbitrarily close to the function's value everywhere except possibly on a set of measure zero."
"1","0.957667350769043","i2f","False","ddb66b80-b2ed-4d89-8485-737c85c9bf4e","informal","corollary","Lean Community","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","https://teorth.github.io/pfr/blueprint.pdf","","5.3","sum_of_rdist_eq","For four independent random variables taking values in a group, the sum of the Ruzsa distance between their pairwise sums, the conditional Ruzsa distance given those sums, and a conditional mutual information term equals the sum of the Ruzsa distances between the original pairs.","929cedf0-9a8b-4e15-863c-6c7d1ff7f80f","formal","theorem","Lean Repo","pfr","pfr","","sum_of_rdist_eq_char_2","","","For four independent random variables taking values in a finite abelian group G with a probability measure, the sum of the Ruzsa distances between the first and second and between the third and fourth equals the sum of three terms: the Ruzsa distance between their pairwise sums, the Ruzsa distance between the conditional distributions given those …"
"1","0.9570403099060059","i2f","True","e7075b31-20b4-4586-b8ae-9636ad5a27e3","informal","lemma","Lean Community","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","https://teorth.github.io/pfr/blueprint.pdf","","3.11","ProbabilityTheory.IndepFun.rdist_eq","If two random variables X and Y are independent and take values in a group G, the Ruzsa distance between them is defined as the entropy of their difference minus half the entropy of X and half the entropy of Y.","2c2c8374-17b0-4288-bb2b-cb78dd3d1e78","formal","theorem","Lean Repo","pfr","pfr","","ProbabilityTheory.IndepFun.rdist_eq","","","If two random variables X and Y with values in a countable abelian group G are independent, then the Ruzsa distance between them equals the entropy of their difference minus half the entropy of X and half the entropy of Y."
"1","0.9561742544174194","i2f","True","05714221-49bb-4172-a7d5-b2b4f638e246","informal","corollary","Lean Community","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","https://teorth.github.io/pfr/blueprint.pdf","","3.5","ProbabilityTheory.max_entropy_le_entropy_add, ProbabilityTheory.max_entropy_le_entropy_sub","If two independent random variables take values in a group, then the entropy of their sum or difference is at least as large as the entropy of either variable alone.","25eec1bf-dd07-4e34-8713-a84892b52f4c","formal","theorem","Lean Repo","pfr","pfr","","ProbabilityTheory.max_entropy_le_entropy_add","","","If two independent random variables take values in a countable additive group, the entropy of their sum is at least as large as the maximum of their individual entropies."
"1","0.9552761912345886","i2f","True","4c9156fd-6567-46a0-993b-708ac0722d52","informal","definition","Lean Community","Toric varieties","YaelDillies/toric","https://YaelDillies.github.io/toric/blueprint.pdf","","5.1.1","AlgebraicGeometry.ToricVariety","A toric variety over a field k is a scheme X with an action by a torus T, where T is embedded as a dense open subset of X in a way that respects the group action. The torus acts on itself by multiplication, and this action extends to the whole space X. This structure links the geometry of X to the algebraic structure of the torus.","35d92dc2-7179-4c8d-aef4-14c6c9f71a37","formal","class","Lean Repo","toric","toric","","AlgebraicGeometry.ToricVariety","","","A toric variety over a field k is a scheme X that contains a torus T as a dense open subset, where the action of T on itself extends to an action on all of X. The torus T is a group scheme that becomes isomorphic to a product of multiplicative groups after base change to a separable closure of k. The structure involves a scheme X over the spectrum…"
"1","0.954575777053833","i2f","False","5cd82bfa-19c8-44de-a7c3-b12cd300302d","informal","lemma","Lean Community","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","https://teorth.github.io/pfr/blueprint.pdf","","3.26","condRuzsaDist_diff_ofsum_le","The difference in conditional Ruzsa distance between a variable X and the sum Y + Z, given the sum Y + Z + Z', compared to the distance between X and Y, is bounded above by half the sum of the entropies of Y + Z + Z' and Y + Z minus the entropies of Y and Z'. This result compares how adding independent random variables affects the distance measure…","d0cb974d-a24b-4517-b328-6f8c4a4cb8d5","formal","theorem","Lean Repo","pfr","pfr","","condRuzsaDist_diff_le'","","","For random variables X, Y, and Z taking values in a countable abelian group with certain measurability conditions, where Y and Z are independent, the difference in conditional Ruzsa distances between X and the sum Y+Z versus X and Y alone is bounded above by half the Ruzsa distance between Y and Z plus a term involving the entropies of Y and Z. Sp…"
"1","0.9541765451431274","i2f","True","9d30b74d-11fd-4ba7-8dc6-982ee2785306","informal","lemma","Lean Community","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","https://teorth.github.io/pfr/blueprint.pdf","","3.25","condRuzsaDist_diff_le, condRuzsaDist_diff_le', condRuzsaDist_diff_le'', condRuzsaDist_diff_le'''","For random variables X, Y, Z in an abelian group of characteristic 2, with Y and Z independent, the difference in Ruzsa distances involving X and the sum Y+Z is bounded above by an expression involving the entropies of Y and Z and their Ruzsa distance. Specifically, the increase in distance when replacing Y with Y+Z or conditioning on Y+Z is contr…","a3305571-5771-4fb6-bbae-0bb6ad37cc68","formal","theorem","Lean Repo","pfr","pfr","","condRuzsaDist_diff_le","","","If X, Y, Z are random variables in an abelian group, with Y and Z independent, then the difference in Ruzsa distance between X and Y+Z versus X and Y is bounded by half the difference in entropy of Y+Z and Y, which can also be expressed in terms of the Ruzsa distance between Y and Z and the entropies of Y and Z."
"1","0.9533624649047852","i2f","True","201d7cb7-e957-40d1-984c-b3a8160116b8","informal","corollary","Lean Community","Sphere Packing in Dimension 8","thefundamentaltheor3m/Sphere-Packing-Lean","https://thefundamentaltheor3m.github.io/Sphere-Packing-Lean/blueprint.pdf","","1.17","SpherePacking.MainTheorem","The maximum possible density of sphere packings in 8-dimensional space is achieved by the E8 lattice packing.","d3f5ac42-d4ce-496c-ac87-4f6b40a5fb67","formal","theorem","Lean Repo","Sphere-Packing-Lean","Sphere-Packing-Lean","","SpherePacking.MainTheorem","","","The highest possible density of sphere packings in 8-dimensional space is equal to the density achieved by the E8 lattice arrangement. This density is the supremum of all possible packing densities in that dimension. The value is expressed as an extended nonnegative real number."
"1","0.9530720114707947","i2f","True","0ece0a1a-b6d3-41a6-95e8-a79659eb1fd8","informal","lemma","Lean Community","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","https://teorth.github.io/pfr/blueprint.pdf","","2.14","ProbabilityTheory.cond_chain_rule, ProbabilityTheory.cond_chain_rule'","The conditional entropy of two random variables X and Y given a third variable Z equals the sum of the conditional entropy of Y given Z and the conditional entropy of X given both Y and Z.","0a4ea659-0099-44c2-8bb7-69a8b6e07624","formal","theorem","Lean Repo","pfr","pfr","","ProbabilityTheory.cond_chain_rule","","","The conditional entropy of two random variables X and Y given a third variable Z is equal to the sum of the conditional entropy of Y given Z and the conditional entropy of X given both Y and Z. This rule breaks down the uncertainty of the pair (X, Y) given Z into two parts. It assumes all variables have finite possible values and are measurable."
"1","0.9520614147186279","i2f","True","cffe3be8-34e3-4107-9de9-e043ca04cc89","informal","lemma","Lean Community","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","https://teorth.github.io/pfr/blueprint.pdf","","11.1","torsion_free_doubling","If G is a torsion-free group and X, Y are random variables taking values in G, then the distance between X and 2Y is at most 5 times the distance between X and Y.","04a861c3-f2a2-4016-9371-58c3ebba856d","formal","theorem","Lean Repo","pfr","pfr","","torsion_free_doubling","","","If G is a torsion-free abelian group and X, Y are random variables taking values in G with finite ranges, then the distance between X and twice Y is at most 5 times the distance between X and Y, measured with respect to their probability distributions."
"1","0.9519443511962891","i2f","True","e61c8f5b-9639-46b0-8f61-93f6b496657e","informal","lemma","Lean Community","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","https://teorth.github.io/pfr/blueprint.pdf","","12.17","multidist_ruzsa_I","For a tuple of at least two random variables taking values in a group, the sum of the pairwise Ruzsa distances between distinct variables is at most m times (m minus one) times the multidistance of the tuple.","1698f94d-36a3-488f-bc93-2c49d6e05470","formal","theorem","Lean Repo","pfr","pfr","","multidist_ruzsa_I","","","For a tuple of m random variables taking values in a countable abelian group, the sum of the Ruzsa distances between all distinct pairs is at most m(m-1) times the multidimensional Ruzsa divergence of the tuple."
"1","0.9518148899078369","i2f","False","a74e0ce2-0634-4290-980a-c8c5c3b6f31a","informal","lemma","Lean Community","Fermat's Last Theorem","ImperialCollegeLondon/FLT","https://ImperialCollegeLondon.github.io/FLT/blueprint.pdf","","10.34","IsModuleTopology.continuous_bilinear_of_finite_left","If R and S are topological rings with S a finite R-algebra and having the R-module topology, and if M is an S-module with the induced R-module structure, then the topology on M as an R-module is the same as the topology on M as an S-module.","c6de5dbd-0bb0-4bc3-8a5f-95bb95558c40","formal","theorem","Lean Repo","FLT","FLT","","moduleTopology.trans","","","If S is a finite algebra over a topological ring R and carries the module topology, then for any module M over S, the topology induced by R on M is the same as the topology induced by S on M."
"1","0.9517481327056885","i2f","False","032f7125-35a2-4303-a932-f998ef7310ad","informal","definition","Lean Community","Brownian motion project","RemyDegenne/brownian-motion","https://RemyDegenne.github.io/brownian-motion/blueprint.pdf","","1.5.5","Metric.packingNumber","The packing number of a set A for a given distance epsilon is the maximum number of points you can place in A such that each pair of points is more than epsilon apart. It counts how many well-separated points can fit inside the set.","146750fc-03d2-4ba7-ad63-1c9e973b0e11","formal","definition","Lean Repo","misc-yd","misc-yd","","Metric.epackingNum","","","The epsilon-packing number of a set s is the largest number of points you can pick from s such that every pair of points is at least distance epsilon apart; if no such maximum exists, it is infinite. It counts how many well-separated points can fit inside the set."
"1","0.9508715867996216","i2f","True","a95592de-6a8b-4fd1-aefa-2368fe8fc363","informal","theorem","Lean Community","Brownian motion project","RemyDegenne/brownian-motion","https://RemyDegenne.github.io/brownian-motion/blueprint.pdf","","2.6.71","ProbabilityTheory.IsLocalSubmartingale.doob_meyer","Any cadlag local submartingale can be written as the sum of a cadlag local martingale and a predictable, increasing, cadlag, locally integrable process that starts at zero, and this decomposition is unique almost surely.","2b880fbe-97cc-4889-8b08-1c9752e38384","formal","theorem","Lean Repo","brownian-motion","brownian-motion","","ProbabilityTheory.IsLocalSubmartingale.doob_meyer","","","Every cadlag local submartingale can be decomposed into the sum of a cadlag local martingale and a predictable, increasing, cadlag process whose supremum is locally integrable."
"1","0.9503800272941589","i2f","True","28534295-1815-4032-8349-1f5618232bb6","informal","lemma","Lean Community","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","https://teorth.github.io/pfr/blueprint.pdf","","2.29","ProbabilityTheory.condMutualInfo_eq_zero","If the conditional mutual information between X and Y given Z is zero, then X and Y are conditionally independent given Z, and vice versa. This means that knowing Z, X provides no additional information about Y and Y provides no additional information about X. The result links zero mutual information to conditional independence.","488c5548-5e13-4284-a175-4bbe9273c8cf","formal","theorem","Lean Repo","pfr","pfr","","ProbabilityTheory.condMutualInfo_eq_zero","","","The conditional mutual information between two random variables X and Y given a third variable Z is zero if and only if X and Y are conditionally independent given Z. This means that knowing Z, the value of X provides no additional information about Y and vice versa. The result holds under standard measurability and finiteness conditions on the va…"
