node_id,full_name,F_signature,NL,F_T,dep_count,F_Tnames,dep_names_count,judge_T_vs_Tnames,judge_T_vs_Tnames_notes,vacuous_Tnames,edit_dist_Tnames,F_Trandom,rand_count,judge_T_vs_Trandom,judge_T_vs_Trandom_notes,vacuous_Trandom,edit_dist_Trandom
1485891,MeasureTheory.lcondExp_const,"MeasureTheory.lcondExp_const.{u_1} {α : Type u_1} {m m₀ : MeasurableSpace α} {μ : MeasureTheory.Measure α}
  [MeasureTheory.SigmaFinite μ] (hm : m ≤ m₀) (c : ENNReal) [MeasureTheory.IsFiniteMeasure μ] :
  (MeasureTheory.lcondExp m μ fun x => c) = fun x => c","The conditional expectation (with respect to a sub-σ-algebra) of a constant extended non-negative real-valued function is equal to that same constant function, provided the sub-σ-algebra is contained in the original σ-algebra and the measure is sigma-finite and finite.","```lean
theorem MeasureTheory.lcondExp_const {α : Type*} {m m₀ : MeasurableSpace α} {μ : MeasureTheory.Measure α}
  (hm : m ≤ m₀) [MeasureTheory.SigmaFinite μ] [MeasureTheory.IsFiniteMeasure μ] (c : ENNReal) :
  MeasureTheory.lcondExp m μ (fun _ => c) = fun _ => c := by sorry
```",18,"```lean
theorem lcondExp_const {α : Type*} [MeasurableSpace α] (μ : MeasureTheory.Measure α) (m : MeasurableSpace α) (hm : m ≤ ‹MeasurableSpace α›) [MeasureTheory.SigmaFinite μ] [MeasureTheory.IsFiniteMeasure μ] (c : ℝ≥0∞) : MeasureTheory.lcondExp m μ (fun _ : α => c) = fun _ : α => c := by sorry
```",18,T,"Candidate A uses two MeasurableSpaces (m, m₀) matching target structure. Candidate B incorrectly uses anonymous instance ‹MeasurableSpace α› instead of explicit m₀.",False,31,"```lean
theorem MeasureTheory.lcondExp_const {α : Type u_1} {m m₀ : MeasurableSpace α} {μ : MeasureTheory.Measure α}
  [MeasureTheory.SigmaFinite μ] (hm : m ≤ m₀) [MeasureTheory.SigmaFinite (MeasureTheory.Measure.trim μ hm)]
  (c : ENNReal) : MeasureTheory.lcondExp m μ (fun _ : α => c) =ᵐ[μ] fun _ : α => c
```",18,T,B matches target exactly with definitional equality; A uses a.e. equality and different sigma-finite assumption.,False,17
1361495,Specification.isssdFun,"Specification.isssdFun.{u_1, u_2} {S : Type u_1} {E : Type u_2} {mE : MeasurableSpace E} (ν : MeasureTheory.Measure E)
  (Λ : Finset S) : ProbabilityTheory.Kernel (S → E) (S → E)","The term `Specification.isssdFun` is a probability kernel from the space of functions `S → E` to itself, parameterized by a measure `ν` on `E` and a finite set `Λ` of elements from `S`, where `E` is equipped with a measurable space structure.","```lean
def Specification.isssdFun {S : Type u_1} {E : Type u_2} {mE : MeasurableSpace E}
  (ν : MeasureTheory.Measure E) (Λ : Finset S) :
  ProbabilityTheory.Kernel (S → E) (S → E) := by sorry
```",27,"```lean
def Specification.isssdFun {S E : Type*} [MeasurableSpace E] (ν : MeasureTheory.Measure E) (Λ : Finset S) :
    ProbabilityTheory.Kernel (S → E) (S → E) :=
  sorry
```",27,T,"Both match the target signature semantically. A preserves explicit universe variables and type class notation exactly as in target, while B uses Type* and square brackets.",False,14,"```lean
def Specification.isssdFun {S : Type u_1} {E : Type u_2} {mE : MeasurableSpace E} (ν : MeasureTheory.Measure E) (Λ : Finset S) : ProbabilityTheory.Kernel (S → E) (S → E)
```",27,tie,Both match the target signature exactly; neither is vacuous as both define a non-trivial kernel type.,False,2
1342145,juxt_apply_of_mem,"juxt_apply_of_mem.{u_1, u_2} {S : Type u_1} {E : Type u_2} {Λ : Set S} {η : S → E} {x : S} (hx : x ∈ Λ) (ζ : ↑Λ → E) :
  juxt Λ η ζ x = ζ ⟨x, hx⟩","When $x$ is an element of the set $\Lambda$, applying the juxtaposition function `juxt` with respect to $\Lambda$, $\eta$, and $\zeta$ at the point $x$ equals $\zeta$ evaluated at the pair consisting of $x$ and the proof that $x$ belongs to $\Lambda$.","```lean
theorem juxt_mem {S : Type u_1} {E : Type u_2} (Λ : Set S) (η : S → E) (ζ : ↑Λ → E) (x : S) (hx : x ∈ Λ) :
  juxt Λ η ζ x = ζ ⟨x, hx⟩ := by sorry
```",21,"```lean
theorem juxt_mem {α : Type*} {Λ : Set α} {η : ∀ a, Prop} {ζ : Σ a, a ∈ Λ → η a} 
    (x : α) (hx : x ∈ Λ) : juxt Λ η ζ x = ζ.2 hx := by sorry
```",21,T,"Candidate A matches the target signature closely with correct types for E, η, and ζ. Candidate B uses incorrect dependent types.",False,32,"```lean
theorem juxt_apply_of_mem {S : Type u_1} {E : Type u_2} {Λ : Set S} {η : S → E} {x : S} (h : x ∈ Λ) (ζ : ↑Λ → E) : juxt Λ η ζ x = ζ ⟨x, h⟩ := by sorry
```",4,Trandom,"B matches target signature exactly with same argument order and implicit/explicit patterns. A differs in argument order (Λ, η, ζ, x, hx vs target pattern).",False,7
1504430,MeasureTheory.Integrable.fun_mul_of_top_right,"MeasureTheory.Integrable.fun_mul_of_top_right.{u_1, u_3} {α : Type u_1} {𝕜 : Type u_3} {mα : MeasurableSpace α}
  {μ : MeasureTheory.Measure α} [NormedField 𝕜] {f φ : α → 𝕜} (hf : MeasureTheory.Integrable f μ)
  (hφ : MeasureTheory.MemLp φ ⊤ μ) : MeasureTheory.Integrable (fun x => φ x * f x) μ","Looking at this Lean 4 declaration:

The theorem states that if $f$ is an integrable function with respect to a measure $\mu$ on a measurable space $\alpha$ (taking values in a normed field $\mathbb{k}$), and if $\phi$ belongs to $L^\infty(\mu)$ (that is, $\phi$ is essentially bounded), then the pointwise product function $x \mapsto \phi(x) \cdot f(x)$ is also integrable with respect to $\mu$.","```lean
theorem MeasureTheory.Integrable.mul_of_top_left {α : Type*} {m : MeasurableSpace α} {μ : MeasureTheory.Measure α} {𝕜 : Type*} [NormedField 𝕜] {f : α → 𝕜} (hf : MeasureTheory.Integrable f μ) {φ : α → 𝕜} (hφ : MeasureTheory.MemLp φ ⊤ μ) : MeasureTheory.Integrable (fun x => φ x * f x) μ := by sorry
```",56,"```lean
theorem MeasureTheory.Integrable.mul_of_mem_Linfty {α : Type*} {𝕜 : Type*} [MeasurableSpace α] 
    (μ : MeasureTheory.Measure α) [NormedField 𝕜] 
    {f : α → 𝕜} (hf : MeasureTheory.Integrable f μ) 
    {φ : α → 𝕜} (hφ : MeasureTheory.MemLp φ ∞ μ) : 
    MeasureTheory.Integrable (fun x => φ x * f x) μ := by sorry
```",56,T,Both match the target semantically. A uses ⊤ matching target exactly; B uses ∞ (equivalent). A's structure is slightly closer.,False,22,"```lean
theorem MeasureTheory.Integrable.mul_of_top_right {α : Type u_1} {𝕜 : Type u_3} {mα : MeasurableSpace α}
  {μ : MeasureTheory.Measure α} [NormedField 𝕜] {f φ : α → 𝕜} (hf : MeasureTheory.Integrable f μ)
  (hφ : MeasureTheory.MemLp φ ∞ μ) : MeasureTheory.Integrable (fun x => φ x * f x) μ := by sorry
```",2,Trandom,"Both match semantically; A uses ∞ notation matching ⊤, but B's name says 'left' when φ is on the right of f in hypothesis order.",False,6
1403200,MeasureTheory.Integrable.induction',"MeasureTheory.Integrable.induction'.{u_1, u_2} {α : Type u_1} {E : Type u_2} {mα : MeasurableSpace α}
  [NormedAddCommGroup E] {μ : MeasureTheory.Measure α} (P : (f : α → E) → MeasureTheory.Integrable f μ → Prop)
  (indicator : ∀ (c : E) (s : Set α) (hs : MeasurableSet s) (hμs : μ s ≠ ⊤), P (Set.indicator s fun x => c) ⋯)
  (add :
    ∀ (f g : α → E) (hf : MeasureTheory.Integrable f μ) (hg : MeasureTheory.Integrable g μ),
      Disjoint (Function.support f) (Function.support g) → P f hf → P g hg → P (f + g) ⋯)
  (isClosed : IsClosed {f | P ↑↑f ⋯})
  (ae_congr : ∀ (f g : α → E) (hf : MeasureTheory.Integrable f μ) (hfg : f =ᵐ[μ] g), P f hf → P g ⋯) (f : α → E)
  (hf : MeasureTheory.Integrable f μ) : P f hf","The theorem states that to prove a property P holds for all integrable functions with respect to a measure μ, it suffices to verify four conditions: (1) P holds for indicator functions of measurable sets with finite measure multiplied by a constant, (2) P is preserved under addition of functions with disjoint supports, (3) the set of integrable functions satisfying P is closed in the appropriate topology, and (4) P is preserved under almost everywhere equivalence of functions.","```lean
theorem MeasureTheory.Integrable.induction_on
  {α : Type u_1} {E : Type u_2} {mα : MeasurableSpace α}
  [NormedAddCommGroup E] {μ : MeasureTheory.Measure α}
  (P : (f : α → E) → MeasureTheory.Integrable f μ → Prop)
  (indicator : ∀ (c : E) (s : Set α) (hs : MeasurableSet s) (hμs : μ s ≠ ⊤), 
    P (Set.indicator s fun x => c) (by sorry))
  (add : ∀ (f g : α → E) (hf : MeasureTheory.Integrable f μ) (hg : MeasureTheory.Integrable g μ),
    Disjoint (Function.support f) (Function.support g) → P f hf → P g hg → 
    P (f + g) (by sorry))
  (isClosed : IsClosed {f : α →ₘ[μ] E | P ↑↑f (by sorry)})
  (ae_congr : ∀ (f g : α → E) (hf : MeasureTheory.Integrable f μ) (hfg : f =ᵐ[μ] g), 
    P f hf → P g (by sorry))
  (f : α → E) (hf : MeasureTheory.Integrable f μ) : P f hf :=
  by sorry
```",173,"```lean
theorem MeasureTheory.Integrable.induction_on {α : Type*} {E : Type*} [MeasurableSpace α] [NormedAddCommGroup E] (μ : MeasureTheory.Measure α) (P : (α → E) → Prop) (h_ind : ∀ (c : E) (s : Set α), MeasurableSet s → μ s ≠ ∞ → P (c • Set.indicator s fun _ => 1)) (h_add : ∀ (f g : α → E), Disjoint (Function.support f) (Function.support g) → P f → P g → P (f + g)) (h_closed : IsClosed {f : MeasureTheory.Lp E 1 μ | P f.toFun}) (h_ae : ∀ (f g : α → E), MeasureTheory.Integrable f μ → MeasureTheory.Integrable g μ → f =ᵐ[μ] g → (P f ↔ P g)) (f : α → E) (hf : MeasureTheory.Integrable f μ) : P f := by sorry
```",173,T,"B matches target signature structure: P takes both function and integrability proof. A only has P take function, losing key dependent structure.",False,78,"```lean
theorem integrable_induction {α E : Type*} {mα : MeasurableSpace α} [NormedAddCommGroup E]
  {μ : MeasureTheory.Measure α} (P : (f : α → E) → Prop)
  (h_ind : ∀ (c : E) {s : Set α}, MeasurableSet s → μ s ≠ ∞ → P (c • ↑(Set.indicator s 1)))
  (h_add : ∀ {f g : α → E}, Disjoint (Function.support f) (Function.support g) → P f → P g → P (f + g))
  (h_closed : IsClosed {f : α →L∞[μ] E | P f})
  (h_ae : ∀ {f g : α → E}, f =ᶠ[ae μ] g → P f → P g)
  {f : α → E} (hf : Integrable f μ) : P f := by sorry
```",1,T,B matches signature exactly with dependent P taking integrable proof; A drops dependency and changes indicator to scalar multiplication form.,False,74
1392542,MeasureTheory.Measure.eq_prod_of_dirac_left,"MeasureTheory.Measure.eq_prod_of_dirac_left.{u_1, u_2} (X : Type u_1) (Y : Type u_2) [MeasurableSpace X]
  [MeasurableSpace Y] (x : X) (ν : MeasureTheory.Measure Y) (μ : MeasureTheory.Measure (X × Y))
  (marg_X : MeasureTheory.Measure.map Prod.fst μ = MeasureTheory.Measure.dirac x)
  (marg_Y : MeasureTheory.Measure.map Prod.snd μ = ν) : μ = MeasureTheory.Measure.prod (MeasureTheory.Measure.dirac x) ν","If $\mu$ is a measure on $X \times Y$ whose marginal on $X$ is the Dirac measure at a point $x$ and whose marginal on $Y$ is $\nu$, then $\mu$ equals the product measure of the Dirac measure at $x$ and $\nu$.","```lean
theorem dirac_prod_of_marginals {α β : Type*} [MeasurableSpace α] [MeasurableSpace β] 
    (x : α) (ν : MeasureTheory.Measure β) (μ : MeasureTheory.Measure (α × β))
    (hfst : MeasureTheory.Measure.map Prod.fst μ = MeasureTheory.Measure.dirac x)
    (hsnd : MeasureTheory.Measure.map Prod.snd μ = ν) :
    μ = MeasureTheory.Measure.prod (MeasureTheory.Measure.dirac x) ν := by sorry
```",23,"```lean
theorem MeasureTheory.measure_eq_dirac_prod {X Y : Type*} [MeasurableSpace X] [MeasurableSpace Y] 
    {x : X} {ν : MeasureTheory.Measure Y} {μ : MeasureTheory.Measure (X × Y)}
    (hX : μ.map Prod.fst = MeasureTheory.Measure.dirac x)
    (hY : μ.map Prod.snd = ν) :
    μ = MeasureTheory.Measure.dirac x |>.prod (fun _ => ν) := by sorry
```",23,T,A uses Measure.prod directly matching target; B incorrectly uses prod with function argument instead of measure.,False,31,"```lean
theorem eq_prod_of_dirac_left (X : Type u_1) (Y : Type u_2) [MeasurableSpace X]
  [MeasurableSpace Y] (x : X) (ν : MeasureTheory.Measure Y) (μ : MeasureTheory.Measure (X × Y))
  (marg_X : MeasureTheory.Measure.map Prod.fst μ = MeasureTheory.Measure.dirac x)
  (marg_Y : MeasureTheory.Measure.map Prod.snd μ = ν) :
  μ = MeasureTheory.Measure.prod (MeasureTheory.Measure.dirac x) ν
```",1,Trandom,"A matches target signature exactly; B has different parameter names (α/β vs X/Y, hfst/hsnd vs marg_X/marg_Y).",False,2
1386695,Specification.isssd,"Specification.isssd.{u_1, u_2} {S : Type u_1} {E : Type u_2} {mE : MeasurableSpace E} (ν : MeasureTheory.Measure E) :
  Specification S E","The theorem states that given a measurable space $E$ with a measure $\nu$, there exists a specification from a state space $S$ to the event space $E$.","```lean
theorem Specification.exists_specification {S E : Type*} [MeasurableSpace E] (ν : MeasureTheory.Measure E) :
  ∃ (π : Specification S E), True
```",49,"```lean
theorem specification_exists (E : Type*) [MeasurableSpace E] (ν : MeasureTheory.Measure E) :
    ∃ (S : Type*), Specification S E
```",49,T,Target is a constant returning a Specification instance. B matches by existentially quantifying it; A changes S to existential wrongly.,False,16,"```lean
theorem exists_specification (S E : Type*) [MeasurableSpace E] (ν : MeasureTheory.Measure E) : 
  ∃ (γ : Specification S E), True := by sorry
```",49,tie,"Both are vacuous (∃x, True is trivial). Neither matches target which returns a specific Specification term, not an existence claim.",True,21
1367729,IsConsistent,"IsConsistent.{u_1, u_2} {S : Type u_1} {E : Type u_2} {mE : MeasurableSpace E}
  (γ : (Λ : Finset S) → ProbabilityTheory.Kernel (S → E) (S → E)) : Prop",A family of probability kernels γ indexed by finite subsets Λ of S is **consistent** if it satisfies certain compatibility conditions that allow these kernels to be pieced together into a coherent infinite-dimensional probability measure on the product space S → E.,"```lean
def IsConsistent {S : Type u_1} {E : Type u_2} [MeasurableSpace E]
  (γ : (Λ : Finset S) → ProbabilityTheory.Kernel (S → E) (S → E)) : Prop := by sorry
```",24,"```lean
def IsConsistentFamily {S : Type*} {E : Type*} [MeasurableSpace E] (γ : Finset S → ProbabilityTheory.Kernel (S → E) E) : Prop
```",24,T,A matches target signature exactly (type and universe levels); B has wrong kernel codomain (E vs S→E) and different name.,False,16,"```lean
def Specification.IsConsistent {S : Type u_1} {E : Type u_2} {mE : MeasurableSpace E}
    (γ : (Λ : Finset S) → ProbabilityTheory.Kernel (S → E) (S → E)) : Prop
```",24,T,B matches target exactly; A has wrong namespace (Specification.IsConsistent vs IsConsistent),False,2
1537841,Specification.modification_one',"Specification.modification_one'.{u_1, u_2} {S : Type u_1} {E : Type u_2} {mE : MeasurableSpace E}
  (γ : Specification S E) : Specification.modification γ (fun _Λ _η => 1) ⋯ = γ","The theorem states that for a specification γ on a measurable space with state space S and sample space E, applying the modification operation with the constant function equal to 1 (returning 1 for all inputs) yields the original specification γ unchanged.","```lean
theorem Specification.modification_one {S : Type u_1} {E : Type u_2} {mE : MeasurableSpace E} (γ : Specification S E) :
  Specification.modification γ (fun _Λ _η => 1) Specification.IsModifier.one' = γ
```",63,"```lean
theorem Specification.modification_one (γ : Specification S E) :
    γ.modification (fun _ => 1) = γ := by sorry
```",63,T,"Candidate B matches the target signature exactly, including the IsModifier.one' constraint. Candidate A uses a different (simpler) function signature.",False,22,"```lean
theorem Specification.modification_one' {S : Type u_1} {E : Type u_2} [MeasurableSpace E] (γ : Specification S E) :
  Specification.modification γ (fun _Λ _η => 1) (Specification.IsModifier.one' : Specification.IsModifier γ fun _Λ _η => 1) = γ := by sorry
```",61,T,"Both match the target signature closely. B uses explicit binder {mE} matching the target exactly, while A uses instance notation. Neither is vacuous.",False,18
1361494,Specification.isssdFun_apply,"Specification.isssdFun_apply.{u_1, u_2} {S : Type u_1} {E : Type u_2} {mE : MeasurableSpace E}
  (ν : MeasureTheory.Measure E) (Λ : Finset S) :
  ⇑(Specification.isssdFun ν Λ) = fun η => MeasureTheory.Measure.map (juxt (↑Λ) η) (MeasureTheory.Measure.pi fun x => ν)","The function `Specification.isssdFun` applied to a measure `ν` on `E` and a finite set `Λ` of indices in `S`, when evaluated at a function `η`, equals the pushforward (map) of the product measure (where each factor is `ν`) under the map that takes a function and restricts it to the indices in `Λ` combined with `η`.","```lean
theorem Specification.isssdFun_eq (S : Type*) (E : Type*) [MeasurableSpace E] (ν : MeasureTheory.Measure E)
  (Λ : Finset S) (η : S → E) :
  (Specification.isssdFun ν Λ) η =
  MeasureTheory.Measure.map (fun (ζ : ↑Λ → E) => juxt (↑Λ) η ζ)
    (MeasureTheory.Measure.pi fun (_ : ↑Λ) => ν)
```",34,"```lean
theorem Specification.isssdFun_eq_map (ν : MeasureTheory.Measure E) (Λ : Finset S) (η : ∀ i : S, E) :
  Specification.isssdFun ν Λ η = MeasureTheory.Measure.map (fun f : ∀ i : S, E => (fun i : Λ => f i, η)) (MeasureTheory.Measure.pi fun _ => ν)
```",34,tie,"Both candidates state the application of isssdFun equals a measure map, but neither directly matches the target's coercion-to-function form. A expands juxt, B keeps it but changes argument order.",False,36,"```lean
theorem Specification.isssdFun_eq_map (ν : MeasureTheory.Measure E) (Λ : Finset S) (η : S → E) :
  (Specification.isssdFun ν Λ) η = MeasureTheory.Measure.map (fun f => (fun i => if i ∈ Λ then f i else η i)) (MeasureTheory.Measure.prod fun _ => ν)
```",34,T,A matches target structure with juxt and pi measure; B uses prod and if-then-else instead of juxt,False,36
